t, obs_S1, obs_pS1, obs_S2, obs_pS2, obs_pS2_pS2, obs_ppS2
0.167224, 0.494215, 4.50578, 1.16955, 1.14637, 1.36784, 58.968
0.351171, 0.117201, 4.8828, 1.16876, 1.10697, 1.36604, 59.8436
0.90301, 0.049268, 4.95073, 1.16284, 1.01921, 1.35288, 62.2437
1.00334, 0.0491092, 4.95089, 1.16135, 1.00817, 1.34963, 62.6242
1.45485, 0.0490231, 4.95098, 1.1537, 0.97109, 1.33315, 64.1784
1.83946, 0.04902, 4.95098, 1.1464, 0.951074, 1.31764, 65.3448
2.00669, 0.0490195, 4.95098, 1.1431, 0.944645, 1.31069, 65.8174
2.55853, 0.0490207, 4.95098, 1.13202, 0.930024, 1.28741, 67.2627
2.67559, 0.0490198, 4.95098, 1.12965, 0.927884, 1.28247, 67.5504
3.11037, 0.0490198, 4.95098, 1.12093, 0.921911, 1.26428, 68.5718
3.51171, 0.0490196, 4.95098, 1.11303, 0.918382, 1.24785, 69.458
3.66221, 0.0490198, 4.95098, 1.11011, 0.917401, 1.24179, 69.7781
4.21405, 0.0490199, 4.95098, 1.09969, 0.914892, 1.22017, 70.9016
4.34783, 0.0490198, 4.95098, 1.09723, 0.914475, 1.21507, 71.163
4.76589, 0.0490196, 4.95098, 1.08973, 0.913495, 1.19952, 71.9546
5.18395, 0.0490197, 4.95098, 1.0825, 0.912866, 1.18455, 72.7107
5.31773, 0.0490197, 4.95098, 1.08024, 0.912718, 1.17988, 72.9455
5.86957, 0.0490196, 4.95098, 1.07123, 0.912285, 1.16124, 73.8801
6.02007, 0.0490196, 4.95098, 1.06886, 0.912204, 1.15632, 74.1258
6.4214, 0.0490196, 4.95098, 1.06269, 0.912043, 1.14356, 74.7628
6.85619, 0.0490196, 4.95098, 1.05628, 0.91193, 1.13029, 75.424
6.97324, 0.0490196, 4.95098, 1.0546, 0.911908, 1.12682, 75.5971
7.52508, 0.0490196, 4.95098, 1.04694, 0.911834, 1.11096, 76.3861
7.69231, 0.0490196, 4.95098, 1.0447, 0.911819, 1.10633, 76.6166
8.07692, 0.0490196, 4.95098, 1.03968, 0.911793, 1.09595, 77.1324
8.52843, 0.0490196, 4.95098, 1.03404, 0.911773, 1.08427, 77.713
8.62876, 0.0490196, 4.95098, 1.03282, 0.91177, 1.08175, 77.8385
9.1806, 0.0490196, 4.95098, 1.02632, 0.911755, 1.0683, 78.5066
9.36455, 0.0490196, 4.95098, 1.02423, 0.911752, 1.06398, 78.7212
9.73244, 0.0490196, 4.95098, 1.02017, 0.911747, 1.05557, 79.1388
10.2007, 0.0490196, 4.95098, 1.01521, 0.911744, 1.04531, 79.6484
10.2843, 0.0490196, 4.95098, 1.01434, 0.911743, 1.04353, 79.737
10.8361, 0.0490196, 4.95098, 1.00884, 0.911741, 1.03214, 80.303
11.0368, 0.0490196, 4.95098, 1.00691, 0.91174, 1.02815, 80.5012
11.388, 0.0490196, 4.95098, 1.00362, 0.911739, 1.02135, 80.8387
11.8729, 0.0490196, 4.95098, 0.999273, 0.911738, 1.01235, 81.2856
11.9398, 0.0490196, 4.95098, 0.99869, 0.911738, 1.01115, 81.3456
12.4916, 0.0490196, 4.95098, 0.994021, 0.911737, 1.00149, 81.8253
12.709, 0.0490196, 4.95098, 0.992252, 0.911737, 0.997829, 82.0071
13.0435, 0.0490196, 4.95098, 0.989604, 0.911737, 0.99235, 82.2792
13.5452, 0.0490196, 4.95098, 0.985794, 0.911737, 0.984468, 82.6707
13.5953, 0.0490196, 4.95098, 0.985423, 0.911737, 0.983701, 82.7087
14.1472, 0.0490196, 4.95098, 0.981467, 0.911737, 0.975517, 83.1152
14.3813, 0.0490196, 4.95098, 0.979853, 0.911737, 0.972179, 83.281
