timepoint,well,indsyn,pptase,590,800,Indconc,Indconcnorm,IndconcNormRange,Bacnorm,ExpID,typeID
0,B10,synT5,sfp,0.004489998,0.003390002,-0.000497186,-0.099692759,0.005346976,0.007642196,1,T5
5,B10,synT5,sfp,0.003889998,0.003390003,-0.001097188,-0.220001426,0.004963864,0.007642199,1,T5
10,B10,synT5,sfp,0.003889997,0.003879999,-0.001818045,-0.318505939,0.004503584,0.008746814,1,T5
15,B10,synT5,sfp,0.00393,0.003769998,-0.001616215,-0.291408629,0.004632456,0.008498835,1,T5
20,B10,synT5,sfp,0.00405,0.003870003,-0.001643336,-0.28864196,0.004615139,0.008724279,1,T5
25,B10,synT5,sfp,0.003959999,0.003809998,-0.001645061,-0.293495768,0.004614037,0.008589008,1,T5
30,B10,synT5,sfp,0.004049998,0.004209998,-0.00214352,-0.346090891,0.004295763,0.009490742,1,T5
35,B10,synT5,sfp,0.00411,0.003720004,-0.001362666,-0.248994944,0.004794352,0.008386132,1,T5
40,B10,synT5,sfp,0.004349997,0.003989997,-0.001519868,-0.258927267,0.004693975,0.008994787,1,T5
45,B10,synT5,sfp,0.004380002,0.00397,-0.001460444,-0.250056939,0.004731919,0.008949706,1,T5
50,B10,synT5,sfp,0.004300001,0.004089999,-0.001716981,-0.285355794,0.004568116,0.009220224,1,T5
55,B10,synT5,sfp,0.00456,0.003740003,-0.000942086,-0.171223453,0.005062899,0.008431216,1,T5
60,B10,synT5,sfp,0.004110001,0.003920002,-0.001656891,-0.287310886,0.004606484,0.008836994,1,T5
65,B10,synT5,sfp,0.004170003,0.004220001,-0.00203823,-0.328310833,0.004362992,0.009513291,1,T5
70,B10,synT5,sfp,0.004139999,0.004220001,-0.002068235,-0.333143928,0.004343833,0.009513292,1,T5
75,B10,synT5,sfp,0.00423,0.003689998,-0.001198522,-0.220782314,0.004899161,0.008318487,1,T5
80,B10,synT5,sfp,0.00438,0.004629998,-0.002431398,-0.356960177,0.004111947,0.010437562,1,T5
85,B10,synT5,sfp,0.004429999,0.004070003,-0.001557565,-0.260133346,0.004669905,0.009175145,1,T5
90,B10,synT5,sfp,0.004560003,0.004210003,-0.001633521,-0.263746616,0.004621406,0.009490752,1,T5
95,B10,synT5,sfp,0.00444,0.004040001,-0.001503427,-0.25295623,0.004704473,0.009107511,1,T5
100,B10,synT5,sfp,0.004680002,0.004200002,-0.00149881,-0.242572528,0.004707421,0.009468207,1,T5
105,B10,synT5,sfp,0.004759997,0.004000001,-0.001124585,-0.191107032,0.004946371,0.009017339,1,T5
110,B10,synT5,sfp,0.004230003,0.004309998,-0.002110629,-0.332873548,0.004316764,0.009716174,1,T5
115,B10,synT5,sfp,0.004630002,0.00438,-0.001813612,-0.281458829,0.004506415,0.009873982,1,T5
120,B10,synT5,sfp,0.004340001,0.004229998,-0.001882939,-0.302580285,0.004462148,0.009535828,1,T5
125,B10,synT5,sfp,0.004079998,0.004110002,-0.001966411,-0.325219684,0.00440885,0.009265317,1,T5
130,B10,synT5,sfp,0.004680004,0.003829999,-0.00095448,-0.169399775,0.005054986,0.008634097,1,T5
135,B10,synT5,sfp,0.004740001,0.004019999,-0.001174,-0.198511948,0.004914818,0.00906242,1,T5
140,B10,synT5,sfp,0.004340003,0.003839999,-0.001309193,-0.231748484,0.004828495,0.008656641,1,T5
145,B10,synT5,sfp,0.004450001,0.004230003,-0.001772947,-0.284904702,0.00453238,0.00953584,1,T5
150,B10,synT5,sfp,0.00457,0.004279996,-0.001726496,-0.274199446,0.00456204,0.009648541,1,T5
155,B10,synT5,sfp,0.004509998,0.004250003,-0.001742373,-0.278673987,0.004551902,0.009580927,1,T5
160,B10,synT5,sfp,0.004590003,0.003989998,-0.001279862,-0.218039386,0.004847224,0.008994787,1,T5
165,B10,synT5,sfp,0.004399996,0.003849996,-0.001263906,-0.223151102,0.004857412,0.008679176,1,T5
170,B10,synT5,sfp,0.00441,0.00395,-0.001401022,-0.241097396,0.004769861,0.008904619,1,T5
175,B10,synT5,sfp,0.004729998,0.003679997,-0.000683812,-0.126308802,0.005227812,0.008295943,1,T5
180,B10,synT5,sfp,0.00381,0.004099997,-0.002221691,-0.368336325,0.004245849,0.009242763,1,T5
185,B10,synT5,sfp,0.004349999,0.003690003,-0.00107853,-0.198678165,0.004975777,0.008318499,1,T5
190,B10,synT5,sfp,0.00453,0.004460002,-0.002031309,-0.309589032,0.004367411,0.010054333,1,T5
195,B10,synT5,sfp,0.004839998,0.00363,-0.000500259,-0.093676861,0.005345014,0.008183233,1,T5
200,B10,synT5,sfp,0.004340003,0.003500003,-0.000809009,-0.157119272,0.005147872,0.007890177,1,T5
205,B10,synT5,sfp,0.004440003,0.003849998,-0.001223903,-0.216088112,0.004882955,0.008679182,1,T5
210,B10,synT5,sfp,0.004690003,0.004149996,-0.001415244,-0.231807834,0.00476078,0.009355478,1,T5
215,B10,synT5,sfp,0.004769997,0.004220001,-0.001438237,-0.231666008,0.004746098,0.009513293,1,T5
220,B10,synT5,sfp,0.004720002,0.003429998,-0.000326022,-0.064609609,0.005456268,0.00773236,1,T5
225,B10,synT5,sfp,0.004409997,0.003620002,-0.00091555,-0.171916655,0.005079843,0.008160693,1,T5
230,B10,synT5,sfp,0.004850001,0.004080002,-0.001152274,-0.19197285,0.004928691,0.009197687,1,T5
235,B10,synT5,sfp,0.004959997,0.003899998,-0.000777465,-0.135506832,0.005168013,0.008791898,1,T5
240,B10,synT5,sfp,0.004499999,0.004570001,-0.002223134,-0.330669345,0.004244928,0.010302308,1,T5
