#t G_p G_t I_l I_p Q_sto1 Q_sto2 Q_gut I_1 I_d X I_po Y aa cc EGP V_mmax U_idm E S I G HE m_3 Q_sto Ra k_empt U_id U S_po Compartment1 V_G k_1 k_2 G_b V_I m_1 m_2 m_4 m_5 m_6 HE_b I_b S_b S_b_minus k_max k_min k_abs k_gri f b d BW k_p1 k_p2 k_p3 k_p4 k_i U_ii V_m0 V_mX K_m0 p_2U part K alpha beta gamma k_e1 k_e2 D 
##CONCENTRATIONS
0 178.000000000000 135.000000000000 4.5000000000 1.2500000000 78000.00000000000000 0.000000 0.000000 25.00000000000 25.00000000000 0.000000 3.6000000000 0.000000 0.0001780627 0.0032051282 1.8787200000 2.0000000000 0.7487728445 0.000000 1.8000000000 25.00000000000 94.68085106383 0.5923800000 0.2761204063 78000.00000000000000 0.000000 0.0554800817 0.7487728445 1.7487728445 1.7678489362 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
1 178.005652513029 135.149658537945 4.7482864179 1.2756041975 73766.80448483115470 4116.8600234485466 114.136044494600 25.00163718007 25.00000373815 0.0068098985 3.6082080067 -0.001725 0.0001780627 0.0032051282 1.8782008413 2.0002560522 0.7493878647 0.000000 1.8041040033 25.51208394988 94.68385771970 0.5922552383 0.2759777828 77883.66450827970402 0.0750663985 0.0554666435 0.7493878647 1.7493878647 1.8713405239 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
2 178.157514375615 135.291611987818 4.9547743119 1.3183821974 69763.35182277801505 7788.2930683547056 431.484886438537 25.00889808316 25.00004078163 0.0367429024 3.7572584012 -0.003166 0.0001780627 0.0032051282 1.8686702836 2.0013815331 0.7503018298 0.000000 1.8786292006 26.36764394800 94.76463530618 0.5899896723 0.2734029613 77551.64489113271702 0.2837842907 0.0554251304 0.7503018298 1.7503018298 2.1152292322 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
3 178.553989300447 135.438501098808 5.2181021177 1.3719905307 65977.17351213979418 11050.93004311526784 917.308756444026 25.02363544954 25.00016308128 0.0968865476 4.0856505251 -0.003772 0.0001780627 0.0032051282 1.8475419523 2.0036429342 0.7516592040 0.000000 2.0428252625 27.43981061373 94.97552622364 0.5849981120 0.2678292425 77028.10355525506020 0.6033069129 0.0553490221 0.7516592040 1.7516592040 2.4623490014 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
4 179.266356338074 135.607112161758 5.6098798280 1.4447358189 62396.47764372558595 13939.13749711324817 1540.3363568241739 25.04804924548 25.00043657898 0.1956150877 4.5914821367 -0.002776 0.0001780627 0.0032051282 1.8147831264 2.0073551273 0.7536373430 0.000000 2.2957410683 28.89471637817 95.35444486068 0.5773094715 0.2595014371 76335.61514083883958 1.0130673731 0.0552244099 0.7536373430 1.7536373430 2.8842177420 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
5 180.344492375065 135.816494060067 6.1766779320 1.5487924603 59010.11225437003304 16485.35292258182017 2272.2807026577188 25.08601611592 25.00095027599 0.3480438356 5.2537741701 0.0007204911 0.0001780627 0.0032051282 1.7715847698 2.0130864482 0.7565175173 0.000000 2.6268870851 30.97584920602 95.92792147610 0.5672426326 0.2490450962 75495.46517695185321 1.4944615391 0.0550269038 0.7565175173 1.7565175173 3.3583065928 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
6 181.820862689657 136.086476775034 6.9456144001 1.6951562076 55807.53082260758674 18720.54383965835223 3087.2608426689681 25.14325847359 25.00183027306 0.5765588648 6.0439604205 0.0076902810 0.0001780627 0.0032051282 1.7196429619 2.0216786133 0.7606884531 0.000000 3.0219802103 33.90312415267 96.71322483492 0.5552318016 0.2371888159 74528.07466226593533 2.0304677081 0.0547161383 0.7606884531 1.7606884531 3.8661734719 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
7 183.713267818411 136.436510988335 7.9298574993 1.8919317900 52778.75921636843850 20674.86665954124692 3961.0575822708224 25.22698505055 25.00325291391 0.9091487300 6.9315870565 0.0191291251 0.0001780627 0.0032051282 1.6608007813 2.0341839922 0.7666205601 0.000000 3.4657935283 37.83863579973 97.71982330767 0.5417398767 0.2246116809 73453.62587590968178 2.6051571022 0.0542275194 0.7666205601 1.7666205601 4.3920459547 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
8 186.026479367142 136.884784117029 9.1325031753 2.1443547030 49914.36432884025271 22378.61193035777615 4870.1315982189826 25.34536494124 25.00545414149 1.3770930812 7.8863475943 0.0360158405 0.0001780627 0.0032051282 1.5969190247 2.0517786999 0.7748326137 0.000000 3.9431737971 42.88709406080 98.95025498252 0.5272275166 0.2118846415 72292.97625919802522 3.2030480896 0.0534620071 0.7748326137 1.7748326137 4.9216174212 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
9 188.752937486525 137.447507369309 10.54853691267 2.4549170786 47205.42512129317038 23863.42847829978564 5790.4266585150071 25.50710106279 25.00873452618 2.0131267058 8.8786845964 0.0592776896 0.0001780627 0.0032051282 1.5298375125 2.0756935641 0.7858662002 0.000000 4.4393422982 49.09834157148 100.400498663045 0.5121439941 0.1994591800 71068.85359959295602 3.8083190716 0.0522786005 0.7858662002 1.7858662002 5.4408777311 1.0000000000 1.8800000000 0.0650000000 0.0790000000 95.00000000000 0.0500000000 0.1900000000 0.4840000000 0.1940000000 0.0304000000 0.6471000000 0.6000000000 25.00000000000 1.8000000000 -1.800000 0.0558000000 0.0080000000 0.0570000000 0.0558000000 0.9000000000 0.8200000000 0.0100000000 78.00000000000 2.7000000000 0.0021000000 0.0090000000 0.0618000000 0.0079000000 1.0000000000 2.5000000000 0.0470000000 225.590000000000 0.0331000000 0.2000000000 2.3000000000 0.0500000000 0.1100000000 0.5000000000 0.0005000000 339.000000000000 78000.00000000000000 
