#t PX PY PZ X Y Z t_ave beta k_tl a_tr a0_tr kd_prot kd_mRNA alpha alpha0 Reaction1 Reaction2 Reaction3 Reaction4 Reaction5 Reaction6 Reaction7 Reaction8 Reaction9 Reaction10 Reaction11 Reaction12 cell eff n KM tau_mRNA tau_prot ps_a ps_0 
##CONCENTRATIONS
0 0.000000 0.000000 0.000000 0.000000 20.00000000000 0.000000 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 0.000000 6.9314718056 0.000000 0.000000 138.629436111989 0.000000 0.000000 0.000000 0.000000 30.00000000000 30.00000000000 30.00000000000 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
1 81.44021355212 188.376813748660 42.63779261657 19.90367073257 30.61418418107 7.4894906316 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 6.8980866255 10.61006772512 2.5956596576 137.961732510728 212.201354502499 51.91319315145 5.6450054408 13.05728573327 2.9554265737 14.05933338730 5.8547131696 1.3230007987 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
2 218.550916714032 358.026581443914 84.57552212887 21.23640715601 23.60952088855 5.8643757598 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 7.3599778727 8.1824364191 2.0324377618 147.199557454141 163.648728382710 40.64875523632 15.14879517291 24.81651154934 5.8623284708 5.5083384236 1.0013862572 0.3994781890 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
3 337.655833119794 469.629013109373 113.029981825751 18.54695308270 17.23450741801 4.4018614692 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 6.4278841186 5.9730251126 1.5255689333 128.557682372496 119.460502251335 30.51137866594 23.40451887266 32.55220263459 7.8346413221 3.3656110557 0.4447685646 0.2458527826 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
4 428.996342469817 536.667990691132 131.000848181170 15.56046308459 12.47914247779 3.2933268246 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 5.3928455576 4.3249412121 1.1413801016 107.856911152886 86.49882424285 22.82760203138 29.73576052535 37.19899046443 9.0802868568 2.5859102401 0.2883093746 0.1955729454 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
5 495.558479724325 572.005158736084 141.395850560334 13.01928041989 9.0355532889 2.4839389257 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 4.5121387580 3.1314841435 0.8608676315 90.24277515966 62.62968286966 17.21735263007 34.34949630235 39.64837630437 9.8008135159 2.2507416294 0.2239976854 0.1758438953 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
6 542.543335945355 585.376780924535 146.479521177218 11.03385434111 6.5610770882 1.9006999006 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 3.8240425136 2.2738960426 0.6587323886 76.48085027247 45.47792085154 13.17464777218 37.60623836421 40.57522652631 10.15318671138 2.1097831278 0.1920255785 0.1692876537 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
7 574.853326538836 583.791928302182 147.916800872996 9.5632395461 4.7934577421 1.4871704371 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 3.3143662642 1.6612858595 0.5154139977 66.28732528408 33.22571719059 10.30827995493 39.84579625259 40.46537291363 10.25281134826 2.0723026519 0.1744092258 0.1700414056 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
8 596.656742613785 572.287556956950 146.930443382412 8.5212059448 3.5317216781 1.1974403835 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.9532249378 1.2240014619 0.4150012129 59.06449875589 24.48002923710 8.3000242572 41.35709389048 39.66795065742 10.18444225689 2.0979166771 0.1640942340 0.1757006956 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
9 611.237779481695 554.399304080419 144.394713338070 7.8264166193 2.6330429536 0.9992438933 2.8853900818 0.2000000000 6.9314718056 29.97000000000 0.0300000000 0.0693147181 0.3465735903 216.187851877211 0.2164042561 2.7124293068 0.9125431498 0.3463115437 54.24858613554 18.25086299607 6.9262308732 42.36777434995 38.42803145277 10.00867884380 2.1659624139 0.1577998789 0.1852052664 1.0000000000 20.00000000000 2.0000000000 40.00000000000 2.0000000000 10.00000000000 0.5000000000 0.0005000000 
