#t E1 E2 KKK P_KKK KK P_KK PP_KK K P_K PP_K KPase KKPase E1_KKK E2_P_KKK P_KKK_KK P_KKK_P_KK PP_KK_K PP_KK_P_K KKPase_PP_KK KKPase_P_KK KPase_PP_K KPase_P_K K_PP_norm rel_K_PP_max KK_PP_norm KKK_P_norm r1a r1b r2a r2b r3a r3b r4a r4b r5a r5b r6a r6b r7a r7b r8a r8b r9a r9b r10a r10b compartment K_PP_norm_max 
##CONCENTRATIONS
0 0.0000300000 0.0003000000 0.0030000000 0.000000 1.2000000000 0.000000 0.000000 1.2000000000 0.000000 0.000000 0.1200000000 0.0003000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
1 0.0000297072 0.0002999913 0.0029562758 0.00000870750 1.1974792716 0.0024808720 0.000000544800 1.1999909061 0.00000497814 0.000000 0.1199980352 0.0002975546 0.000000292757 0.00000000867884 0.0000346439 0.0000000713108 0.00000215093 0.000000 0.000000 0.00000244491 0.000000 0.00000196483 0.000000 0.000000 0.00000224690 0.0144756932 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
2 0.0000297113 0.0002999830 0.0029146067 0.0000170406 1.1905740896 0.0093085507 0.00000810240 1.1998595058 0.0000774965 0.00000000490372 0.1199692080 0.0002909903 0.000000288669 0.0000000170124 0.0000675207 0.000000526270 0.0000321986 0.00000000210289 0.00000000780905 0.00000900184 0.00000000193750 0.0000307901 0.00000000570102 0.00000000633412 0.0000335924 0.0283654160 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
3 0.0000297152 0.0002999750 0.0028747597 0.0000250120 1.1801048081 0.0195872673 0.0000380585 1.1993313059 0.0003698456 0.000000111179 0.1198528223 0.0002816121 0.000000284760 0.0000000249839 0.0000982904 0.00000162811 0.0001515130 0.0000000466464 0.0000000355794 0.0000183523 0.0000000440502 0.0001471336 0.000000129358 0.000000143723 0.0001580448 0.0416478025 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
4 0.0000297190 0.0002999674 0.0028366560 0.0000326415 1.1667246041 0.0325591899 0.0001116179 1.1980245853 0.0010944383 0.000000979116 0.1195647740 0.0002705723 0.000000281021 0.0000000326131 0.0001268541 0.00000353482 0.0004443665 0.000000404822 0.000000100373 0.0000293274 0.000000387831 0.0004348381 0.00000113912 0.00000126562 0.0004637414 0.0543491534 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
5 0.0000297226 0.0002999601 0.0028002206 0.0000399503 1.1509391148 0.0475986680 0.0002531209 1.1954958743 0.0024994769 0.00000513865 0.1190088406 0.0002587662 0.000000277444 0.0000000399212 0.0001531839 0.00000632779 0.0010062520 0.00000209886 0.000000217829 0.0000410160 0.00000202862 0.0009891308 0.00000597273 0.00000663600 0.0010514079 0.0664943730 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
6 0.0000297260 0.0002999531 0.0027653834 0.0000469609 1.1331379756 0.0641900364 0.0004883273 1.1912649995 0.0048567562 0.0000195266 0.1180844316 0.0002468233 0.000000274024 0.0000000469307 0.0001773005 0.0000100343 0.0019352747 0.00000787455 0.000000401062 0.0000527757 0.00000765539 0.0019079130 0.0000226517 0.0000251672 0.0020265647 0.0781069199 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
7 0.0000297292 0.0002999463 0.0027320782 0.0000536968 1.1136236301 0.0819052965 0.0008433611 1.1848245924 0.0084588146 0.0000596712 0.1166920624 0.0002351725 0.000000270753 0.0000000536652 0.0001992572 0.0000146433 0.0033252849 0.0000236993 0.000000660102 0.0000641674 0.0000231320 0.0032848055 0.0000690027 0.0000766655 0.0034941712 0.0892087696 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
8 0.0000297324 0.0002999399 0.0027002438 0.0000601822 1.0926410299 0.1003788577 0.0013441317 1.1756365362 0.0136237427 0.0001562259 0.1147372975 0.0002240582 0.000000267626 0.0000000601490 0.0002191291 0.0000201171 0.0052599305 0.0000608622 0.00000100271 0.0000749391 0.0000595749 0.0052031276 0.0001798340 0.0001998047 0.0055549393 0.0998203942 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
9 0.0000297354 0.0002999336 0.0026698231 0.0000664416 1.0703890441 0.1192992928 0.0020161093 1.1631162933 0.0207064653 0.0003651634 0.1121337144 0.0002136429 0.000000264637 0.0000000664064 0.0002370050 0.0000263993 0.0078069959 0.0001387965 0.00000143410 0.0000849230 0.0001361380 0.0077301475 0.0004177512 0.0004641428 0.0083027799 0.1099607610 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
10 0.0000297382 0.0002999275 0.0026407637 0.0000724995 1.0470355421 0.1383961919 0.0028844289 1.1466029642 0.0301165767 0.0007842195 0.1088051600 0.0002039650 0.000000261781 0.0000000724621 0.0002529816 0.0000334210 0.0110125038 0.0002888957 0.00000195955 0.0000940755 0.0002837658 0.0109110742 0.0008899878 0.0009888215 0.0118231566 0.1196473473 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
11 0.0000297409 0.0002999217 0.0026130176 0.0000783799 1.0227308474 0.1574285323 0.0039742355 1.1253126191 0.0423418352 0.0015803475 0.1046880168 0.0001950952 0.000000259054 0.0000000783402 0.0002671608 0.0000411043 0.0148934682 0.0005597468 0.00000258111 0.0001023236 0.0005503199 0.0147616633 0.0017755562 0.0019727328 0.0161916930 0.1288961705 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
12 0.0000297435 0.0002999159 0.0025865409 0.0000841066 0.9976049511 0.1761879874 0.0053115734 1.0982627981 0.0579795859 0.0030373964 0.0997332095 0.0001869529 0.000000256451 0.0000000840642 0.0002796452 0.0000493668 0.0194288697 0.0010245593 0.00000330598 0.0001097411 0.0010078140 0.0192589765 0.0033710087 0.0037453614 0.0214735904 0.1377218298 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
13 0.0000297460 0.0002999103 0.0025612939 0.0000897025 0.9717810356 0.1944867819 0.0069249185 1.0641580631 0.0777718566 0.0056416789 0.0939097251 0.0001795225 0.000000253969 0.0000000896572 0.0002905368 0.0000581231 0.0245461394 0.0017919871 0.00000413970 0.0001163378 0.0017628600 0.0243274150 0.0061704490 0.0068556812 0.0277226539 0.1461375588 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
14 0.0000297484 0.0002999049 0.0025372409 0.0000951894 0.9453663589 0.2121666844 0.0088485698 1.0212033933 0.1026406331 0.0102413152 0.0872092671 0.0001727617 0.000000251604 0.0000000951411 0.0002999341 0.0000672889 0.0301016264 0.0030222991 0.00000509133 0.0001221470 0.0029721134 0.0298186194 0.0110111905 0.0122339900 0.0349813222 0.1541552853 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
15 0.0000297506 0.0002998995 0.0025143496 0.0001005885 0.9184633855 0.2290888676 0.0111295662 0.9668162487 0.1336878500 0.0183523631 0.0796565448 0.0001666142 0.000000249352 0.000000100537 0.0003079318 0.0000767802 0.0358483984 0.0049516845 0.00000617684 0.0001272090 0.0048651644 0.0354782908 0.0193479396 0.0214965403 0.0432798549 0.1617856991 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
16 0.0000297528 0.0002998941 0.0024925916 0.0001059194 0.8911662427 0.2451384321 0.0138435814 0.8971995504 0.1720596654 0.0327591101 0.0713299253 0.0001609916 0.000000247212 0.000000105864 0.0003146189 0.0000865171 0.0413840178 0.0079275816 0.00000742781 0.0001315806 0.0077771198 0.0408929549 0.0337801916 0.0375315028 0.0526355072 0.1690383265 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.9000490000 
