#t S I1 I2 R1 R2 V Iv2 J2 J1 R mu beta gamma sigma sigmaV strain1_frac strain2_frac S_frac V_frac R_1_frac R_2_frac R_frac r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 env N l_e R0 p tau theta nu eta tInf tImm tImm_V 
##CONCENTRATIONS
0 0.0588235000 0.0017696700 0.000001000000 0.4394070000 0.000000 0.9000000000 0.5000000000 0.000000 0.000000 0.000000 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0017696700 0.5000010000 0.0588235000 0.9000000000 0.4394070000 0.000000 0.000000 0.000000 0.0200000000 0.0011764700 0.0180000000 0.0000353934 0.0000000200000 0.0100000000 0.0087881400 0.000000 0.000000 0.000000 0.000000 0.0307939280 8.7004892412 39.93526558466 0.0307585500 0.0000173810 0.000000 32.49599119400 0.000000 0.000000 17.38095238095 0.0219703500 0.000000 0.000000 0.0180000000 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
1 0.0780951826 0.0000772335 0.0001675438 0.0007270536 0.0635441712 0.0235846084 0.00000882177 0.000000447735 0.0000200174 1.7159548729 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0000972508 0.0001768133 0.0780951826 0.0235846084 1.7166819265 1.7794990441 1.7159548729 0.000000 0.0200000000 0.0015619037 0.0004716922 0.00000154467 0.00000335088 0.000000176435 0.0000145411 0.0012708834 0.000000400347 0.00000000895470 0.0343190975 0.0022466711 0.0040847083 0.0003700724 0.0013423911 0.0029120703 0.0009140311 0.0000190140 0.0006958417 0.0000155641 0.0003066615 0.0000363527 0.0031772086 0.0857977436 0.0004716922 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
2 0.0417885519 0.0009766519 0.0011387450 0.0645402125 0.0481975035 0.0345925879 0.0001498415 0.0004717342 0.0002730567 1.6725827344 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0012497086 0.0017603206 0.0417885519 0.0345925879 1.7371229469 1.7207802379 1.6725827344 0.000000 0.0200000000 0.0008357710 0.0006918518 0.0000195330 0.0000227749 0.00000299683 0.0012908042 0.0009639501 0.00000546113 0.00000943468 0.0334516547 0.0154485601 0.0217606088 0.0054040334 0.0169751394 0.0197924725 0.0089089235 0.0168040558 0.0094919711 0.0163983780 0.0052087753 0.0032270106 0.0024098752 0.0836291367 0.0006918518 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
3 0.0392430412 0.0012898944 0.0027366035 0.0394768351 0.0937261208 0.0352731339 0.0003542381 0.0006665593 0.0008037070 1.6340190487 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0020936014 0.0037574009 0.0392430412 0.0352731339 1.6734958839 1.7277451696 1.6340190487 0.000000 0.0200000000 0.0007848608 0.0007054627 0.0000257979 0.0000547321 0.00000708476 0.0007895367 0.0018745224 0.0000160741 0.0000133312 0.0326803810 0.0243040467 0.0436186408 0.0117618266 0.0224195927 0.0475647745 0.0290232860 0.0219392514 0.0279383862 0.0231708724 0.0123139899 0.0019738418 0.0046863060 0.0817009524 0.0007054627 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
4 0.0381470578 0.0026816228 0.0018397513 0.0643491320 0.0697094897 0.0429982221 0.0003162872 0.0007870177 0.0012019348 1.6087752763 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0038835576 0.0029430562 0.0381470578 0.0429982221 1.6731244083 1.6784847660 1.6087752763 0.000000 0.0200000000 0.0007629412 0.0008599644 0.0000536325 0.0000367950 0.00000632574 0.0012869826 0.0013941898 0.0000240387 0.0000157404 0.0321755055 0.0438240733 0.0332109689 0.0112303231 0.0466091578 0.0319766296 0.0400418009 0.0280112956 0.0417815448 0.0273582346 0.0109947463 0.0032174566 0.0034854745 0.0804387638 0.0008599644 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
5 0.0378581636 0.0014817955 0.0031977485 0.0513108638 0.0864163900 0.0427004807 0.0005350281 0.0010811253 0.0008453039 1.5889278355 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0023270994 0.0048139019 0.0378581636 0.0427004807 1.6402386993 1.6753442255 1.5889278355 0.000000 0.0200000000 0.0007571633 0.0008540096 0.0000296359 0.0000639550 0.0000107006 0.0010262173 0.0017283278 0.0000169061 0.0000216225 0.0317785567 0.0260613209 0.0539111654 0.0182420312 0.0257550168 0.0555799147 0.0297442487 0.0365341079 0.0293843752 0.0375819734 0.0185985969 0.0025655432 0.0043208195 0.0794463918 0.0008540096 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
6 0.0373399631 0.0026954662 0.0022226723 0.0563417563 0.0815250898 0.0452959768 0.0004000212 0.0008252904 0.0014698948 1.5701133000 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0041653610 0.0034479839 0.0373399631 0.0452959768 1.6264550563 1.6516383898 1.5701133000 0.000000 0.0200000000 0.0007467993 0.0009059195 0.0000539093 0.0000444534 0.00000800042 0.0011268351 0.0016305018 0.0000293979 0.0000165058 0.0314022660 0.0460096009 0.0380856223 0.0138601540 0.0468497693 0.0386321616 0.0502268419 0.0287334356 0.0510963424 0.0286886653 0.0139055003 0.0028170878 0.0040762545 0.0785056650 0.0009059195 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
7 0.0376011380 0.0018634816 0.0030807952 0.0559496868 0.0816335171 0.0464502662 0.0005711368 0.0011519123 0.0009960889 1.5531254062 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0028595705 0.0048038442 0.0376011380 0.0464502662 1.6090750930 1.6347589233 1.5531254062 0.000000 0.0200000000 0.0007520228 0.0009290053 0.0000372696 0.0000616159 0.0000114227 0.0011189937 0.0016326703 0.0000199218 0.0000230382 0.0310625081 0.0318070749 0.0534332812 0.0198025135 0.0323890842 0.0535471543 0.0345271916 0.0397537881 0.0346259477 0.0400426642 0.0198538022 0.0027974843 0.0040816759 0.0776562703 0.0009290053 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
8 0.0379498899 0.0023619654 0.0025645968 0.0530191337 0.0854220853 0.0467977367 0.0004702369 0.0008858400 0.0013404177 1.5361185045 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0037023831 0.0039206737 0.0379498899 0.0467977367 1.5891376383 1.6215405899 1.5361185045 0.000000 0.0200000000 0.0007589978 0.0009359547 0.0000472393 0.0000512919 0.00000940474 0.0010603827 0.0017084417 0.0000268084 0.0000177168 0.0307223701 0.0415636631 0.0440142353 0.0162827871 0.0410532077 0.0445751349 0.0467781961 0.0307457628 0.0465954737 0.0307934863 0.0163463302 0.0026509567 0.0042711043 0.0768059252 0.0009359547 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
9 0.0379981354 0.0020763673 0.0027368354 0.0564807520 0.0808016793 0.0482737084 0.0005249040 0.0010251552 0.0010951102 1.5207315204 0.0200000000 295.816190476190 17.38095238095 0.0500000000 0.0200000000 0.0031714774 0.0042868947 0.0379981354 0.0482737084 1.5772122724 1.6015331997 1.5207315204 0.000000 0.0200000000 0.0007599627 0.0009654742 0.0000415273 0.0000547367 0.0000104981 0.0011296150 0.0016160336 0.0000219022 0.0000205031 0.0304146304 0.0356488769 0.0481866836 0.0183652426 0.0360892407 0.0475688053 0.0379030324 0.0358125484 0.0380681153 0.0356363488 0.0182466645 0.0028240376 0.0040400840 0.0760365760 0.0009654742 1.0000000000 1.0000000000 50.00000000000 17.00000000000 1.0000000000 0.7000000000 0.5000000000 0.5000000000 0.5000000000 21.00000000000 20.00000000000 50.00000000000 
