#t IFNb_mRNA IFNb_env STATP2n SOCS1m IRF7m IRF7Pn IFNa_mRNA IFNa_env TNFam TNFenv STATm STAT NS IC1 IC2 IC2ifa TJ J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 default c2 compartment w r5 n3 bm sp delta1 n1 sv delta2 n2 TJtot K3 K9 delta r0 k15 tao1 C vmax2 NA K2 K5 tao3 r3 k8 tao4 k11 k14 tao6 k12 k16 tao8 vmax17 K17 r1 rmax20 K20 tao9 vmax19 K19 r4 k26 tao12 k28 tao13 
##CONCENTRATIONS
0 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.1000000000 0.000000 1.0000000000 1.0000000000 1.0000000000 0.000000 0.0010000000 0.000000 0.000000 0.0000001000000 0.000000 0.000000 0.000000 0.000000 0.0001000000 0.000000 0.00001000000 -0.004621 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
1 0.0008731898 0.0000105912 0.000000 0.0000000516248 0.000000 0.000000 0.000000 0.000000 0.0000852404 0.00000142134 0.00000721171 0.0969083043 0.0001285843 0.9991010659 1.0000000000 1.0000000000 0.000000216626 0.0007570014 0.0000181649 0.000000 0.0000000221207 0.000000 0.000000 0.000000 0.000000 0.0000727313 0.00000268137 0.00000499233 -0.001882 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
2 0.0015264927 0.0000330678 0.00000000129697 0.0000000624822 0.000000 0.000000 0.000000 0.000000 0.0001484415 0.00000511208 0.0000107425 0.0957733241 0.0040983607 0.9724409449 1.0000000000 1.0000000000 0.000000656499 0.0005492073 0.0000258727 0.00000000136683 0.00000000309791 0.000000 0.000000 0.000000 0.000000 0.0000542463 0.00000459831 0.00000227875 -0.000558 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
3 0.0019548008 0.0000610253 0.00000000292402 0.0000000603483 0.000000 0.000000 0.000000 0.000000 0.0001929662 0.0000104205 0.0000119288 0.0955013556 0.0303030303 0.8372093023 1.0000000000 1.0000000000 0.00000120955 0.0002952234 0.0000295439 0.00000000185526 -0.000000 0.000000 0.000000 0.000000 0.000000 0.0000339149 0.00000591409 0.000000104741 -0.000119 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
4 0.0021142231 0.0000913269 0.00000000495993 0.0000000496953 0.000000 0.000000 0.000000 0.000000 0.0002164283 0.0000167253 0.0000111373 0.0952934227 0.1163636364 0.6235294118 1.0000000000 1.0000000000 0.00000184174 0.0000373423 0.0000307151 0.00000000219492 -0.000000 0.000000 0.000000 0.000000 0.000000 0.0000144642 0.00000659625 -0.000001 -0.000394 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
5 0.0020743773 0.0001219681 0.00000000725515 0.0000000382608 0.000000 0.000000 0.000000 0.000000 0.0002262710 0.0000234803 0.00000943554 0.0946128549 0.2866709476 0.4810324785 1.0000000000 1.0000000000 0.00000250867 -0.000094 0.0000304310 0.00000000236418 -0.000000 0.000000 0.000000 0.000000 0.000000 0.00000734381 0.00000688018 -0.000002 -0.000975 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
6 0.0019593057 0.0001520103 0.00000000962824 0.0000000310747 0.000000 0.00000000123896 0.000000 0.000000 0.0002340232 0.0000304675 0.00000790291 0.0933750868 0.5000000000 0.4166666667 1.0000000000 1.0000000000 0.00000315918 -0.000127 0.0000295783 0.00000000235039 -0.000000 0.000000 0.000000 0.000000 0.000000 0.00000888572 0.00000710287 -0.000001 -0.001470 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
7 0.0018345909 0.0001811135 0.0000000119287 0.0000000274524 0.000000 0.00000000180878 0.000000 0.000000 0.0002449663 0.0000377174 0.00000683562 0.0917364797 0.6836838466 0.3893217339 1.0000000000 1.0000000000 0.00000377245 -0.000119 0.0000285963 0.00000000224334 -0.000000 0.000000 0.000000 0.000000 0.000000 0.0000131778 0.00000741584 -0.000001 -0.001778 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
8 0.0017241059 0.0002092320 0.0000000141040 0.0000000257890 0.000000 0.00000000251106 0.00000000123847 0.000000 0.0002604323 0.0000453424 0.00000617487 0.0898716607 0.8082083662 0.3770748240 1.0000000000 1.0000000000 0.00000434851 -0.000101 0.0000276714 0.00000000210810 -0.000000 0.000000 0.000000 0.000000 0.000000 0.0000177096 0.00000785542 -0.000001 -0.001930 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
9 0.0016327949 0.0002365077 0.0000000161500 0.0000000250007 0.000000 0.00000000335110 0.00000000177136 0.000000 0.0002802207 0.0000534686 0.00000578315 0.0879109371 0.8836363636 0.3711645102 1.0000000000 1.0000000000 0.00000489523 -0.000082 0.0000268646 0.00000000198645 -0.000000 0.000000 0.000000 0.000000 0.000000 0.0000218221 0.00000841322 -0.000000 -0.001980 1.0000000000 1.0000000000 1.0000000000 0.000000 1.0000000000 5.0000000000 6.0000000000 0.3000000000 0.1000000000 1.0000000000 0.1000000000 0.4000000000 5.0000000000 0.0001000000 0.0043000000 780.000000000000 0.0003000000 0.0010000000 0.0000000360000 2.5000000000 500000.000000000000000 72000.00000000000000 602299999999999975882752.000000000000000000000000000000000 0.0020000000 0.0100000000 0.5600000000 0.0000001000000 0.0036000000 0.4600000000 0.0003600000 0.000000320400 1.0000000000 360.000000000000 0.3600000000 2.0000000000 72000.00000000000000 0.0020000000 0.0001000000 0.0010000000 0.0006000000 2.0000000000 154800.000000000000000 0.0040000000 0.00001000000 0.3600850000 1.0000000000 360.000000000000 15.00000000000 
