Time,EGF_conc_step,EGF_conc_impulse,EGF_conc_ramp,pulse_time,ramp_time,pEGFR_tot,pEGFR_tot_std,pAkt_tot,pAkt_tot_std,pS6_tot,pS6_tot_std
0,0,0,0.3,60,3600,0,0.01,0,0.01,0,0.01
60,0,0,0.3,60,3600,0.031843,0.02,0.0096742,0.01,0.0013003,0.01
120,0,0,0.3,60,3600,0.017117,0.015,0.014499,0.01,0.0035103,0.01
300,0,0,0.3,60,3600,0.026203,0.015,0.076715,0.03,0.0098179,0.01
600,0,0,0.3,60,3600,0.055064,0.02,0.21725,0.03,0.026769,0.01
900,0,0,0.3,60,3600,0.074906,0.025,0.22724,0.02,0.13316,0.02
1200,0,0,0.3,60,3600,0.050973,0.02,0.19934,0.01,0.26085,0.03
1800,0,0,0.3,60,3600,0.054023,0.02,0.26374,0.05,0.49013,0.08
2400,0,0,0.3,60,3600,0.038647,0.01,0.23072,0.02,0.60205,0.08
3000,0,0,0.3,60,3600,0.090151,0.02,0.21725,0.02,0.69478,0.12
3600,0,0,0.3,60,3600,0.07739,0.01,0.19739,0.02,0.6321,0.065
