time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0.15625,0,0,0,0,0,0,0,0,0,0,0,H322M,6.749302365,11.63660822,0.45277381,323.1359638,16.99466148,8.46667028,0.846377488,10.53717362,0.095842739,0.176505911,0.301730023,0.158267919,0.374666949,0.596955264,,,,,
2,0.15625,0,0,0,0,0,0,0,0,0,0,0,H322M,38.15224942,4.583035427,0.443533692,395.8609756,15.40265173,8.032358639,0.794259139,9.738022816,1.013889556,0.332567941,0.4660848,0.43794489,0.467510016,0.791862839,,,,,
4,0.15625,0,0,0,0,0,0,0,0,0,0,0,H322M,38.76296496,3.508650088,0.273145692,419.6993463,16.32439262,8.888373523,0.965139543,11.34433003,1.274650113,0.373079366,0.485810466,0.492431008,0.545392461,0.84910861,,,,,
6,0.15625,0,0,0,0,0,0,0,0,0,0,0,H322M,40.66095667,3.76707375,0.415474704,492.7241856,13.51487046,7.812017581,0.880592098,9.905216811,1.016531606,0.268775844,0.68456926,0.400788537,0.630070263,0.825072474,,,,,
8,0.15625,0,0,0,0,0,0,0,0,0,0,0,H322M,38.88071523,2.999008782,0.445170057,467.5899477,14.36583718,8.549526024,1.083780397,10.67782205,0.666989452,0.217967437,0.694680575,0.32684205,0.636367593,0.726351221,,,,,
10,0.15625,0,0,0,0,0,0,0,0,0,0,0,H322M,37.55045149,3.414764523,0.279430701,483.083936,15.83492436,8.531279126,0.940524308,11.73441875,0.489708543,0.19858212,0.858546441,0.272595719,0.647055646,0.70933464,,,,,
15,0.15625,0,0,0,0,0,0,0,0,0,0,0,H322M,31.93122452,4.285851289,0.299730537,526.782687,14.85066847,7.175746506,0.752913036,9.419074898,0.518661162,0.178721227,0.906218334,0.266409839,0.646637404,0.694202434,,,,,
30,0.15625,0,0,0,0,0,0,0,0,0,0,0,H322M,33.74883003,3.590550483,0.364723963,469.6325544,15.2666941,7.410259868,0.811933313,10.07930081,0.535387883,0.23066083,1.071611786,0.259462561,0.685503067,0.725928927,,,,,
60,0.15625,0,0,0,0,0,0,0,0,0,0,0,H322M,33.69279471,3.722632533,0.226998856,507.726615,14.93959266,7.237672193,0.817069021,10.67585784,0.39071868,0.250985372,0.995260763,0.243618347,0.681502571,0.708118346,,,,,
90,0.15625,0,0,0,0,0,0,0,0,0,0,0,H322M,33.05919233,4.275801334,0.453700573,534.8395178,12.8926514,7.262296621,0.933344201,10.43291264,0.331836454,0.243216926,1.031295286,0.242196412,0.691634944,0.699731694,,,,,
120,0.15625,0,0,0,0,0,0,0,0,0,0,0,H322M,25.75839105,3.947421122,0.577654424,507.3441338,11.51437694,7.527073682,0.963838793,10.50883528,0.31808174,0.220439335,0.988977881,0.242253415,0.675318081,0.696091659,,,,,
240,0.15625,0,0,0,0,0,0,0,0,0,0,0,H322M,21.32310122,3.960264064,0.459537,387.610157,10.30463561,9.318974622,0.966045746,12.72193178,0.268389731,0.206101727,0.926182724,0.224780114,0.589872691,0.685174494,,,,,
0,0.625,0,0,0,0,0,0,0,0,0,0,0,H322M,6.436598349,2.136805612,0.438057678,366.7293905,16.79462331,8.148015343,0.803502237,10.50913075,0.093346755,0.169963812,0.311487952,0.15754216,0.387019639,0.642080894,,,,,
2,0.625,0,0,0,0,0,0,0,0,0,0,0,H322M,73.34670646,7.23080894,0.283035592,337.1977365,15.29790824,7.564698856,0.738441794,10.07147023,1.102747318,0.35319267,0.489975962,0.466139199,0.481777696,0.847923708,,,,,
4,0.625,0,0,0,0,0,0,0,0,0,0,0,H322M,71.83827907,5.465433147,0.477087982,473.3196817,16.66016498,8.433664405,0.888430509,11.74057862,1.234381694,0.331326961,0.536505031,0.482051871,0.58683852,0.886139079,,,,,
6,0.625,0,0,0,0,0,0,0,0,0,0,0,H322M,74.08783796,4.842889609,0.452385059,540.8711937,14.56678883,7.52142063,0.841260662,10.35135538,1.059984859,0.265068918,0.68290469,0.412084658,0.662692009,0.843217511,,,,,
8,0.625,0,0,0,0,0,0,0,0,0,0,0,H322M,72.86941106,4.11250818,0.416429568,475.7121125,15.14475146,8.170359579,1.009398656,10.39959179,0.710635492,0.198532512,0.686298587,0.327266273,0.647190881,0.776338516,,,,,
10,0.625,0,0,0,0,0,0,0,0,0,0,0,H322M,71.5560155,5.004393883,0.714284434,496.5072051,16.09628702,7.846826218,0.960651134,11.55222634,0.532028469,0.176617425,0.813983444,0.288076439,0.654706185,0.75677527,,,,,
