time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0.15625,0,0,0,0,0,0,1,0,0,0,0,A431,4875.25114,588.1827791,406.8075218,237.4777979,20782.17913,1029.639303,170.8228502,378.1209296,0.123207505,4.850702592,6.58531519,6.480951671,NaN,NaN,,,,,
5,0.15625,0,0,0,0,0,0,1,0,0,0,0,A431,10022.747,508.7622287,303.6887962,86.81432687,16899.3646,1027.144455,158.0579586,242.2771847,2.39949718,5.051143155,8.068449446,9.249469679,NaN,NaN,,,,,
10,0.15625,0,0,0,0,0,0,1,0,0,0,0,A431,6669.747264,801.4269906,340.5970813,174.1041332,18526.32827,963.7729484,128.3012585,301.0794451,2.232722621,4.903337782,24.49925007,6.600652401,NaN,NaN,,,,,
15,0.15625,0,0,0,0,0,0,1,0,0,0,0,A431,22832.98094,746.7161298,339.8475782,231.7088937,14145.27311,855.6152793,125.1851414,285.4966362,0.40565467,5.23124301,11.61156578,7.150963212,NaN,NaN,,,,,
30,0.15625,0,0,0,0,0,0,1,0,0,0,0,A431,9429.777244,909.2780309,441.6738353,109.650678,16888.4724,1243.979528,189.1662117,346.2653717,0.690821092,5.876085751,19.48287546,8.079470902,NaN,NaN,,,,,
60,0.15625,0,0,0,0,0,0,1,0,0,0,0,A431,14862.98211,1244.887151,531.8466194,133.6583459,20136.6524,1080.959562,199.8580025,305.5815024,1.09888603,6.975550009,23.31290351,6.914254528,NaN,NaN,,,,,
120,0.15625,0,0,0,0,0,0,1,0,0,0,0,A431,4723.254563,1130.642682,429.1308744,194.0122878,19706.16956,357.3257508,129.169067,220.8178014,0.398420282,7.672720998,18.77215076,7.735253568,NaN,NaN,,,,,
240,0.15625,0,0,0,0,0,0,1,0,0,0,0,A431,18449.88976,1127.790893,294.3535033,0,36218.41284,424.4792955,189.485868,261.8254737,2.277704811,2.680537083,37.28378851,2.572682162,NaN,NaN,,,,,
0,0.625,0,0,0,0,0,0,1,0,0,0,0,A431,5580.351975,575.9693264,389.4719908,140.0995784,19288.7586,1096.439141,165.3215886,246.393224,0.094113123,5.067704453,8.378630718,6.232673942,NaN,NaN,,,,,
5,0.625,0,0,0,0,0,0,1,0,0,0,0,A431,20612.03398,1749.900677,466.4305883,149.5644764,16128.12546,992.340739,162.4571103,243.5987175,3.409146308,6.087666054,10.06849638,8.553843258,NaN,NaN,,,,,
