time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pMet_au,pERK_au,pAKT_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
2,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_218,,16068.5817,62624.25765,,,,,,
3,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_218,,14353.1462,41415.80273,,,,,,
4,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_218,,15352.87488,59765.09734,,,,,,
5,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_218,,14270.48312,62081.37911,,,,,,
7,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_218,,18228.41957,75979.06971,,,,,,
10,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_218,,17061.24517,69536.91104,,,,,,
20,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_218,,25538.09657,62986.17667,,,,,,
30,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_218,,21514.45357,52852.44395,,,,,,
60,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_218,,17664.61499,34647.91694,,,,,,
90,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_218,,13652.98286,23826.53806,,,,,,
120,0,0,0,9,0,0,0,0,0,0,1,0,ACHN_218,,10959.72085,,,,,,,
2,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_218,,13372.49361,12245.12923,,,,,,
3,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_218,,12203.90616,18325.36887,,,,,,
4,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_218,,11308.03621,29689.62628,,,,,,
5,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_218,,10877.05777,37036.58251,,,,,,
7,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_218,,14021.78736,52888.63585,,,,,,
10,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_218,,15798.69028,56544.01801,,,,,,
20,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_218,,21112.44253,50138.05125,,,,,,
30,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_218,,20555.70316,51658.11116,,,,,,
60,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_218,,22200.48647,54553.46337,,,,,,
90,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_218,,15501.95103,47206.50714,,,,,,
120,0,0,0,3,0,0,0,0,0,0,1,0,ACHN_218,,14680.97242,43478.74117,,,,,,
2,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_218,,8373.850191,19013.01502,,,,,,
3,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_218,,8039.665267,21184.52917,,,,,,
4,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_218,,8009.991342,29110.55584,,,,,,
5,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_218,,7023.686577,38556.64242,,,,,,
7,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_218,,8573.089406,54625.84717,,,,,,
10,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_218,,8697.437284,63963.35804,,,,,,
20,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_218,,14217.49396,52381.94921,,,,,,
30,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_218,,14110.80914,52671.48443,,,,,,
60,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_218,,15271.62484,51151.42452,,,,,,
90,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_218,,12921.73255,51223.80833,,,,,,
120,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_218,,10481.40543,42610.13551,,,,,,
2,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_218,,4278.141939,7395.414284,,,,,,
