time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0.15625,0,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,1888.756343,133.6028363,0,76.60284819,0.232379648,4.207191582,2.707122799,6.211372718,NaN,,,,,
5,0.15625,0,0,0,0,0,0,0,0,0,0,0,ACHN,4343.937658,0,0,0,1633.35422,117.6230008,1.852040294,69.35622229,0.980661023,7.051840782,3.750089188,9.707396181,NaN,,,,,
10,0.15625,0,0,0,0,0,0,0,0,0,0,0,ACHN,2987.628131,0,33.37058021,0,1505.059414,115.0938897,4.872143153,77.92243551,1.338037806,6.822465431,3.682357542,8.640923504,NaN,,,,,
15,0.15625,0,0,0,0,0,0,0,0,0,0,0,ACHN,4786.501368,55.90255108,149.9561131,181.9029734,1633.944417,121.0826469,8.824217162,91.56612528,0.411539727,5.310383818,4.542693662,8.465784716,NaN,,,,,
30,0.15625,0,0,0,0,0,0,0,0,0,0,0,ACHN,4401.894055,0,0,0,1782.926282,125.6060634,4.599776521,98.39887219,0.646601576,5.436267053,5.830443793,8.923846187,NaN,,,,,
60,0.15625,0,0,0,0,0,0,0,0,0,0,0,ACHN,3857.740098,0,0,0,1932.037253,149.0928673,8.380357445,113.9773636,1.202731568,5.392768195,5.90303426,7.907116073,NaN,,,,,
120,0.15625,0,0,0,0,0,0,0,0,0,0,0,ACHN,2133.298604,0,0,0,1611.59747,83.67269253,4.583669153,86.56739407,0.417615384,5.929409509,5.364853028,8.067017618,NaN,,,,,
240,0.15625,0,0,0,0,0,0,0,0,0,0,0,ACHN,2782.683383,167.6805414,0,0,1771.840873,101.2967735,9.959378863,107.1693136,0.307689802,5.462421625,4.979313161,7.127803387,NaN,,,,,
0,0.625,0,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,2031.619264,149.2729386,0.941528344,79.36973027,0.242579431,5.03778118,3.382977696,6.692516334,NaN,,,,,
5,0.625,0,0,0,0,0,0,0,0,0,0,0,ACHN,16921.38414,0,0,0,1604.888713,115.8944325,2.164977142,71.77053724,1.421156796,8.007806141,3.237896884,9.028202711,NaN,,,,,
10,0.625,0,0,0,0,0,0,0,0,0,0,0,ACHN,12090.6287,72.0772174,138.03374,321.1340332,1330.774139,103.8610713,1.362821992,70.14803347,1.080684867,5.894075333,4.135835808,8.64411864,NaN,,,,,
15,0.625,0,0,0,0,0,0,0,0,0,0,0,ACHN,12301.77735,110.8388336,51.22516445,0,1605.245489,123.501174,7.799679826,94.20678743,0.478634659,7.095529097,7.13465803,9.898270684,NaN,,,,,
30,0.625,0,0,0,0,0,0,0,0,0,0,0,ACHN,15142.08052,163.2182465,127.1648352,145.5016752,1569.236772,126.2373719,7.209528657,96.05635141,0.928682702,6.615479081,7.566677656,8.057346798,NaN,,,,,
60,0.625,0,0,0,0,0,0,0,0,0,0,0,ACHN,12180.50502,114.0552212,0,156.3956748,1699.920752,147.4447564,6.981941874,102.4236454,1.174367702,4.911975874,8.791968225,8.382001956,NaN,,,,,
120,0.625,0,0,0,0,0,0,0,0,0,0,0,ACHN,8376.828162,171.4072602,0,16.94717168,1401.233037,79.5761656,4.306001457,84.53503346,0.823255171,6.470245674,7.654189975,8.515142714,NaN,,,,,
240,0.625,0,0,0,0,0,0,0,0,0,0,0,ACHN,6467.451985,0,0,26.65936955,1533.354146,91.80822487,9.593703361,97.27823336,0.480743965,5.226983278,6.342818043,7.16505857,NaN,,,,,
0,2.5,0,0,0,0,0,0,0,0,0,0,0,ACHN,0,0,0,0,2007.340976,145.791732,0,87.51853362,0.36368993,4.43096643,2.841709456,6.384901992,NaN,,,,,
5,2.5,0,0,0,0,0,0,0,0,0,0,0,ACHN,33630.4785,478.1949556,405.465999,0,1495.100392,102.7613281,1.983173143,62.27525683,1.077155471,6.41491047,3.409650587,9.592345911,NaN,,,,,
10,2.5,0,0,0,0,0,0,0,0,0,0,0,ACHN,20133.44789,0,0,0,1143.663804,84.32745289,0.957131341,53.58566148,1.039175689,6.157115076,3.984893532,8.169389812,NaN,,,,,
15,2.5,0,0,0,0,0,0,0,0,0,0,0,ACHN,18640.32884,0,50.32143692,0,1552.924676,116.5463193,6.021453916,86.94625132,0.675282874,6.226584246,6.524682042,8.685505173,NaN,,,,,
30,2.5,0,0,0,0,0,0,0,0,0,0,0,ACHN,21688.24035,194.3645806,82.14400827,98.35566487,1612.242499,157.4742821,10.88391446,97.26905175,0.783043524,5.621652833,6.809828393,8.632182965,NaN,,,,,
