time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pERK_au,pAKT_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0,27.8,0,0,0,0,0,0,1,0,0,0,ADRr_B,18.55717668,2434.152039,0,414.1931652,0,,,,,
1,0,27.8,0,0,0,0,0,0,1,0,0,0,ADRr_B,27.500661,8244.673586,1733.671539,3920.627181,881.2364401,,,,,
2,0,27.8,0,0,0,0,0,0,1,0,0,0,ADRr_B,26.7607745,7802.489242,1552.415222,8834.248532,4618.769126,,,,,
3,0,27.8,0,0,0,0,0,0,1,0,0,0,ADRr_B,37.6572847,8368.923732,2280.340594,13217.29105,7755.079853,,,,,
4,0,27.8,0,0,0,0,0,0,1,0,0,0,ADRr_B,39.67515696,7692.85676,2362.026774,13494.11479,11649.61955,,,,,
5,0,27.8,0,0,0,0,0,0,1,0,0,0,ADRr_B,44.58531279,7645.349351,2536.51619,15178.12586,9773.194326,,,,,
7,0,27.8,0,0,0,0,0,0,1,0,0,0,ADRr_B,59.04673065,7678.239095,2670.40419,15754.84198,11465.80646,,,,,
10,0,27.8,0,0,0,0,0,0,1,0,0,0,ADRr_B,64.69677298,6742.708582,2223.788623,13032.74189,11163.28077,,,,,
15,0,27.8,0,0,0,0,0,0,1,0,0,0,ADRr_B,57.70148248,6220.127085,1859.342586,13194.22241,9995.301801,,,,,
30,0,27.8,0,0,0,0,0,0,1,0,0,0,ADRr_B,39.9442066,5843.72223,1451.878384,11856.24101,8486.502746,,,,,
60,0,27.8,0,0,0,0,0,0,1,0,0,0,ADRr_B,29.65547411,4849.721059,1122.716911,11187.25031,6556.465375,,,,,
120,0,27.8,0,0,0,0,0,0,1,0,0,0,ADRr_B,33.28764417,4148.073174,897.9590767,8465.150214,3849.051841,,,,,
