time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0,0.15625,0,0,0,0,0,0,1,0,0,0,ADRr,0,341.3553568,121.6479287,72.20353033,1389.637492,246.6491203,122.5595641,215.7072057,0.170820675,4.794791453,6.385921718,5.557045983,NaN,NaN,,,,,
2,0,0.15625,0,0,0,0,0,0,1,0,0,0,ADRr,780.7199488,442.3186412,350.835957,0,1430.541883,277.7966731,180.7842829,274.8024726,0.566183384,7.084626957,3.720086234,6.579671692,NaN,NaN,,,,,
5,0,0.15625,0,0,0,0,0,0,1,0,0,0,ADRr,0,427.961626,368.7728996,0,1528.973286,270.6020381,151.4078823,214.5419964,4.412774794,12.64436261,7.049743278,7.052580205,NaN,NaN,,,,,
10,0,0.15625,0,0,0,0,0,0,1,0,0,0,ADRr,0,675.8456147,528.0309959,45.66798342,1631.851404,270.9230164,161.2479065,239.3549585,1.709645757,13.87323178,13.48157245,8.138894179,NaN,NaN,,,,,
15,0,0.15625,0,0,0,0,0,0,1,0,0,0,ADRr,0,548.4760862,438.1095822,22.84971153,1508.911894,278.9721463,164.0178348,249.909304,0.462179368,13.45080254,25.02273288,6.669665756,NaN,NaN,,,,,
30,0,0.15625,0,0,0,0,0,0,1,0,0,0,ADRr,0,380.4506591,427.8194443,0,1405.986479,237.311245,148.3474495,213.5489775,1.206834456,14.46339427,65.12985143,6.672646267,NaN,NaN,,,,,
60,0,0.15625,0,0,0,0,0,0,1,0,0,0,ADRr,0,277.6382283,334.724128,499.3239991,1392.220316,246.815662,139.2670719,178.3965702,0.581553632,10.41799331,26.70609457,7.532809707,NaN,NaN,,,,,
120,0,0.15625,0,0,0,0,0,0,1,0,0,0,ADRr,0,279.7952894,272.440044,0,1302.364122,259.5651764,134.657002,200.3407986,0.424474611,7.964800717,46.01255347,5.989853832,NaN,NaN,,,,,
240,0,0.15625,0,0,0,0,0,0,1,0,0,0,ADRr,0,213.6168008,173.9749534,0,1269.384273,222.5922498,107.8100472,175.8313351,0.384997737,2.531706771,7.506066365,3.072913878,NaN,NaN,,,,,
0,0,0.625,0,0,0,0,0,0,1,0,0,0,ADRr,0,1315.937638,97.92863205,146.5516952,1501.076752,257.4096889,148.6879122,202.7438266,0.202288945,4.746317175,6.80868072,6.534745568,NaN,NaN,,,,,
2,0,0.625,0,0,0,0,0,0,1,0,0,0,ADRr,0,1030.218984,913.478597,43.56882531,1399.173249,245.8770559,149.3539326,226.0033723,1.820270796,11.18576791,3.703975188,7.745207092,NaN,NaN,,,,,
