time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0.15625,0,0,0,0,0,1,0,0,0,0,0,BT20,1044.15125,377.6025655,803.6230695,0,5569.37016,886.0276033,64.53161003,178.4210807,0.1405944,10.0856698,4.765910046,7.396924795,NaN,NaN,,,,,
5,0.15625,0,0,0,0,0,1,0,0,0,0,0,BT20,5815.988144,263.1625983,156.6413605,0,5182.591677,929.2975308,62.39813965,166.0634759,3.964676827,19.33866413,5.007203315,10.75280769,NaN,NaN,,,,,
10,0.15625,0,0,0,0,0,1,0,0,0,0,0,BT20,4919.640556,243.1011999,116.598626,0,4933.143347,891.3986451,64.36236632,171.7199839,1.532118152,18.09544104,5.246962161,9.866773008,NaN,NaN,,,,,
15,0.15625,0,0,0,0,0,1,0,0,0,0,0,BT20,9322.353699,403.1932838,273.7457925,90.07921802,5126.355178,915.3887785,77.49916933,201.0398747,0.671138831,17.41667962,7.090318021,9.357902451,NaN,NaN,,,,,
30,0.15625,0,0,0,0,0,1,0,0,0,0,0,BT20,9870.942756,407.0530417,142.3424347,124.0067413,5156.505843,1010.082422,77.87950073,209.9610914,2.195309067,21.49117145,7.825739558,9.839045491,NaN,NaN,,,,,
60,0.15625,0,0,0,0,0,1,0,0,0,0,0,BT20,17040.03807,299.1944189,498.2548924,0,5578.193607,874.7564386,66.20017935,218.9211488,1.139762086,18.63854404,8.698333031,9.242131502,NaN,NaN,,,,,
120,0.15625,0,0,0,0,0,1,0,0,0,0,0,BT20,8917.570098,484.9036185,9.974191787,274.7416889,4920.246119,285.4932496,55.62837154,175.6424741,1.241127841,18.39183751,9.068741253,10.26652108,NaN,NaN,,,,,
240,0.15625,0,0,0,0,0,1,0,0,0,0,0,BT20,1527.8896,391.626462,28.254254,0,5127.733282,325.3028523,52.29665541,188.3232856,0.758696605,15.85709761,6.763646897,10.35367654,NaN,NaN,,,,,
0,0.625,0,0,0,0,0,1,0,0,0,0,0,BT20,834.5267537,890.8603347,199.8980821,0,5961.458142,1119.329014,75.27432445,196.7101809,0.148707639,12.3428086,5.497495042,7.127596113,NaN,NaN,,,,,
5,0.625,0,0,0,0,0,1,0,0,0,0,0,BT20,50032.26285,901.0254455,92.40240495,63.82204405,5265.982098,955.8592032,70.45838679,180.6969222,1.902835745,19.84070222,5.634427658,11.06288711,NaN,NaN,,,,,
10,0.625,0,0,0,0,0,1,0,0,0,0,0,BT20,75061.23129,993.5063339,109.0269223,0,4879.195312,1023.853666,74.11143185,194.9380749,7.483183456,21.08406045,6.598110345,10.58135552,NaN,NaN,,,,,
15,0.625,0,0,0,0,0,1,0,0,0,0,0,BT20,108189.8948,1562.755207,207.8616204,79.6112867,5409.709644,926.3672301,83.235767,200.1550373,1.165448008,19.55703293,11.17478388,10.50749827,NaN,NaN,,,,,
30,0.625,0,0,0,0,0,1,0,0,0,0,0,BT20,122719.3436,1156.508274,364.7828784,53.05124938,5784.817295,1130.955351,86.61114224,242.0675659,1.601547079,20.8849828,9.580115012,9.579833423,NaN,NaN,,,,,
60,0.625,0,0,0,0,0,1,0,0,0,0,0,BT20,308409.8848,2153.908125,188.3373615,0,5318.391149,861.1310684,64.06788295,214.1501247,3.326878374,22.74865473,11.29557389,9.693921006,NaN,NaN,,,,,
120,0.625,0,0,0,0,0,1,0,0,0,0,0,BT20,155276.7554,2010.927031,122.4630028,0,4205.628504,283.9589813,62.64435713,171.2270843,1.629510999,23.07403845,17.61953181,9.013792963,NaN,NaN,,,,,
240,0.625,0,0,0,0,0,1,0,0,0,0,0,BT20,90849.15994,1457.491817,101.7711647,155.2799499,3773.470761,304.9652608,65.18326863,181.2708583,0.825531475,16.02957669,7.506942874,9.714620345,NaN,NaN,,,,,
0,2.5,0,0,0,0,0,1,0,0,0,0,0,BT20,1293.446611,1239.575984,66.76427949,0,6107.365627,1150.120878,91.50161798,212.2546917,0.136761531,9.166338605,4.424816435,5.849541756,NaN,NaN,,,,,
5,2.5,0,0,0,0,0,1,0,0,0,0,0,BT20,219116.6211,2957.070286,209.9853076,0,5000.980301,835.2331571,64.86185841,152.7369947,3.865871967,20.3320139,6.28757209,11.1560087,NaN,NaN,,,,,
10,2.5,0,0,0,0,0,1,0,0,0,0,0,BT20,223795.5781,2273.601802,157.8030246,0,4806.42077,831.0284307,65.45309517,177.269329,1.656054922,17.5862658,6.231443706,10.4879723,NaN,NaN,,,,,
15,2.5,0,0,0,0,0,1,0,0,0,0,0,BT20,354206.9634,3281.918863,267.7809321,88.01557529,4639.464519,862.0504451,82.68205091,195.2178988,0.625850558,15.77957489,8.734446168,10.12067091,NaN,NaN,,,,,
30,2.5,0,0,0,0,0,1,0,0,0,0,0,BT20,329007.2569,2555.09802,254.8533182,121.3738376,5363.509077,823.5490434,120.2419361,195.6664403,3.05130212,21.66646351,10.03660287,8.918596151,NaN,NaN,,,,,
60,2.5,0,0,0,0,0,1,0,0,0,0,0,BT20,NaN,2300.514966,562.5762767,84.53893174,4807.258927,788.062729,68.94229033,199.7444469,1.507213409,17.80828614,8.251498518,9.031950568,NaN,NaN,,,,,
120,2.5,0,0,0,0,0,1,0,0,0,0,0,BT20,363800.5843,2425.007297,287.4408009,105.3571568,3725.633571,254.0158026,69.83288783,154.3010161,1.134544893,17.54606212,8.728428453,10.16756323,NaN,NaN,,,,,
240,2.5,0,0,0,0,0,1,0,0,0,0,0,BT20,152849.4319,1526.500401,279.1095427,517.8800874,3175.042588,270.4669078,72.03245017,189.7284607,0.785862157,15.89507129,7.949851238,10.11356486,NaN,NaN,,,,,
0,0,0.15625,0,0,0,0,1,0,0,0,0,0,BT20,679.3493881,560.6269853,204.2135936,459.7305071,4820.7239,1003.957609,88.49787551,202.1197297,0.102149736,10.29871194,5.103387005,6.104720657,NaN,NaN,,,,,
