time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0.15625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,6262.997057,55860.39574,1788.60829,102.2436157,1065.735022,13772.66483,329.9540384,67.73041544,0.099253333,25.03196627,7.247776514,6.956633241,NaN,,,,,
5,0.15625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,6895.113012,29555.133,1036.691516,0,742.0924976,9975.074677,238.0611712,38.38100391,0.560960851,20.54078732,5.940964335,8.087459549,NaN,,,,,
10,0.15625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,11103.48415,31902.8446,1075.377021,251.3740537,950.260139,14082.32342,301.6630161,66.31997804,0.59331188,22.24943888,6.462398749,7.803641283,NaN,,,,,
15,0.15625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,17407.62696,45417.17105,1598.351745,394.0611547,1028.020513,13455.61864,355.9767498,69.94999379,0.341475366,21.87213189,6.933739192,7.504782664,NaN,,,,,
30,0.15625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,11470.58182,27617.8795,959.9525713,86.49289085,739.5417923,12541.17328,209.6885883,45.67713515,0.452254964,20.42014691,6.423844473,7.691362076,NaN,,,,,
60,0.15625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,12233.18628,37006.43641,1403.524029,160.6465501,685.842148,10693.10198,242.028085,42.35689807,0.266198611,17.59630048,5.766326479,8.239786455,NaN,,,,,
120,0.15625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,9196.289696,27106.47774,1100.361207,79.0307172,656.5827162,10353.83789,248.5093404,42.84608344,0.532177134,35.74471567,10.37090922,9.420039562,NaN,,,,,
240,0.15625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,8963.719557,25532.78625,1012.395335,553.9586185,697.9937288,12296.2038,270.8056249,59.10689276,0.38654242,23.81323002,9.327427987,7.875883,NaN,,,,,
0,0.625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,7550.857335,68475.71617,1907.252896,112.0876432,1278.704866,15938.51253,409.6821655,49.4401759,0.129017805,33.99317607,11.61676022,4.083264992,NaN,,,,,
5,0.625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,15969.75216,28879.69434,1003.510109,0,666.0898263,9960.349791,224.6076888,35.10061359,0.541157844,25.34984485,6.478409696,7.641373847,NaN,,,,,
10,0.625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,29244.46599,31827.29341,1309.961517,502.6682089,933.581685,14351.81155,326.3940145,63.15582432,0.676301841,28.56518189,6.693394057,7.560288385,NaN,,,,,
15,0.625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,29895.32717,41252.03453,1503.818191,152.1489533,848.3824356,12573.34666,310.8870092,58.37432592,0.428709502,32.16585529,9.606581481,7.399132069,NaN,,,,,
30,0.625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,25582.32395,25838.39826,1168.267187,298.8760234,704.7314131,11976.69195,258.9230713,55.32763712,0.529323834,35.88246064,8.939718957,7.403833475,NaN,,,,,
60,0.625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,19174.98688,32641.25346,1469.981167,423.2313762,584.3196054,10120.81477,233.0001704,39.9545077,0.26736867,19.67025355,6.410649291,7.731842725,NaN,,,,,
120,0.625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,14058.93351,26369.71877,1208.353122,44.81888552,710.9077527,11171.55306,244.494651,42.8649746,0.35826886,28.15772375,8.233793572,8.676420374,NaN,,,,,
240,0.625,0,0,0,0,0,0,0,0,0,0,0,BT474M3,13240.9293,27840.52401,1009.208233,452.5314722,680.7865175,13977.07009,250.3138268,53.85725442,0.36182146,46.67853378,9.424802011,7.327660424,NaN,,,,,
0,2.5,0,0,0,0,0,0,0,0,0,0,0,BT474M3,7113.968602,66657.46392,1980.1724,0,1235.969153,15044.49828,396.2123269,59.09180803,0.112227317,28.59260647,10.07835763,6.211856118,NaN,,,,,
5,2.5,0,0,0,0,0,0,0,0,0,0,0,BT474M3,34079.77315,34151.06501,1542.722587,80.01665399,945.4885723,11844.59519,281.8131496,45.17118353,0.99233486,29.45543703,6.774676154,8.25461869,NaN,,,,,
10,2.5,0,0,0,0,0,0,0,0,0,0,0,BT474M3,56335.61652,40258.26188,1470.020545,52.69012887,1215.343797,18911.92254,337.0786284,62.68353816,1.033831745,41.58711955,7.623312827,7.926567079,NaN,,,,,
15,2.5,0,0,0,0,0,0,0,0,0,0,0,BT474M3,42217.7414,43232.33112,1900.913923,217.1266905,917.6444161,13754.32249,324.2436404,62.56267762,0.416293637,26.80537973,9.039377482,7.727421358,NaN,,,,,
30,2.5,0,0,0,0,0,0,0,0,0,0,0,BT474M3,33867.83762,27149.21971,1410.668974,476.8386091,814.8865777,12597.79378,295.3598744,69.85584356,0.832303331,39.72235813,8.272588613,7.612931397,NaN,,,,,
60,2.5,0,0,0,0,0,0,0,0,0,0,0,BT474M3,25613.84656,38254.66348,1665.012287,453.4326952,696.2723095,12612.31248,279.2605901,50.25058224,0.34466385,24.41645207,6.250728523,7.891326785,NaN,,,,,
120,2.5,0,0,0,0,0,0,0,0,0,0,0,BT474M3,12506.0732,26358.92932,1173.615352,256.121757,574.6014498,10686.90616,228.3102155,41.46039409,0.370195303,26.29884742,7.238108778,8.99939228,NaN,,,,,
240,2.5,0,0,0,0,0,0,0,0,0,0,0,BT474M3,10225.18009,23842.21145,1023.775286,326.5187615,569.2042869,11551.4042,234.4412331,50.66798602,0.30372474,27.22331852,8.133924146,8.5316062,NaN,,,,,
0,0,0.15625,0,0,0,0,0,0,0,0,0,0,BT474M3,6399.952281,47464.8143,1733.762711,210.9925891,1217.275469,13962.57886,406.7013599,81.25872791,0.16936826,22.56862771,11.3462612,6.119114829,NaN,,,,,
5,0,0.15625,0,0,0,0,0,0,0,0,0,0,BT474M3,4922.998662,34634.86648,2377.418457,413.590804,976.1998178,12443.86486,312.9147657,52.24890446,0.439682558,22.84095563,6.755006524,7.827278359,NaN,,,,,
10,0,0.15625,0,0,0,0,0,0,0,0,0,0,BT474M3,5591.968128,29237.37925,2954.444059,340.6032511,1203.625697,14757.86251,388.8847458,83.04891118,0.505222374,28.83300589,7.221985378,7.654603312,NaN,,,,,
15,0,0.15625,0,0,0,0,0,0,0,0,0,0,BT474M3,6291.259764,37557.25999,3732.981703,256.5701102,1028.10636,14132.74323,357.3972375,64.58034266,0.311044729,25.64787082,9.788810191,7.824290596,NaN,,,,,
