time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0.15625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,1.403667437,3.104737756,NaN,128.5087418,32.36169722,2.830916072,0.415672228,2.028259147,0.22102286,0.17583768,0.672733141,0.449943798,0.511545879,0.919242928,,,,,
2,0.15625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,30.39476234,4.707327587,0,31.95768584,28.6326888,2.681643865,0.441627081,1.860425456,0.760678277,0.53100691,0.645278586,0.840744707,0.567903378,1.240210211,,,,,
4,0.15625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,23.45274795,2.614536158,0,0,33.06800735,2.934535129,1.152653805,2.406808825,1.191214331,0.496480168,0.760997857,1.292949201,0.707569146,1.275364121,,,,,
6,0.15625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,21.64893005,3.64023618,0.231914689,245.4971387,32.75200477,2.777927973,0.495546377,2.156213971,1.198684776,0.322825847,0.822309854,1.440408525,0.748102399,1.313720266,,,,,
8,0.15625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,21.62647576,1.441662867,0.226525435,327.8786162,30.76188168,2.259157624,0.414238741,1.959590654,1.142557887,0.224485722,0.959086126,1.381081695,0.807964278,1.273080406,,,,,
10,0.15625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,23.81123392,3.723433674,0,0,33.6946624,2.739015477,0.450740294,2.420951498,1.11663064,0.223771169,1.037538313,1.316162552,0.801431684,1.260234073,,,,,
15,0.15625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,20.02111468,3.090635003,0,0,25.60735298,2.694756173,0.500696199,2.045168874,1.112137607,0.219757234,1.084318236,1.272731897,0.803855975,1.221849714,,,,,
30,0.15625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,27.95757713,3.91850817,0,0,25.03277776,2.518515625,0.456834504,1.937678132,0.930565921,0.235939306,1.160064325,1.037850704,0.832087375,1.186662921,,,,,
60,0.15625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,33.53759044,2.386991367,0,0,25.72752673,2.791668555,0.600543099,2.196915532,0.6909572,0.198686989,1.079400704,0.880094299,0.778246453,1.092680541,,,,,
90,0.15625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,28.83155113,2.66230669,0.159391307,177.0523403,25.07686825,2.479898726,0.439757578,1.954982314,0.628083682,0.178113992,1.088069925,0.846170686,0.779055028,1.096048059,,,,,
120,0.15625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,30.98470783,1.494768904,0.127080272,242.0172591,29.83324127,2.893106722,0.508306136,2.292548155,0.57085837,0.163630834,1.102632752,0.845291062,0.820068266,1.083291893,,,,,
240,0.15625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,32.08383441,5.064448098,0,75.88132835,29.91493839,2.907655714,0.516482038,2.650045098,0.493018419,0.136500457,1.102619479,0.811695937,0.720907524,1.014986174,,,,,
0,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,1.544981403,1.41761475,NaN,NaN,27.37441595,2.662733893,0.40069889,2.093395816,0.205126769,0.164273789,0.648551588,0.450312317,0.491589006,0.979439351,,,,,
2,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,53.01118326,5.58623601,0,189.6560127,25.77189752,2.544659232,0.449384279,1.873349987,0.778130201,0.475308022,0.643446755,0.86220028,0.568727365,1.279868928,,,,,
4,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,60.12626303,3.747123272,0,0,27.79626896,2.790223231,0.499293644,2.258760335,1.192529751,0.422127013,0.747973056,1.335927251,0.704873979,1.350314751,,,,,
6,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,55.76734462,3.689754471,0.398539589,226.4942191,26.08639728,2.56860794,0.451613573,2.071268309,1.218593476,0.249000801,0.817881152,1.476130742,0.737425288,1.356825371,,,,,
8,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,57.52921639,1.625695147,0.08069311,125.5538261,26.33054748,2.211325758,0.413403337,1.84593475,1.122102944,0.181830704,0.957162842,1.38420775,0.755970771,1.313323079,,,,,
10,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,62.8820125,4.809577985,0.148356318,245.254529,31.51514757,2.767946757,0.502224016,2.305260037,1.122840238,0.19738842,1.020644971,1.303153407,0.739939003,1.310269151,,,,,
15,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,52.83085055,3.182441338,NaN,200.670575,24.71590068,2.719275751,0.973002428,1.999680989,1.185148707,0.195611985,1.074206438,1.364615092,0.774249961,1.30279637,,,,,
30,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,67.11453977,3.323428524,0,54.44015863,23.13831531,2.474057503,0.476062482,1.933657345,0.976965786,0.192304968,1.16196856,1.114016809,0.785173888,1.254019173,,,,,
60,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,83.33673644,2.78369752,0,25.54922194,23.6269132,2.88361145,0.459291865,2.109576095,0.616492977,0.172486248,1.069316221,0.873500789,0.701691935,1.133595433,,,,,
90,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,82.23450072,3.995774412,0.168150388,233.2190406,24.30694699,2.335588611,0.495690417,2.028610212,0.542487125,0.159498726,1.065105667,0.841026873,0.684843881,1.131056406,,,,,
120,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,84.73119149,3.558047864,0.070632807,180.4983125,26.72071465,3.039321001,0.515596922,2.507702738,0.499518959,0.151917447,1.124201973,0.796546316,0.77334385,1.11588413,,,,,
240,0.625,0,0,0,0,1,0,0,0,0,0,0,BxPc3,81.82997197,6.607277089,0,188.5028047,22.6501111,2.578156232,0.541935036,2.473778797,0.441162808,0.12737531,1.062365053,0.795056717,0.697696259,1.055968951,,,,,
