time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,pGSK3_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0.15625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,963.7465617,945.0206012,756.9960893,545.6593983,526.0104911,744.2915979,5.334886299,8.344813164,0.122600497,12.95823368,4.435371163,8.099394587,NaN,NaN,,,,,
5,0.15625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,10499.24592,1302.873156,0,75.44622707,704.7796238,863.9208751,5.456014277,10.27572511,2.67842855,25.91796341,7.207169122,9.624537891,NaN,NaN,,,,,
10,0.15625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,9608.859558,1686.248037,92.49271891,327.4262166,575.3739097,997.8918939,5.840320468,14.43464205,1.824429985,27.66444445,12.47136671,8.433766114,NaN,NaN,,,,,
15,0.15625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,8905.583991,1665.121011,149.9076374,248.5163642,512.7858561,856.2793452,7.349399216,13.67002893,0.952997914,25.02575426,17.72187374,9.105709195,NaN,NaN,,,,,
30,0.15625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,6131.075288,1193.459507,35.87084906,193.476174,495.0615318,844.8838198,3.340440812,11.78138315,1.12711304,22.76615316,16.69751394,8.210529117,NaN,NaN,,,,,
60,0.15625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,4323.063956,926.8861607,0,217.6109628,327.9446366,718.8186121,3.08194355,10.86451147,0.79121478,24.12945422,16.97265367,8.789653639,NaN,NaN,,,,,
120,0.15625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,1073.486518,691.5036856,0,0,255.0195583,490.9766736,0,3.972008386,0.335592193,21.28308175,21.62031858,7.308511877,NaN,NaN,,,,,
240,0.15625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,0,336.0431624,0,0,240.6975835,481.0049821,1.234911821,6.211154866,0.349994658,22.11628422,23.59150382,6.735663466,NaN,NaN,,,,,
0,0.625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,NaN,713.7423742,70.10949058,NaN,463.8193433,769.0301978,6.192512054,8.091477191,0.381517579,14.52529514,2.054390613,1.998167963,NaN,NaN,,,,,
5,0.625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,22024.6312,2757.515628,0,0,414.7733135,711.5625637,3.01837162,6.380105243,2.199652656,28.71818944,7.033621023,11.06904376,NaN,NaN,,,,,
10,0.625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,24434.0315,3166.362563,145.4393957,296.4415854,555.1090726,901.9132524,5.83370591,12.92321346,3.216191373,30.2865569,14.0902968,9.590465678,NaN,NaN,,,,,
15,0.625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,20087.79112,2710.487733,225.2751129,470.2086333,500.1872628,762.2885615,10.65726274,13.35220803,1.976047666,33.22893996,23.70420346,8.803142274,NaN,NaN,,,,,
30,0.625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,10303.13198,1842.551421,248.917651,327.0148019,442.0872229,801.7684201,8.448101905,15.75522247,1.939142963,33.21415804,23.30008773,8.768882988,NaN,NaN,,,,,
60,0.625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,4038.600813,1136.846749,162.7371662,664.2104937,217.6150048,645.9413933,3.616708773,8.9906917,0.790433455,25.64895147,17.53311518,9.388857304,NaN,NaN,,,,,
120,0.625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,0,592.7431242,0,0,106.6544251,442.7306709,0,4.192265153,0.369013179,20.92552195,35.15582752,7.966915845,NaN,NaN,,,,,
240,0.625,0,0,0,0,0,0,0,0,1,0,0,IGROV1,0,200.1836041,0,0,121.3864759,485.6533185,2.369038207,6.304762274,0.398039507,16.10290892,16.44817049,8.182127637,NaN,NaN,,,,,
0,2.5,0,0,0,0,0,0,0,0,1,0,0,IGROV1,0,396.6132977,30.37581296,66.63362149,448.401992,727.4932046,6.023125969,7.225060875,0.338881628,13.24769523,1.50296675,2.424718647,NaN,NaN,,,,,
5,2.5,0,0,0,0,0,0,0,0,1,0,0,IGROV1,50253.24261,3427.94441,0,311.0613345,549.0220544,697.3055354,3.611769217,7.99728736,2.838196943,34.39796204,9.544755287,11.82383922,NaN,NaN,,,,,
10,2.5,0,0,0,0,0,0,0,0,1,0,0,IGROV1,29523.29252,3234.653364,0,74.98051503,544.9421309,895.985428,4.79235361,12.71290559,1.812863409,37.22829902,18.72703224,10.25696326,NaN,NaN,,,,,
