time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,0.15625,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,8.419798693,0,0,0,380.0139881,58.15044396,1.529302911,7.928559659,0.217106905,6.589691045,3.752739097,10.29602846,NaN,,,,,
5,0.15625,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,434.6321581,0,0,0,331.168396,45.77260637,1.354540426,8.337505693,0.379327677,6.058858024,3.417242971,11.09457788,NaN,,,,,
10,0.15625,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,455.2293513,0,73.56198028,0,357.0509184,58.14479485,3.637843496,11.39345275,0.322922002,6.692250783,3.635440332,11.89831517,NaN,,,,,
15,0.15625,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,376.7542157,593.2173046,62.44649096,117.1908088,403.5829566,63.00899002,6.665070726,13.82322189,0.271314869,6.865801395,4.840942909,10.98259579,NaN,,,,,
30,0.15625,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,271.9511754,0,70.47204741,171.2244498,369.4451976,57.70821395,6.552571707,11.65566656,0.320219744,6.152258231,3.997833289,11.22290818,NaN,,,,,
60,0.15625,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,270.1718188,0,0,0,315.2290621,53.26678904,0,8.581139506,0.229613163,6.925982947,3.855343604,11.05910859,NaN,,,,,
120,0.15625,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,290.8969291,0,0,0,363.1128535,34.71853105,0.925146491,5.161130976,0.250276859,6.547382547,3.54266595,10.20893003,NaN,,,,,
240,0.15625,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,134.3569798,0,0,0,345.2191091,34.8307807,0,7.382089492,0.2136069,6.129784199,3.24028913,9.523320116,NaN,,,,,
0,0.625,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,4.657281924,0,0,0,364.2750442,55.93873615,0.917406749,6.868816605,0.182127946,6.30927446,2.811973834,10.05827386,NaN,,,,,
5,0.625,0,0,0,0,0,0,0,0,0,0,0,MDAMB231,2469.205153,0,0,0,323.4257531,46.31684724,0.38065386,7.740182617,0.468853359,8.209042388,3.792367207,11.78543887,NaN,,,,,
