time,EGF_level,HRG_level,HGF_level,IGF1_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,tEGFR_au,tErbB2_au,tErbB3_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,5,0,0,0,0,0,0,0,0,0,0,H322M,7.263381746,2.297533523,1.176095021,15.64121682,8.007946519,0.763499199,0.10256238,0.176899324,0.329621772,0.160005137,0.39194874,,,,,
2,5,0,0,0,0,0,0,0,0,0,0,H322M,162.0268722,13.6956926,0.369167235,14.64920374,7.398353727,0.713384219,1.128647986,0.359026819,0.519043979,0.449073931,0.513395139,,,,,
4,5,0,0,0,0,0,0,0,0,0,0,H322M,156.5084061,8.662746277,0.302716187,15.39940769,8.087496408,0.833953096,1.170348526,0.313826466,0.53671599,0.430485009,0.55666887,,,,,
6,5,0,0,0,0,0,0,0,0,0,0,H322M,152.0778681,7.44647652,0.525794835,14.00573074,7.344970724,0.873513863,0.952994273,0.232801914,0.709904474,0.378471406,0.671132784,,,,,
8,5,0,0,0,0,0,0,0,0,0,0,H322M,130.6266329,6.518060803,0.45645069,15.78569354,7.885818426,0.981708847,0.566989905,0.178153819,0.717674344,0.288523458,0.650099132,,,,,
10,5,0,0,0,0,0,0,0,0,0,0,H322M,126.1471163,6.428824108,0.569232789,15.54231347,8.094742388,0.924074579,0.44261938,0.160492747,0.843885465,0.252817555,0.61410117,,,,,
15,5,0,0,0,0,0,0,0,0,0,0,H322M,85.9946338,4.690725453,0.279342108,13.89218667,7.153012726,0.724456511,0.398767754,0.138534859,0.895828824,0.246280159,0.575881167,,,,,
30,5,0,0,0,0,0,0,0,0,0,0,H322M,56.84461456,3.632826384,0.281949473,13.27134879,6.94475306,0.774181604,0.444921274,0.223026821,0.917247833,0.245594949,0.625802837,,,,,
60,5,0,0,0,0,0,0,0,0,0,0,H322M,43.30839384,3.590638885,0.324389645,10.01001201,6.816719132,0.839402598,0.341980849,0.249442307,0.964665679,0.224183512,0.688881214,,,,,
90,5,0,0,0,0,0,0,0,0,0,0,H322M,37.64679118,4.063927279,0.406700364,8.785283329,6.716764221,0.901983553,0.2871048,0.247887579,0.99179709,0.231724396,0.676170298,,,,,
120,5,0,0,0,0,0,0,0,0,0,0,H322M,29.17350497,4.163982337,0.452651474,6.58253317,7.205958258,0.965991276,0.272979477,0.221932438,0.907459313,0.225589456,0.655894641,,,,,
240,5,0,0,0,0,0,0,0,0,0,0,H322M,19.02583362,4.068260969,0.531973999,4.517555965,8.620546246,0.977832703,0.260785753,0.218652566,0.898562224,0.218530567,0.586631427,,,,,
0,5,5,0,0,0,0,0,0,0,0,0,H322M,6.768721711,1.84712076,0.446385716,16.517397,8.151043282,0.830756914,0.109293248,0.183529457,0.362891406,0.16056434,0.395308522,,,,,
2,5,5,0,0,0,0,0,0,0,0,0,H322M,157.1608762,15.41756055,2.272816041,15.87018674,7.845220585,0.667636996,1.327499266,0.656613448,0.569611617,0.502401916,0.54865253,,,,,
4,5,5,0,0,0,0,0,0,0,0,0,H322M,150.1874699,10.10573743,2.123176439,16.96589259,8.175594997,0.696418212,1.198248229,0.728385307,0.616629971,0.47642802,0.621033274,,,,,
6,5,5,0,0,0,0,0,0,0,0,0,H322M,141.7815643,8.448345093,1.934348069,16.25583508,8.207451033,0.680377591,1.003764369,0.713217767,0.76366545,0.408883685,0.71865778,,,,,
8,5,5,0,0,0,0,0,0,0,0,0,H322M,142.3071989,7.960405073,2.123962885,17.57514446,8.797827552,0.739251126,0.656764666,0.659209364,0.859356119,0.322578243,0.739282388,,,,,
10,5,5,0,0,0,0,0,0,0,0,0,H322M,127.8149589,7.52247177,2.022958095,17.53892253,8.442209719,0.749938767,0.546049863,0.6391961,1.080654892,0.298231471,0.825000594,,,,,
15,5,5,0,0,0,0,0,0,0,0,0,H322M,95.08389358,6.682262187,1.988052057,14.8199936,7.147158422,0.621932119,0.516109861,0.604301622,1.083996177,0.288047026,0.850180602,,,,,
30,5,5,0,0,0,0,0,0,0,0,0,H322M,65.68069989,6.370363139,1.872110719,14.51745516,7.23421452,0.716807405,0.51704082,0.704241365,1.217199317,0.272415845,0.959067146,,,,,
60,5,5,0,0,0,0,0,0,0,0,0,H322M,46.67503303,5.378678321,1.798393872,10.22082854,6.883553461,0.63118242,0.431685762,0.731131176,1.213561686,0.264097532,0.943343754,,,,,
90,5,5,0,0,0,0,0,0,0,0,0,H322M,43.52882165,5.065532046,1.990990984,10.21961084,7.473834363,0.719824229,0.382990305,0.723978936,1.238074649,0.267108926,1.007411615,,,,,
120,5,5,0,0,0,0,0,0,0,0,0,H322M,30.01050248,4.874833004,1.768119726,7.492577429,7.762873154,0.756675408,0.347818976,0.731862965,1.18396595,0.25650531,1.000022695,,,,,
240,5,5,0,0,0,0,0,0,0,0,0,H322M,22.05016701,6.611433307,1.98602831,4.973164304,8.868872187,0.87045016,0.291949873,0.639037577,1.144524342,0.223462268,0.962398896,,,,,
0,5,0,1,0,0,0,0,0,0,0,0,H322M,4.766956862,1.109923316,0.407097279,16.49848307,8.456524941,0.771658884,0.123636885,0.196404537,0.393631647,0.164820937,0.4038156,,,,,
2,5,0,1,0,0,0,0,0,0,0,0,H322M,153.5851513,13.62777939,0.47079557,16.4398227,7.611018679,0.740239679,1.41631721,0.628702937,0.566653201,0.504935471,0.539749158,,,,,
4,5,0,1,0,0,0,0,0,0,0,0,H322M,153.2386602,8.848285068,0.240993503,16.80433647,8.532847722,0.831619881,1.19327266,0.626271958,0.599020819,0.478219452,0.602501759,,,,,
6,5,0,1,0,0,0,0,0,0,0,0,H322M,149.6361562,6.699708939,0.334647717,16.482056,8.477543293,0.863266348,0.990299392,0.574636001,0.785277596,0.39575178,0.71466757,,,,,
8,5,0,1,0,0,0,0,0,0,0,0,H322M,144.7204938,6.346824211,0.278036525,16.96823475,8.947091284,1.000794916,0.660944098,0.51987769,0.874542149,0.313496028,0.740244123,,,,,
10,5,0,1,0,0,0,0,0,0,0,0,H322M,135.7180043,6.869189677,0.355400437,17.63110576,8.956080241,0.964075075,0.524278711,0.519502916,1.058422118,0.286706522,0.814494097,,,,,
15,5,0,1,0,0,0,0,0,0,0,0,H322M,92.94170614,4.921182989,0.353614911,14.11854369,6.876281785,0.770115443,0.482196053,0.426786043,1.081260044,0.276463861,0.797821322,,,,,
30,5,0,1,0,0,0,0,0,0,0,0,H322M,62.94633837,4.934856607,0.386541428,13.50595008,7.17411242,0.844093426,0.500584323,0.510101145,1.21608378,0.268285511,0.900792223,,,,,
60,5,0,1,0,0,0,0,0,0,0,0,H322M,49.06921588,3.836889534,0.255661008,10.16688199,7.123022041,0.838364502,0.428341229,0.483597888,1.182989556,0.257817056,0.874734031,,,,,
90,5,0,1,0,0,0,0,0,0,0,0,H322M,45.49081274,3.804687446,0.211904125,9.080180198,8.02516946,0.912352147,0.400949978,0.50080861,1.260174011,0.266461166,0.941632028,,,,,
120,5,0,1,0,0,0,0,0,0,0,0,H322M,35.56094071,3.270236705,0.242873586,7.610506835,8.270546821,0.914739959,0.342938667,0.455348297,1.177478962,0.249977069,0.897259095,,,,,
240,5,0,1,0,0,0,0,0,0,0,0,H322M,27.7836253,6.101455887,0.474260829,5.349501065,9.591310604,0.976702045,0.330422315,0.434992103,1.136258907,0.235396748,0.849545348,,,,,
0,0,5,0,0,0,0,0,0,0,0,0,H322M,5.714434769,2.771246815,0.678657183,17.44868437,9.107161781,0.879792664,0.101304082,0.188443744,0.310349957,0.160982268,0.408380621,,,,,
2,0,5,0,0,0,0,0,0,0,0,0,H322M,5.054795724,8.768667075,4.260649195,15.24741878,7.799541774,0.634258743,0.580471237,0.687772223,0.448288495,0.305814851,0.483739047,,,,,
4,0,5,0,0,0,0,0,0,0,0,0,H322M,4.147150023,8.50803379,4.38692195,18.5667215,8.737200386,0.702816418,1.007831824,0.900135902,0.415281759,0.381389379,0.550004735,,,,,
6,0,5,0,0,0,0,0,0,0,0,0,H322M,4.03874601,6.942736764,3.755588132,17.52220221,8.115804849,0.625431566,0.723853317,0.935036515,0.594335779,0.312230422,0.673818036,,,,,
8,0,5,0,0,0,0,0,0,0,0,0,H322M,4.058938464,7.962681379,4.672079746,18.22386329,8.910999429,0.719389035,0.334333704,0.85107031,0.618682236,0.238135936,0.701717376,,,,,
10,0,5,0,0,0,0,0,0,0,0,0,H322M,5.390213039,7.716095436,4.153403607,18.37783371,8.393990926,0.690916736,0.204669262,0.844403337,0.790466302,0.207724638,0.758801465,,,,,
15,0,5,0,0,0,0,0,0,0,0,0,H322M,3.398263033,5.997913906,3.320120228,15.16242885,6.874320988,0.579807367,0.249183607,0.786529933,0.895198982,0.212217013,0.829263917,,,,,
30,0,5,0,0,0,0,0,0,0,0,0,H322M,4.413767029,6.039630639,3.361574641,16.10839283,7.096912736,0.572968514,0.22968826,0.851693238,1.175525923,0.20285162,0.926208586,,,,,
60,0,5,0,0,0,0,0,0,0,0,0,H322M,5.363963926,6.536761984,3.513864486,15.57368576,7.062841798,0.629060418,0.230849021,0.838646704,1.035133891,0.200093605,0.9629737,,,,,
90,0,5,0,0,0,0,0,0,0,0,0,H322M,3.615762996,6.085512473,3.809918615,16.66309826,7.285806394,0.679306732,0.210100768,0.817895152,1.11390742,0.198560177,0.964444803,,,,,
120,0,5,0,0,0,0,0,0,0,0,0,H322M,3.829547975,5.259006264,3.221285047,18.04976214,7.844323636,0.703379623,0.206558817,0.802933897,1.109337412,0.194739605,0.980527371,,,,,
240,0,5,0,0,0,0,0,0,0,0,0,H322M,5.622984438,7.079342254,3.137956542,17.9085928,7.928393764,0.748736492,0.159111865,0.693061031,1.1489375,0.188955341,0.954952176,,,,,
0,0,5,1,0,0,0,0,0,0,0,0,H322M,5.406588283,1.140428237,0.335865627,17.76591088,8.547527317,0.791283569,0.106894228,0.183969726,0.364576354,0.16634741,0.39643434,,,,,
2,0,5,1,0,0,0,0,0,0,0,0,H322M,6.240820379,8.199113728,4.183392077,17.37499874,7.728325944,0.650256462,0.705509046,0.786189923,0.500811076,0.321263356,0.513312002,,,,,
4,0,5,1,0,0,0,0,0,0,0,0,H322M,5.637897062,6.912699709,3.794833342,17.52278006,8.709445014,0.682491767,0.972740515,0.95036295,0.476076884,0.370331873,0.591138307,,,,,
6,0,5,1,0,0,0,0,0,0,0,0,H322M,7.148137262,7.405330526,3.808396209,15.55627033,9.21621084,0.714481153,0.603644288,0.991806404,0.668314405,0.300201749,0.68958397,,,,,
8,0,5,1,0,0,0,0,0,0,0,0,H322M,4.697307732,6.790391782,3.903818687,18.22707226,8.925696495,0.730146671,0.296970381,0.95988587,0.6780935,0.236156163,0.697743186,,,,,
10,0,5,1,0,0,0,0,0,0,0,0,H322M,8.277102305,6.65637097,3.891179278,19.97440826,8.913846365,0.785819643,0.218244358,0.968663675,0.896716904,0.216582709,0.800113968,,,,,
15,0,5,1,0,0,0,0,0,0,0,0,H322M,5.091990768,5.391082455,3.114109487,15.14079722,7.240071448,0.612420179,0.257751358,0.942195679,1.057780509,0.234924761,0.86542524,,,,,
30,0,5,1,0,0,0,0,0,0,0,0,H322M,5.006769714,5.85208058,3.491498389,15.86824364,7.733515622,0.735488128,0.232125002,0.980474374,1.218014837,0.208416786,0.952199327,,,,,
60,0,5,1,0,0,0,0,0,0,0,0,H322M,4.48671024,8.212790964,3.547475313,14.64449433,7.572621728,0.712712796,0.219686136,0.956148635,1.168349637,0.20617086,0.939534025,,,,,
90,0,5,1,0,0,0,0,0,0,0,0,H322M,5.347086181,6.265428623,3.555611425,17.23062167,8.247691135,0.752188174,0.213744002,0.94812065,1.245995913,0.204243582,1.007392212,,,,,
120,0,5,1,0,0,0,0,0,0,0,0,H322M,4.554604546,5.044620205,3.290249213,18.54170058,8.516470672,0.721482885,0.195202083,0.934235992,1.158329295,0.200095646,0.929549446,,,,,
240,0,5,1,0,0,0,0,0,0,0,0,H322M,7.100435548,7.291298621,3.4703263,19.50354543,9.866937046,0.837815537,0.168655976,0.906375515,1.208374776,0.194067174,0.966337888,,,,,
0,5,5,1,0,0,0,0,0,0,0,0,H322M,5.591777591,0.595785921,0.296309888,13.97220377,7.889140857,0.690625951,0.117036019,0.189166807,0.393854051,0.165576219,0.406064531,,,,,
2,5,5,1,0,0,0,0,0,0,0,0,H322M,5.381917903,0.457167646,0.296307757,15.97900367,7.559748762,0.714684848,0.435313423,0.609314281,0.537553515,0.252247031,0.523206864,,,,,
4,5,5,1,0,0,0,0,0,0,0,0,H322M,7.472989552,1.420553479,0.345194629,15.67100989,8.168844401,0.873840468,0.512878687,0.707068289,0.433184651,0.265783875,0.543341913,,,,,
