time,EGF_level,HRG_level,HGF_level,IGF1_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,tEGFR_au,tErbB2_au,tErbB3_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
0,5,0,0,0,1,0,0,0,0,0,0,BxPc3,1.906501308,2.219018302,NaN,26.38692972,2.608274516,0.386343755,0.216707003,0.177598604,0.66516151,0.452916577,0.5283235,,,,,
2,5,0,0,0,1,0,0,0,0,0,0,BxPc3,139.0231121,8.340805133,0,25.54007533,2.572614525,0.414959969,0.818006464,0.481473017,0.674485958,0.837883137,0.56849934,,,,,
4,5,0,0,0,1,0,0,0,0,0,0,BxPc3,173.7114493,6.692876483,0,26.99478884,2.640122878,0.531095469,1.143428355,0.3990907,0.767880743,1.220953633,0.70870907,,,,,
6,5,0,0,0,1,0,0,0,0,0,0,BxPc3,149.5313288,5.667625976,0.307396291,24.48677933,2.398529035,0.4060026,1.203031038,0.228021249,0.838693774,1.331613299,0.732517617,,,,,
8,5,0,0,0,1,0,0,0,0,0,0,BxPc3,139.2199694,2.90834307,0.143486051,24.74730489,2.23282202,0.37067293,1.114371233,0.152972356,1.010549379,1.256368335,0.757050406,,,,,
10,5,0,0,0,1,0,0,0,0,0,0,BxPc3,167.2166258,5.877383591,0.057074679,32.16924094,2.729521546,0.439045606,1.111421114,0.164015064,1.059101,1.20997619,0.748951124,,,,,
15,5,0,0,0,1,0,0,0,0,0,0,BxPc3,136.7215006,3.288407854,NaN,23.56073226,2.583253038,0.6302531,1.091473685,0.14768043,1.110853967,1.217999418,0.71764924,,,,,
30,5,0,0,0,1,0,0,0,0,0,0,BxPc3,139.0691422,3.361755095,0,22.27302693,2.190525716,0.430727522,0.816043148,0.134713096,1.130658308,0.963855554,0.675364402,,,,,
60,5,0,0,0,1,0,0,0,0,0,0,BxPc3,154.8685838,4.597856786,0,21.55984366,2.562592374,0.448878155,0.507419237,0.161876136,1.031020785,0.749754237,0.659905589,,,,,
90,5,0,0,0,1,0,0,0,0,0,0,BxPc3,142.1304695,4.522375119,0.120361944,22.71637598,2.573798304,0.500657023,0.467396169,0.150934319,1.046266681,0.750001603,0.63451234,,,,,
120,5,0,0,0,1,0,0,0,0,0,0,BxPc3,136.4587754,4.858440769,0.103173787,22.46884037,2.949129776,0.491433703,0.446502646,0.143509966,1.073255966,0.715623412,0.703168915,,,,,
240,5,0,0,0,1,0,0,0,0,0,0,BxPc3,110.331417,6.443841617,0,20.47387119,3.131183531,0.490655098,0.407225673,0.123303286,1.022677565,0.746171202,0.654740792,,,,,
0,5,5,0,0,1,0,0,0,0,0,0,BxPc3,1.633913247,3.078181906,0,29.20296743,2.887101614,0.563552853,0.229867611,0.177872261,0.661883286,0.466684535,0.521884579,,,,,
2,5,5,0,0,1,0,0,0,0,0,0,BxPc3,128.1854584,7.975270273,0.187009194,29.29909879,2.695835744,1.298602269,0.842396068,0.684980622,0.652047836,0.862170088,0.59821088,,,,,
4,5,5,0,0,1,0,0,0,0,0,0,BxPc3,156.9130358,7.850148224,0.329137054,30.11182919,2.604279912,0.449730731,1.231323281,0.727798939,0.755571079,1.295792133,0.75205646,,,,,
6,5,5,0,0,1,0,0,0,0,0,0,BxPc3,138.5483112,6.452010896,0.119765832,30.7654468,2.434640203,0.491992207,1.242980613,0.538366432,0.839599168,1.420196788,0.792153087,,,,,
8,5,5,0,0,1,0,0,0,0,0,0,BxPc3,137.5377923,4.569609797,0.017585539,30.58050311,2.517956227,0.38070506,1.122063669,0.37979218,1.010538689,1.336194395,0.827716844,,,,,
10,5,5,0,0,1,0,0,0,0,0,0,BxPc3,160.0457183,7.620468122,0.16555546,35.95423038,2.895131122,0.53592051,1.161759345,0.489513882,1.098014856,1.315710936,0.860033689,,,,,
15,5,5,0,0,1,0,0,0,0,0,0,BxPc3,132.9397643,4.770153513,0.013402154,27.18858785,2.851299339,0.450095763,1.126183518,0.444108779,1.054025098,1.386757004,0.831999054,,,,,
30,5,5,0,0,1,0,0,0,0,0,0,BxPc3,140.19921,3.344320025,0,25.84764534,2.748220372,0.472993883,0.902047582,0.385720976,1.191419525,1.022938235,0.926393174,,,,,
60,5,5,0,0,1,0,0,0,0,0,0,BxPc3,159.5689708,4.749668215,0,22.74574494,2.662887808,0.46069312,0.576721529,0.427390801,1.114436141,0.792558748,0.916217743,,,,,
90,5,5,0,0,1,0,0,0,0,0,0,BxPc3,218.9030493,6.147533198,0.059417642,24.08190022,2.697678882,0.538636125,0.490975729,0.33373835,1.114831968,0.761343697,0.887210661,,,,,
120,5,5,0,0,1,0,0,0,0,0,0,BxPc3,158.5345801,6.069004693,0,25.50701358,3.327682271,0.562285396,0.469147011,0.288286209,1.126232342,0.75271286,0.90356774,,,,,
240,5,5,0,0,1,0,0,0,0,0,0,BxPc3,131.0269515,6.836802151,0,22.51529281,3.570442758,0.550327558,0.418442029,0.22526703,1.101177243,0.781062877,0.793648169,,,,,
0,5,0,1,0,1,0,0,0,0,0,0,BxPc3,1.209246846,2.551398676,0,30.29737452,2.733997703,0.497639917,0.225779497,0.182517224,0.631672252,0.448337923,0.518165058,,,,,
2,5,0,1,0,1,0,0,0,0,0,0,BxPc3,131.4994264,7.957529539,0,26.27552288,2.555727719,0.474727295,0.888237613,0.758087107,0.653329365,0.889353419,0.606230036,,,,,
4,5,0,1,0,1,0,0,0,0,0,0,BxPc3,156.5366799,7.28711627,0,28.30285873,2.646486125,0.550656891,1.195141926,0.697330505,0.730610143,1.268194436,0.700758088,,,,,
6,5,0,1,0,1,0,0,0,0,0,0,BxPc3,132.8769841,6.016357037,0,27.04059117,2.445030235,0.503794155,1.207592934,0.545849839,0.837117343,1.403073005,0.769276378,,,,,
8,5,0,1,0,1,0,0,0,0,0,0,BxPc3,146.6931187,3.752333479,0,25.03978909,2.124620133,0.414809143,1.200404708,0.453817524,1.0527052,1.348752277,0.846385189,,,,,
10,5,0,1,0,1,0,0,0,0,0,0,BxPc3,167.0990481,5.485771335,1.492933593,34.64610373,2.911581731,0.568698446,1.206847995,0.587600236,1.121304488,1.333897618,0.909696145,,,,,
15,5,0,1,0,1,0,0,0,0,0,0,BxPc3,135.279653,5.272342926,0,24.77209374,2.829209199,0.567168646,1.157682826,0.508030479,1.061284364,1.390860043,0.812797858,,,,,
30,5,0,1,0,1,0,0,0,0,0,0,BxPc3,138.5626475,3.65523626,0,23.29962256,2.515346436,0.516356041,0.978358991,0.566647732,1.199678698,1.142408416,0.96536764,,,,,
60,5,0,1,0,1,0,0,0,0,0,0,BxPc3,161.6702531,4.245441737,0,22.21519562,2.474235435,0.526963191,0.683580467,0.589361067,1.11732785,0.881795033,1.031330138,,,,,
90,5,0,1,0,1,0,0,0,0,0,0,BxPc3,155.2768021,5.197502702,0,21.66297531,2.467717981,0.552778368,0.599801219,0.587977204,1.158839697,0.883814752,1.046721217,,,,,
120,5,0,1,0,1,0,0,0,0,0,0,BxPc3,162.6607271,5.560958352,0.769568889,24.07355516,3.2232591,1.251671922,0.536431393,0.563385491,1.122539051,0.817797761,1.035078372,,,,,
240,5,0,1,0,1,0,0,0,0,0,0,BxPc3,132.7420712,6.681606642,0,20.64650396,3.347171878,0.564973299,0.464181223,0.400544602,1.119201252,0.827862255,0.9829399,,,,,
0,0,5,0,0,1,0,0,0,0,0,0,BxPc3,1.902839341,2.279711005,NaN,30.81582994,2.981772057,0.646882064,0.229771223,0.184764776,0.675545697,0.468890873,0.518443805,,,,,
2,0,5,0,0,1,0,0,0,0,0,0,BxPc3,3.761073031,6.499668582,0.98254095,28.1903863,2.459143812,0.447759035,0.300309733,0.853079209,0.686101375,0.49638585,0.614348232,,,,,
4,0,5,0,0,1,0,0,0,0,0,0,BxPc3,4.19127138,5.361429372,0.915153202,31.13857075,2.869195791,0.451076658,0.59762096,0.982205908,0.729308925,0.710220816,0.724424525,,,,,
6,0,5,0,0,1,0,0,0,0,0,0,BxPc3,6.497761462,5.096905228,0.742196586,25.94903674,2.384248722,0.397864977,0.653924751,0.9457406,0.75752756,0.75729836,0.765101403,,,,,
8,0,5,0,0,1,0,0,0,0,0,0,BxPc3,7.303410472,2.942684513,0.368184256,28.10380962,2.25574558,0.402411025,0.643970817,0.798124637,0.91030122,0.75269141,0.854873411,,,,,
