#t EGF R Ra R2 RP PLCg RPLCg RPLCgP PLCgP Grb RG SOS RGS GS Shc RSh RShP ShP RShG ShG RShGS ShGS PLCgl v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24 v25 compartment 
##CONCENTRATIONS
0 680.000000000000 100.000000000000 0.000000 0.000000 0.000000 105.000000000000 0.000000 0.000000 0.000000 85.00000000000 0.000000 34.00000000000 0.000000 0.000000 150.000000000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1 596.597092119300 16.59709211930 47.46943520022 13.85519548818 0.5068204119 103.810234649351 0.9325551135 0.2420585885 0.0129447696 84.57322925502 0.0457210823 33.70304757422 0.0042225490 0.2860356314 147.512835174190 0.8425129220 1.4557215374 0.0981388842 0.0765666752 0.0075305617 0.0053619723 0.0013322730 0.0022068791 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 
2 583.891914694830 3.8919146948 32.07432964917 17.26694274089 0.7756795428 100.038532831629 2.8138427805 1.8530269215 0.2076536559 83.03839066540 0.1759569263 33.19694431254 0.0405037132 0.5489941032 139.489916534594 1.5069261578 6.6420958597 1.1649068560 0.8043132846 0.1782834363 0.1375899009 0.0759679702 0.0869438104 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 
3 581.411112946606 1.4111129466 22.95640527378 14.20943288846 0.7863232803 96.06380683844 3.6344926755 4.1180232346 0.6790344549 80.08318073908 0.2856027724 32.03212179592 0.1125693825 0.7695651292 130.826226718925 1.5133785104 10.61072828586 3.3005845081 1.9661643514 0.6971739330 0.5795255083 0.5062181841 0.5046427965 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 
4 580.801744956395 0.8017449564 17.89454334115 11.25244171220 0.7593088175 92.45136031594 3.7759300742 6.0624342810 1.2635897529 76.21355409430 0.3591995462 30.01229297709 0.2023766287 0.9725442141 122.904168512301 1.4037203381 12.59256529982 5.8472203332 2.9668945750 1.4726447616 1.2769845784 1.5358016017 1.4466855759 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5 580.590547092392 0.5905470924 14.84861613180 9.3266405768 0.7422931229 89.13326528961 3.7027609636 7.4370393615 1.8033971830 71.89564025447 0.4106841651 27.29524453205 0.2943624223 1.1988224248 115.705180056977 1.3057081759 13.38744813497 8.4011728989 3.6232630767 2.3656570357 2.0502183882 3.1613522327 2.9235372023 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
6 580.487946249317 0.4879462493 12.88042144602 8.2152073734 0.7396803867 85.99663083622 3.6031436378 8.3273097681 2.2357439560 67.41419217380 0.4527797983 24.17515464448 0.3795855297 1.4696852860 109.031994611345 1.2330320090 13.62214607205 10.82907009551 3.9897454242 3.3184372482 2.7531861531 5.2223883867 4.8371718019 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
7 580.426350398866 0.4263503989 11.55179229876 7.6234236087 0.7481818703 82.96551168785 3.5266105927 8.8812110288 2.5609615961 62.93238876061 0.4929866371 20.92378482876 0.4539349944 1.7797613101 102.732015685134 1.1795310815 13.62582941667 13.12169551889 4.1655020513 4.3329073797 3.3137173697 7.5288014971 7.0657050946 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
8 580.385663443485 0.3856634435 10.63518961813 7.3481983875 0.7643927855 79.99493615154 3.4769133371 9.2204359986 2.8025497387 58.54866309138 0.5350674326 17.74409808482 0.5159618641 2.1066306571 96.70943086198 1.1386114615 13.54814503199 15.31013568979 4.2270111716 5.4333563892 3.7148359986 9.9184733953 9.5051647740 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
9 580.357817955961 0.3578179560 10.00039430095 7.2690002628 0.7878206936 77.05930031411 3.4468790716 9.4279824258 2.9860043815 54.32792796925 0.5806142465 14.77593425206 0.5655357582 2.4226236163 90.91006806058 1.1037121533 13.44971710575 17.43320427056 4.2208909910 6.6465010453 3.9687411630 12.26716521047 12.07983380702 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
