time,data
0.000000e+00,1.000000e-05
1.371237e-01,-2.654080e+00
2.742475e-01,-4.334982e+00
4.113712e-01,-5.116179e+00
5.484950e-01,-5.071153e+00
6.856187e-01,-4.273387e+00
8.227425e-01,-2.796363e+00
9.598662e-01,-7.135631e-01
1.096990e+00,1.897730e+00
1.234114e+00,4.921988e+00
1.371237e+00,8.221561e+00
1.508361e+00,1.165853e+01
1.645485e+00,1.509498e+01
1.782609e+00,1.839298e+01
1.919732e+00,2.141462e+01
2.056856e+00,2.402399e+01
2.193980e+00,2.615695e+01
2.331104e+00,2.783907e+01
2.468227e+00,2.910158e+01
2.605351e+00,2.997571e+01
2.742475e+00,3.049268e+01
2.879599e+00,3.068372e+01
3.016722e+00,3.058006e+01
3.153846e+00,3.021293e+01
3.290970e+00,2.961356e+01
3.428094e+00,2.881316e+01
3.565217e+00,2.784298e+01
3.702341e+00,2.673424e+01
3.839465e+00,2.551815e+01
3.976589e+00,2.422597e+01
4.113712e+00,2.288695e+01
4.250836e+00,2.151729e+01
4.387960e+00,2.012776e+01
4.525084e+00,1.872910e+01
4.662207e+00,1.733209e+01
4.799331e+00,1.594747e+01
4.936455e+00,1.458599e+01
5.073579e+00,1.325842e+01
5.210702e+00,1.197551e+01
5.347826e+00,1.074801e+01
5.484950e+00,9.586686e+00
5.622074e+00,8.502284e+00
5.759197e+00,7.505564e+00
5.896321e+00,6.607279e+00
6.033445e+00,5.818145e+00
6.170569e+00,5.143487e+00
6.307692e+00,4.577989e+00
6.444816e+00,4.115088e+00
6.581940e+00,3.748222e+00
6.719064e+00,3.470827e+00
6.856187e+00,3.276340e+00
6.993311e+00,3.158198e+00
7.130435e+00,3.109838e+00
7.267559e+00,3.124698e+00
7.404682e+00,3.196213e+00
7.541806e+00,3.317822e+00
7.678930e+00,3.482961e+00
7.816054e+00,3.685067e+00
7.953177e+00,3.917576e+00
8.090301e+00,4.173927e+00
8.227425e+00,4.447555e+00
8.364548e+00,4.731899e+00
8.501672e+00,5.020394e+00
8.638796e+00,5.306478e+00
8.775920e+00,5.583588e+00
8.913043e+00,5.845161e+00
9.050167e+00,6.084695e+00
9.187291e+00,6.298669e+00
9.324415e+00,6.487794e+00
9.461538e+00,6.653105e+00
9.598662e+00,6.795637e+00
9.735786e+00,6.916425e+00
9.872910e+00,7.016503e+00
1.001003e+01,7.096907e+00
1.014716e+01,7.158671e+00
1.028428e+01,7.202830e+00
1.042140e+01,7.230419e+00
1.055853e+01,7.242472e+00
1.069565e+01,7.240026e+00
1.083278e+01,7.224113e+00
1.096990e+01,7.195770e+00
1.110702e+01,7.156030e+00
1.124415e+01,7.105930e+00
1.138127e+01,7.046503e+00
1.151839e+01,6.978785e+00
1.165552e+01,6.903810e+00
1.179264e+01,6.822614e+00
1.192977e+01,6.736230e+00
1.206689e+01,6.645694e+00
1.220401e+01,6.552041e+00
1.234114e+01,6.456305e+00
1.247826e+01,6.359522e+00
1.261538e+01,6.262726e+00
1.275251e+01,6.166952e+00
1.288963e+01,6.073234e+00
1.302676e+01,5.982607e+00
1.316388e+01,5.895795e+00
1.330100e+01,5.812824e+00
1.343813e+01,5.733626e+00
1.357525e+01,5.658129e+00
1.371237e+01,5.586264e+00
1.384950e+01,5.517963e+00
1.398662e+01,5.453154e+00
1.412375e+01,5.391770e+00
1.426087e+01,5.333739e+00
1.439799e+01,5.278992e+00
1.453512e+01,5.227461e+00
1.467224e+01,5.179074e+00
1.480936e+01,5.133763e+00
1.494649e+01,5.091458e+00
1.508361e+01,5.052088e+00
1.522074e+01,5.015586e+00
1.535786e+01,4.981880e+00
1.549498e+01,4.950902e+00
1.563211e+01,4.922581e+00
1.576923e+01,4.896849e+00
1.590635e+01,4.873635e+00
1.604348e+01,4.852870e+00
1.618060e+01,4.834484e+00
1.631773e+01,4.818407e+00
1.645485e+01,4.804571e+00
1.659197e+01,4.792905e+00
1.672910e+01,4.783339e+00
1.686622e+01,4.775805e+00
1.700334e+01,4.770232e+00
1.714047e+01,4.766550e+00
1.727759e+01,4.764691e+00
1.741472e+01,4.764585e+00
1.755184e+01,4.766162e+00
1.768896e+01,4.769351e+00
1.782609e+01,4.774085e+00
1.796321e+01,4.780292e+00
1.810033e+01,4.787904e+00
1.823746e+01,4.796851e+00
1.837458e+01,4.807063e+00
1.851171e+01,4.818470e+00
1.864883e+01,4.831004e+00
1.878595e+01,4.844594e+00
1.892308e+01,4.859170e+00
1.906020e+01,4.874663e+00
1.919732e+01,4.891004e+00
1.933445e+01,4.908123e+00
1.947157e+01,4.925949e+00
1.960870e+01,4.944415e+00
1.974582e+01,4.963449e+00
1.988294e+01,4.982982e+00
2.002007e+01,5.002946e+00
2.015719e+01,5.023282e+00
2.029431e+01,5.043969e+00
2.043144e+01,5.064991e+00
2.056856e+01,5.086330e+00
2.070569e+01,5.107970e+00
2.084281e+01,5.129894e+00
2.097993e+01,5.152085e+00
2.111706e+01,5.174527e+00
2.125418e+01,5.197202e+00
2.139130e+01,5.220094e+00
2.152843e+01,5.243187e+00
2.166555e+01,5.266463e+00
2.180268e+01,5.289905e+00
2.193980e+01,5.313498e+00
2.207692e+01,5.337223e+00
2.221405e+01,5.361066e+00
2.235117e+01,5.385007e+00
2.248829e+01,5.409032e+00
2.262542e+01,5.433123e+00
2.276254e+01,5.457263e+00
2.289967e+01,5.481436e+00
2.303679e+01,5.505625e+00
2.317391e+01,5.529812e+00
2.331104e+01,5.553983e+00
2.344816e+01,5.578119e+00
2.358528e+01,5.602203e+00
2.372241e+01,5.626220e+00
2.385953e+01,5.650152e+00
2.399666e+01,5.673983e+00
2.413378e+01,5.697695e+00
2.427090e+01,5.721273e+00
2.440803e+01,5.744699e+00
2.454515e+01,5.767956e+00
2.468227e+01,5.791028e+00
2.481940e+01,5.813899e+00
2.495652e+01,5.836550e+00
2.509365e+01,5.858966e+00
2.523077e+01,5.881130e+00
2.536789e+01,5.903025e+00
2.550502e+01,5.924634e+00
2.564214e+01,5.945941e+00
2.577926e+01,5.966928e+00
2.591639e+01,5.987580e+00
2.605351e+01,6.007878e+00
2.619064e+01,6.027802e+00
2.632776e+01,6.047323e+00
2.646488e+01,6.066413e+00
2.660201e+01,6.085044e+00
2.673913e+01,6.103185e+00
2.687625e+01,6.120810e+00
2.701338e+01,6.137890e+00
2.715050e+01,6.154395e+00
2.728763e+01,6.170298e+00
2.742475e+01,6.185569e+00
2.756187e+01,6.200181e+00
2.769900e+01,6.214105e+00
2.783612e+01,6.227311e+00
2.797324e+01,6.239773e+00
2.811037e+01,6.251460e+00
2.824749e+01,6.262345e+00
2.838462e+01,6.272398e+00
2.852174e+01,6.281592e+00
2.865886e+01,6.289898e+00
2.879599e+01,6.297287e+00
2.893311e+01,6.303730e+00
2.907023e+01,6.309200e+00
2.920736e+01,6.313668e+00
2.934448e+01,6.317104e+00
2.948161e+01,6.319480e+00
2.961873e+01,6.320769e+00
2.975585e+01,6.320941e+00
2.989298e+01,6.319967e+00
3.003010e+01,6.317820e+00
3.016722e+01,6.314470e+00
3.030435e+01,6.309890e+00
3.044147e+01,6.304050e+00
3.057860e+01,6.296922e+00
3.071572e+01,6.288477e+00
3.085284e+01,6.278687e+00
3.098997e+01,6.267523e+00
3.112709e+01,6.254957e+00
3.126421e+01,6.240960e+00
3.140134e+01,6.225504e+00
3.153846e+01,6.208559e+00
3.167559e+01,6.190099e+00
3.181271e+01,6.170093e+00
3.194983e+01,6.148513e+00
3.208696e+01,6.125331e+00
3.222408e+01,6.100518e+00
3.236120e+01,6.074046e+00
3.249833e+01,6.045886e+00
3.263545e+01,6.016010e+00
3.277258e+01,5.984388e+00
3.290970e+01,5.950993e+00
3.304682e+01,5.915796e+00
3.318395e+01,5.878768e+00
3.332107e+01,5.839881e+00
3.345819e+01,5.799106e+00
3.359532e+01,5.756414e+00
3.373244e+01,5.711778e+00
3.386957e+01,5.665168e+00
3.400669e+01,5.616556e+00
3.414381e+01,5.565914e+00
3.428094e+01,5.513212e+00
3.441806e+01,5.458422e+00
3.455518e+01,5.401516e+00
3.469231e+01,5.342465e+00
3.482943e+01,5.281241e+00
3.496656e+01,5.217815e+00
3.510368e+01,5.152158e+00
3.524080e+01,5.084242e+00
3.537793e+01,5.014038e+00
3.551505e+01,4.941518e+00
3.565217e+01,4.866654e+00
3.578930e+01,4.789416e+00
3.592642e+01,4.709776e+00
3.606355e+01,4.627705e+00
3.620067e+01,4.543176e+00
3.633779e+01,4.456159e+00
3.647492e+01,4.366625e+00
3.661204e+01,4.274547e+00
3.674916e+01,4.179896e+00
3.688629e+01,4.082643e+00
3.702341e+01,3.982759e+00
3.716054e+01,3.880217e+00
3.729766e+01,3.774987e+00
3.743478e+01,3.667040e+00
3.757191e+01,3.556350e+00
3.770903e+01,3.442886e+00
3.784615e+01,3.326620e+00
3.798328e+01,3.207524e+00
3.812040e+01,3.085569e+00
3.825753e+01,2.960726e+00
3.839465e+01,2.832967e+00
3.853177e+01,2.702264e+00
3.866890e+01,2.568588e+00
3.880602e+01,2.431910e+00
3.894314e+01,2.292202e+00
3.908027e+01,2.149435e+00
3.921739e+01,2.003581e+00
3.935452e+01,1.854610e+00
3.949164e+01,1.702495e+00
3.962876e+01,1.547207e+00
3.976589e+01,1.388718e+00
3.990301e+01,1.226998e+00
4.004013e+01,1.062020e+00
4.017726e+01,8.937540e-01
4.031438e+01,7.221724e-01
