TIME,ID,WGT,DV,TYPE,DOSE,IND,STUD,CMT,MDV,AMT,II,ADDL,p_ID_Kgrw1,p_ID_TS0,p_ID_AMT,mean_p_ID_Kgrw1,mean_p_ID_TS0,mean_p_ID_AMT
0,31,25,NaN,0,0,2,29500,1,1,0.001,0,0,31,31,31,0,0,0
6,31,25,60.8,0,0,2,29500,5,0,0,0,0,31,31,31,NaN,NaN,NaN
10,31,26,117,0,0,2,29500,5,0,0,0,0,31,31,31,NaN,NaN,NaN
13,31,25,230,0,0,2,29500,5,0,0,0,0,31,31,31,NaN,NaN,NaN
17,31,26,509,0,0,2,29500,5,0,0,0,0,31,31,31,NaN,NaN,NaN
20,31,25,1060,0,0,2,29500,5,0,0,0,0,31,31,31,NaN,NaN,NaN
24,31,26,1000,0,0,2,29500,5,0,0,0,0,31,31,31,NaN,NaN,NaN
26,31,27,1090,0,0,2,29500,5,0,0,0,0,31,31,31,NaN,NaN,NaN
0,32,26,NaN,0,0,2,29500,1,1,0.001,0,0,32,32,32,0,0,0
6,32,26,137,0,0,2,29500,5,0,0,0,0,32,32,32,NaN,NaN,NaN
10,32,27,156,0,0,2,29500,5,0,0,0,0,32,32,32,NaN,NaN,NaN
13,32,27,304,0,0,2,29500,5,0,0,0,0,32,32,32,NaN,NaN,NaN
17,32,27,440,0,0,2,29500,5,0,0,0,0,32,32,32,NaN,NaN,NaN
20,32,26,695,0,0,2,29500,5,0,0,0,0,32,32,32,NaN,NaN,NaN
24,32,27,1220,0,0,2,29500,5,0,0,0,0,32,32,32,NaN,NaN,NaN
26,32,26,1450,0,0,2,29500,5,0,0,0,0,32,32,32,NaN,NaN,NaN
0,33,26,NaN,0,0,2,29500,1,1,0.001,0,0,33,33,33,0,0,0
6,33,26,81.6,0,0,2,29500,5,0,0,0,0,33,33,33,NaN,NaN,NaN
10,33,26,145,0,0,2,29500,5,0,0,0,0,33,33,33,NaN,NaN,NaN
13,33,25,233,0,0,2,29500,5,0,0,0,0,33,33,33,NaN,NaN,NaN
17,33,25,320,0,0,2,29500,5,0,0,0,0,33,33,33,NaN,NaN,NaN
20,33,24,528,0,0,2,29500,5,0,0,0,0,33,33,33,NaN,NaN,NaN
24,33,25,762,0,0,2,29500,5,0,0,0,0,33,33,33,NaN,NaN,NaN
26,33,26,670,0,0,2,29500,5,0,0,0,0,33,33,33,NaN,NaN,NaN
0,34,29,NaN,0,0,2,29500,1,1,0.001,0,0,34,34,34,0,0,0
6,34,29,80.2,0,0,2,29500,5,0,0,0,0,34,34,34,NaN,NaN,NaN
10,34,28,130,0,0,2,29500,5,0,0,0,0,34,34,34,NaN,NaN,NaN
13,34,28,209,0,0,2,29500,5,0,0,0,0,34,34,34,NaN,NaN,NaN
17,34,29,271,0,0,2,29500,5,0,0,0,0,34,34,34,NaN,NaN,NaN
20,34,28,476,0,0,2,29500,5,0,0,0,0,34,34,34,NaN,NaN,NaN
24,34,29,972,0,0,2,29500,5,0,0,0,0,34,34,34,NaN,NaN,NaN
26,34,30,900,0,0,2,29500,5,0,0,0,0,34,34,34,NaN,NaN,NaN
0,35,27,NaN,0,0,2,29500,1,1,0.001,0,0,35,35,35,0,0,0
6,35,27,105,0,0,2,29500,5,0,0,0,0,35,35,35,NaN,NaN,NaN
10,35,27,150,0,0,2,29500,5,0,0,0,0,35,35,35,NaN,NaN,NaN
13,35,27,160,0,0,2,29500,5,0,0,0,0,35,35,35,NaN,NaN,NaN
17,35,27,214,0,0,2,29500,5,0,0,0,0,35,35,35,NaN,NaN,NaN
20,35,27,336,0,0,2,29500,5,0,0,0,0,35,35,35,NaN,NaN,NaN
24,35,27,481,0,0,2,29500,5,0,0,0,0,35,35,35,NaN,NaN,NaN
26,35,28,453,0,0,2,29500,5,0,0,0,0,35,35,35,NaN,NaN,NaN
0,36,24,NaN,0,0,2,29500,1,1,0.001,0,0,36,36,36,0,0,0
6,36,24,77.4,0,0,2,29500,5,0,0,0,0,36,36,36,NaN,NaN,NaN
10,36,24,81,0,0,2,29500,5,0,0,0,0,36,36,36,NaN,NaN,NaN
13,36,22,201,0,0,2,29500,5,0,0,0,0,36,36,36,NaN,NaN,NaN
17,36,23,150,0,0,2,29500,5,0,0,0,0,36,36,36,NaN,NaN,NaN
20,36,22,436,0,0,2,29500,5,0,0,0,0,36,36,36,NaN,NaN,NaN
0,37,27,NaN,0,0,2,29500,1,1,0.001,0,0,37,37,37,0,0,0
6,37,27,122,0,0,2,29500,5,0,0,0,0,37,37,37,NaN,NaN,NaN
10,37,27,240,0,0,2,29500,5,0,0,0,0,37,37,37,NaN,NaN,NaN
13,37,27,367,0,0,2,29500,5,0,0,0,0,37,37,37,NaN,NaN,NaN
17,37,28,643,0,0,2,29500,5,0,0,0,0,37,37,37,NaN,NaN,NaN
20,37,27,1040,0,0,2,29500,5,0,0,0,0,37,37,37,NaN,NaN,NaN
24,37,28,1620,0,0,2,29500,5,0,0,0,0,37,37,37,NaN,NaN,NaN
26,37,28,2060,0,0,2,29500,5,0,0,0,0,37,37,37,NaN,NaN,NaN
0,38,27,NaN,0,0,2,29500,1,1,0.001,0,0,38,38,38,0,0,0
6,38,27,69.7,0,0,2,29500,5,0,0,0,0,38,38,38,NaN,NaN,NaN
10,38,28,96.5,0,0,2,29500,5,0,0,0,0,38,38,38,NaN,NaN,NaN
13,38,28,276,0,0,2,29500,5,0,0,0,0,38,38,38,NaN,NaN,NaN
17,38,28,383,0,0,2,29500,5,0,0,0,0,38,38,38,NaN,NaN,NaN
20,38,28,577,0,0,2,29500,5,0,0,0,0,38,38,38,NaN,NaN,NaN
24,38,29,1070,0,0,2,29500,5,0,0,0,0,38,38,38,NaN,NaN,NaN
26,38,29,1220,0,0,2,29500,5,0,0,0,0,38,38,38,NaN,NaN,NaN
0,39,28,NaN,0,0,2,29500,1,1,0.001,0,0,39,39,39,0,0,0
6,39,28,93.9,0,0,2,29500,5,0,0,0,0,39,39,39,NaN,NaN,NaN
10,39,29,231,0,0,2,29500,5,0,0,0,0,39,39,39,NaN,NaN,NaN
13,39,29,366,0,0,2,29500,5,0,0,0,0,39,39,39,NaN,NaN,NaN
