TIME,ID,WGT,DV,TYPE,DOSE,IND,STUD,CMT,MDV,AMT,II,ADDL
0,31,25,0,0,0,2,29500,1,1,0.001,0,0
6,31,25,60.8,0,0,2,29500,5,0,0,0,0
10,31,26,117,0,0,2,29500,5,0,0,0,0
13,31,25,230,0,0,2,29500,5,0,0,0,0
17,31,26,509,0,0,2,29500,5,0,0,0,0
20,31,25,1060,0,0,2,29500,5,0,0,0,0
24,31,26,1000,0,0,2,29500,5,0,0,0,0
26,31,27,1090,0,0,2,29500,5,0,0,0,0
0,32,26,0,0,0,2,29500,1,1,0.001,0,0
6,32,26,137,0,0,2,29500,5,0,0,0,0
10,32,27,156,0,0,2,29500,5,0,0,0,0
13,32,27,304,0,0,2,29500,5,0,0,0,0
17,32,27,440,0,0,2,29500,5,0,0,0,0
20,32,26,695,0,0,2,29500,5,0,0,0,0
24,32,27,1220,0,0,2,29500,5,0,0,0,0
26,32,26,1450,0,0,2,29500,5,0,0,0,0
0,33,26,0,0,0,2,29500,1,1,0.001,0,0
6,33,26,81.6,0,0,2,29500,5,0,0,0,0
10,33,26,145,0,0,2,29500,5,0,0,0,0
13,33,25,233,0,0,2,29500,5,0,0,0,0
17,33,25,320,0,0,2,29500,5,0,0,0,0
20,33,24,528,0,0,2,29500,5,0,0,0,0
24,33,25,762,0,0,2,29500,5,0,0,0,0
26,33,26,670,0,0,2,29500,5,0,0,0,0
0,34,29,0,0,0,2,29500,1,1,0.001,0,0
6,34,29,80.2,0,0,2,29500,5,0,0,0,0
10,34,28,130,0,0,2,29500,5,0,0,0,0
13,34,28,209,0,0,2,29500,5,0,0,0,0
17,34,29,271,0,0,2,29500,5,0,0,0,0
20,34,28,476,0,0,2,29500,5,0,0,0,0
24,34,29,972,0,0,2,29500,5,0,0,0,0
26,34,30,900,0,0,2,29500,5,0,0,0,0
0,35,27,0,0,0,2,29500,1,1,0.001,0,0
6,35,27,105,0,0,2,29500,5,0,0,0,0
10,35,27,150,0,0,2,29500,5,0,0,0,0
13,35,27,160,0,0,2,29500,5,0,0,0,0
17,35,27,214,0,0,2,29500,5,0,0,0,0
20,35,27,336,0,0,2,29500,5,0,0,0,0
24,35,27,481,0,0,2,29500,5,0,0,0,0
26,35,28,453,0,0,2,29500,5,0,0,0,0
0,36,24,0,0,0,2,29500,1,1,0.001,0,0
6,36,24,77.4,0,0,2,29500,5,0,0,0,0
10,36,24,81,0,0,2,29500,5,0,0,0,0
13,36,22,201,0,0,2,29500,5,0,0,0,0
17,36,23,150,0,0,2,29500,5,0,0,0,0
20,36,22,436,0,0,2,29500,5,0,0,0,0
0,37,27,0,0,0,2,29500,1,1,0.001,0,0
6,37,27,122,0,0,2,29500,5,0,0,0,0
10,37,27,240,0,0,2,29500,5,0,0,0,0
13,37,27,367,0,0,2,29500,5,0,0,0,0
17,37,28,643,0,0,2,29500,5,0,0,0,0
20,37,27,1040,0,0,2,29500,5,0,0,0,0
24,37,28,1620,0,0,2,29500,5,0,0,0,0
26,37,28,2060,0,0,2,29500,5,0,0,0,0
0,38,27,0,0,0,2,29500,1,1,0.001,0,0
6,38,27,69.7,0,0,2,29500,5,0,0,0,0
10,38,28,96.5,0,0,2,29500,5,0,0,0,0
13,38,28,276,0,0,2,29500,5,0,0,0,0
17,38,28,383,0,0,2,29500,5,0,0,0,0
20,38,28,577,0,0,2,29500,5,0,0,0,0
24,38,29,1070,0,0,2,29500,5,0,0,0,0
26,38,29,1220,0,0,2,29500,5,0,0,0,0
0,39,28,0,0,0,2,29500,1,1,0.001,0,0
6,39,28,93.9,0,0,2,29500,5,0,0,0,0
10,39,29,231,0,0,2,29500,5,0,0,0,0
13,39,29,366,0,0,2,29500,5,0,0,0,0
17,39,30,593,0,0,2,29500,5,0,0,0,0
20,39,29,1290,0,0,2,29500,5,0,0,0,0
24,39,31,1650,0,0,2,29500,5,0,0,0,0
26,39,30,2070,0,0,2,29500,5,0,0,0,0
0,40,26,0,0,0,2,29500,1,1,0.001,0,0
6,40,26,105,0,0,2,29500,5,0,0,0,0
10,40,27,233,0,0,2,29500,5,0,0,0,0
13,40,27,416,0,0,2,29500,5,0,0,0,0
17,40,28,669,0,0,2,29500,5,0,0,0,0
20,40,28,1250,0,0,2,29500,5,0,0,0,0
24,40,29,1890,0,0,2,29500,5,0,0,0,0
26,40,30,2450,0,0,2,29500,5,0,0,0,0
0,41,30,0,1,75,2,29500,1,1,5.27,0.5,39
6,41,30,136,1,75,2,29500,5,0,0,0,0
0,42,25,0,1,75,2,29500,1,1,5.07,0.5,39
6,42,25,64.6,1,75,2,29500,5,0,0,0,0
10,42,25,71.5,1,75,2,29500,5,0,0,0,0
13,42,25,74.1,1,75,2,29500,5,0,0,0,0
17,42,25,111,1,75,2,29500,5,0,0,0,0
20,42,24,173,1,75,2,29500,5,0,0,0,0
24,42,25,240,1,75,2,29500,5,0,0,0,0
26,42,24,249,1,75,2,29500,5,0,0,0,0
0,44,24,0,1,75,2,29500,1,1,5.27,0.5,39
6,44,24,79,1,75,2,29500,5,0,0,0,0
10,44,25,108,1,75,2,29500,5,0,0,0,0
13,44,25,114,1,75,2,29500,5,0,0,0,0
17,44,25,143,1,75,2,29500,5,0,0,0,0
20,44,24,211,1,75,2,29500,5,0,0,0,0
24,44,25,309,1,75,2,29500,5,0,0,0,0
26,44,25,339,1,75,2,29500,5,0,0,0,0
