time,input_il6,nExpID,FGG_mrna,IL33_mrna,APCS_mrna,HAMP_mrna,HP_mrna,HPX_mrna,SOCS3_mrna,CXCL10_mrna
0,0,1,0.89043929,0.346373549,0.638749344,0.3962398225,1.0567371395,1.2619335095,0.0238090255,0.07582074
30,0,1,0.5912400605,0.1838697785,1.045535553,0.1514589355,0.9544313855,1.1481026445,0.0114271695,0.1019942775
60,0,1,0.82390865,0.4803319645,0.728597014,0.2985326535,1.2675611175,1.306119447,0.0384310625,0.207178925
180,0,1,0.449240394,0.325866058,0.71221385,0.137253381,1.187524191,1.3230780755,0.0165374395,0.1289114465
360,0,1,0.44617819,0.8179265095,0.4951141335,0.1374057035,1.5025340885,1.5354713045,0.048045921,0.24415213
1440,0,1,0.532428133,1.4194375685,0.1259797875,0.4565861865,2.229841297,1.701555638,0.0660295985,0.1563897505
0,40,1,0.808117658,0.3487961185,0.7612660885,0.2276885215,1.1332606075,1.367398205,0.0206614845,0.103213245
30,40,1,0.6239519615,0.2787564995,1.250555013,0.312615896,0.9421560095,1.289129806,3.09245979,0.161998843
60,40,1,1.922945914,0.618699913,0.835369415,0.791385045,0.9595116085,1.103060408,1.8068367435,1.206489773
180,40,1,5.0219538535,0.6881527605,1.0292465975,2.0797323245,1.319002499,1.2787392945,0.5496981435,0.225067671
360,40,1,7.392597118,2.450982104,0.822668799,1.2866785225,2.3981979625,1.9419748885,0.7558481775,0.3179691395
1440,40,1,4.3648386755,4.124439691,1.3938440855,7.3944132425,3.765201383,3.7047615945,0.790339085,0.038689308
0,100,1,0.554258215,0.3275935725,1.0194211785,0.223938937,1.0820158575,1.5442662145,0.02079514,0.07897509
30,100,1,0.3708711375,0.150145878,1.018485287,0.433255985,0.909710869,1.177657461,3.945401636,0.290936673
60,100,1,1.751111234,0.9067842475,0.8834284105,0.9402054595,0.88537066,1.0120076255,2.02304991,1.974005224
180,100,1,2.6487982915,0.802759393,1.078407757,1.974539308,1.151339708,1.4385191485,0.6944049285,0.4986472205
360,100,1,4.535530609,2.2592697845,0.886302887,1.2087224725,1.4622257095,1.372093953,0.868509079,0.2029872605
1440,100,1,4.2556981385,3.291408734,1.9775323065,6.6863201025,3.511729649,3.160077934,0.7023219925,0.0386362075
