#t RCT0 alpha BN1 BN2 BN3 BN4 BTX BM RCT1 RC beta cell k0 k1 k2 k3 k4 q epsilon 
##CONCENTRATIONS
0 88.10000000000 0.000000 11.90000000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 88.10000000000 11.90000000000 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
1 88.09683589206 0.0029206114 10.17301269929 1.5951283883 0.1250580733 0.0065363613 0.0002371474 0.0000273304 0.0002434966 88.09707938864 11.90000000001 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
2 88.00960166465 0.0771734901 8.6966544776 2.7272708109 0.4276360905 0.0447021944 0.0030139763 0.0007225266 0.0132247688 88.02282643344 11.90000007643 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
3 87.48751218024 0.4845412521 7.4345642080 3.4972138789 0.8225447659 0.1289748510 0.0121645676 0.0045497676 0.1279345287 87.61544670891 11.90001203902 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
4 85.80865734577 1.6829687834 6.3559695808 3.9862573729 1.2500862938 0.2613506321 0.0307556286 0.0159545134 0.6079998493 86.41665719504 11.90037402155 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
5 81.96309519796 4.1920404694 5.4376592394 4.2599405397 1.6698076561 0.4363718638 0.0602581227 0.0406518976 1.9401750134 83.90327021134 11.90468931925 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
6 74.95760088526 8.3580835331 4.6753730459 4.3721003795 2.0557084428 0.6446285174 0.1005718519 0.0847246909 4.7512086533 79.70880953853 11.93310692836 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
7 64.33137961750 14.07042548554 4.1123924141 4.3712494629 2.3928850525 0.8751575374 0.1503849468 0.1538456110 9.5422798722 73.87365948966 12.05591502480 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
8 50.68654507670 20.56542411864 3.8757096982 4.3109734953 2.6758569841 1.1171382586 0.2076182783 0.2527261548 16.30800793541 66.99455301212 12.44002286924 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
9 35.83375305727 26.52142731938 4.1789463972 4.2623188015 2.9088691368 1.3612337160 0.2698595242 0.3848135690 24.27877847867 60.11253153594 13.36604114468 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
10 22.21970698450 30.53203091895 5.2457057314 4.3193020820 3.1076055302 1.6009021959 0.3347683261 0.5522222670 32.08775596403 54.30746294853 15.16050613252 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
