t, obs_A, obs_B, obs_C, obs_D, obs_E, obs_F, obs_G, obs_H, obs_I, 
0.01, 4.65617, 2.73071, 0.5, 224911, 3.16228, 11.8291, 5.69062, 0.5, 1.48414, 
0.02, 5.45466, 2.1932, 0.5, 404323, 3.16228, 3.16228, 4.13107, 1.3412, 0.5, 
0.03, 4.51119, 0.5, 0.5, 225295, 60.5045, 3.16228, 4.24846, 3.25124, 1.30765, 
0.04, 3.45634, 2.82921, 0.5, 3001.27, 3.16228, 3.16228, 5.53418, 0.5, 0.5, 
0.05, 4.52156, 0.5, 0.5, 1.40415e+06, 21.5855, 3.16228, 5.31429, 1.48702, 0.5, 
0.06, 4.43847, 1.80661, 0.5, 9113.74, 22.184, 3.16228, 5.55712, 1.67297, 0.5, 
0.07, 5.20108, 1.17788, 0.5, 8.8157e+06, 3.16228, 3.16228, 5.69253, 0.5, 0.5, 
0.08, 4.49695, 0.5, 0.5, 21806.4, 52.0241, 3.16228, 6.04453, 1.82049, 0.5, 
0.09, 6.01039, 3.03099, 0.5, 60317.2, 16.9022, 3.16228, 3.26326, 0.5, 0.5, 
0.1, 2.94419, 0.5, 0.5, 1.2284e+06, 11.1341, 3.16228, 5.14468, 1.87849, 0.5, 
0.11, 5.38899, 0.5, 0.5, 4383.87, 3.16228, 3.16228, 5.36828, 0.5, 0.5, 
0.12, 4.46778, 1.81188, 0.5, 290921, 10.9612, 403.427, 3.2986, 1.07046, 0.5, 
0.13, 5.9646, 0.5, 0.5, 544098, 82.5779, 3.16228, 5.09321, 0.5, 0.5, 
0.14, 5.06824, 1.82166, 0.5, 345096, 3.16228, 3.16228, 6.06744, 0.5, 0.5, 
0.15, 6.63185, 2.30702, 0.5, 18744.7, 25.1812, 3.16228, 3.47919, 1.08856, 0.5, 
0.16, 4.59148, 0.5, 0.5, 285207, 43.1497, 3.16228, 5.04226, 0.5, 0.5, 
0.17, 4.68249, 0.5, 0.5, 10482.3, 21408.4, 3.16228, 4.42394, 0.5, 0.5, 
0.18, 5.47525, 0.5, 0.5, 198978, 3.16228, 3.16228, 5.70695, 0.5, 0.5, 
0.19, 6.05348, 1.93268, 0.5, 28068.7, 3.16228, 3.16228, 3.87769, 0.5, 0.5, 
0.2, 3.79207, 0.5, 0.5, 154627, 3.16228, 3.16228, 3.86946, 1.84258, 0.5, 
0.21, 2.34995, 1.80379, 0.5, 15283.4, 3.16228, 3.16228, 6.2947, 1.04984, 0.5, 
0.22, 4.80959, 0.5, 0.5, 258898, 15.265, 120.543, 5.48223, 2.24796, 0.5, 
0.23, 5.24891, 2.0774, 0.5, 32214.1, 21.1552, 3.16228, 6.36999, 1.9871, 0.5, 
0.24, 6.52319, 1.37281, 0.5, 14064.4, 3.16228, 3.16228, 5.86708, 0.5, 0.5, 
0.25, 4.7393, 0.5, 0.5, 621.62, 3.16228, 3.16228, 5.61541, 0.5, 0.5, 
0.26, 5.09181, 0.5, 0.5, 295496, 3.16228, 3.16228, 5.12011, 1.02772, 0.5, 
0.27, 5.67047, 1.05665, 0.5, 5.47602e+06, 3.16228, 3.16228, 3.67824, 0.5, 0.5, 
0.28, 4.38152, 0.5, 1.0175, 27837.8, 3.16228, 29.7453, 4.99319, 2.22413, 0.5, 
0.29, 3.986, 1.91575, 0.5, 2.74704e+06, 3.16228, 17.2195, 5.20622, 0.5, 0.5, 
0.3, 4.77008, 2.47646, 0.5, 65358.9, 3.16228, 3.16228, 5.50664, 2.57955, 0.5, 
0.31, 3.22336, 1.66135, 0.5, 15408.8, 49.9933, 3.16228, 4.0876, 1.25426, 0.5, 
0.32, 5.50555, 0.5, 2.22808, 120959, 3.16228, 3.16228, 5.09132, 1.46439, 0.5, 
0.33, 3.96365, 1.24049, 1.44168, 39060.2, 21.2839, 3.16228, 6.71815, 0.5, 1.4796, 
0.34, 3.44439, 3.23771, 0.5, 494779, 3.16228, 11.1589, 4.44858, 0.5, 0.5, 
0.35, 5.05854, 2.25768, 0.5, 13826.8, 3.16228, 3.16228, 5.10611, 0.5, 0.5, 
