t,obs,nExpID
1,1.297776423, 1
2,9.3006365306, 1
3,0.7778908129, 1
4,1.9387487899, 1
5,1.6528580861, 1
6,3.4565357614, 1
7,1.8454324722, 1
8,1.0146234185, 1
9,1.7718608317, 1
10,1.6112829531, 1
11,1.4863441051, 1
12,0.6015436901, 1
13,1.0086764051, 1
14,1.4823650484, 1
15,0.6099927548, 1
16,1.8670877984, 1
17,2.2499049612, 1
18,0.9215383785, 1
19,1.1826233952, 1
20,3.2458619711, 1
21,3.5076632626, 1
22,0.5281160196, 1
23,7.8626564291, 1
24,2.79513288389935, 1
25,1.6719471659, 1
26,1.4617288646, 1
27,2.6711841392, 1
28,2.4501342413, 1
29,0.4162379258, 1
30,1.7027428756, 2
31,0.8229096031, 2
32,1.3009264989, 2
33,1.5559222699, 2
34,2.7958680207, 2
35,0.957348694862462, 2
36,0.5966872284, 2
37,2.0455198891, 2
38,3.8702600966, 2
39,1.4352207233, 2
40,1.6942367746, 2
41,1.9245089623, 2
42,1.7478023788, 2
43,1.9963054885, 2
44,3.324904256, 2
