t,obs
1,1.297776423
2,9.3006365306
3,0.7778908129
4,1.9387487899
5,1.6528580861
6,3.4565357614
7,1.8454324722
8,1.0146234185
9,1.7718608317
10,1.6112829531
11,1.4863441051
12,0.6015436901
13,1.0086764051
14,1.4823650484
15,0.6099927548
16,1.8670877984
17,2.2499049612
18,0.9215383785
19,1.1826233952
20,3.2458619711
21,3.5076632626
22,0.5281160196
23,7.8626564291
24,2.79513288389935
25,1.6719471659
26,1.4617288646
27,2.6711841392
28,2.4501342413
29,0.4162379258
30,1.7027428756
31,0.8229096031
32,1.3009264989
33,1.5559222699
34,2.7958680207
35,0.957348694862462
36,0.5966872284
37,2.0455198891
38,3.8702600966
39,1.4352207233
40,1.6942367746
41,1.9245089623
42,1.7478023788
43,1.9963054885
44,3.324904256
45,2.8021770257
46,7.8175584127
47,2.9068198528
48,1.3650252245
49,1.442268126
50,4.1085650712
51,1.0947648128
52,2.282174941
53,2.4362060544
54,2.1290562875
55,2.7820172641
56,1.5973458843
57,2.2083969204
58,2.3128468914
59,2.1891018176
60,1.3572610593
61,1.266631001
62,2.4524218035
63,3.29503392246046
64,3.7906219988
65,1.4143222169
66,4.2469417209
67,5.28891577223708
68,4.9043249018
69,3.1161449018
70,1.4890723452
71,2.6232146664
72,1.6506248629
73,0.8337807385
74,1.2946280725
75,4.2831702089
76,0.840640006755693
77,1.0181438766
78,1.1298754974
79,3.3096347073
80,1.5495411224
81,1.4065958389
82,0.7999289581
83,4.8288795866
84,1.2999199901
85,0.8032233856
86,3.0949298686
87,1.3593102023
88,3.548043969
89,0.7915677817
90,2.8444598319
91,1.9231494908
92,1.6490597886
93,5.0122556229
94,2.6227812679
95,1.9093859097
96,2.6743496671
97,3.54880238
98,1.0294009671
99,0.626566149641562
100,1.4099894914
101,3.7406018042
102,1.6642126585
103,1.4136760308
104,2.2186501981
105,2.0720884051
106,0.9133963339
107,0.5072941821
108,1.8359777554
109,2.9018239593
110,2.0146348151
111,1.1106288684
112,1.4594658933
113,1.7447910747802
114,3.3525955691
115,0.89175826858219
116,2.6068418964
117,1.2663803299
118,1.7449036097
119,1.8250036977
120,3.257026579
121,0.7076986823
122,2.0748195624
123,1.6285570926
124,1.7664024389
125,1.3456284746
126,1.7458440661
127,1.2244112337
128,3.9322272582
129,1.9743252266
130,0.5967047293
131,4.0653785963
132,1.4071976047
133,1.6768242344
134,2.278705359
135,2.0271432918
136,1.6384234528
137,1.699383114
138,1.6225209504
139,0.8385272444
140,2.5198044792
141,1.9494116608
142,1.3022535933
143,2.322367729
144,1.5830336841
