t,obs
1,-66.6739334163
2,-76.6573773636
3,15.6175671067
4,-74.4000101652
5,47.6586586687
6,-81.9330851367
7,-6.331429489
8,-6.7662518142
9,97.7550323635
10,26.7064278876
11,-22.5225444985
12,102.1414669391
13,-43.348394627
14,94.8014125229
15,31.8051712761
16,-26.122387072
17,81.2369275398
18,51.6249674168
19,-60.0564484402
20,62.7582156057
21,-9.7719788739
22,17.3838241884
23,-7.7012406948
24,-19.2271920360725
25,27.4124995226
26,31.8792229542
27,-7.8201686186
28,27.7793329087
29,18.829507391
30,77.421027129
31,-6.4654133181
32,15.9398661785
33,29.9495028462
34,33.7998974707
35,-25.5769039091297
36,24.0019975219
37,68.4696041539
38,55.4082978678
39,-32.4311418408
40,-55.574646304
41,-82.9218182216
42,-94.8009731899
43,-18.7341708362
44,-47.687691356
45,31.769972645
46,-106.3211176393
47,91.9016647745
48,-85.7230887169
49,-87.3238487524
50,-13.3913960546
51,-26.0135456335
52,-18.5383361507
53,-39.6833968065
54,14.1023763734
55,64.9909543412
56,38.0206480406
57,18.7172050613
58,-6.4008225529
59,10.8557347365
60,-79.9575953289
61,30.7602394672
62,125.430823845
63,-5.08237364141774
64,41.6609553414
65,10.8760050221
66,40.6563536781
67,-59.355724393127
68,-32.5004465697
69,61.7459851457
70,43.2428932029
71,41.6749160947
72,43.4559191503
73,-37.3637614892
74,-10.9261226649
75,38.0156920817
76,-19.417876387233
77,-19.2653347135
78,-46.880413896
79,-17.6605513107
80,-73.259003042
81,-4.2028194628
82,90.4079262213
83,-90.9672768826
84,-39.5976223882
85,5.9325664807
86,-20.3169580882
87,-34.7945320336
88,-53.4594352756
89,3.0855926058
90,178.73691522
91,-140.3252160244
92,-53.4724556357
93,17.7024152777
94,-5.3408994909
95,-36.2358905959
96,104.7060205416
97,104.616573918
98,-43.4238149346
99,-57.696218402573
100,74.2779050995
101,-66.890023874
102,-62.8766947511
103,113.5118566424
104,53.5803282797
105,52.3689010436
106,-31.4195047238
107,92.4607214262
108,96.9987322981
109,-132.9775176438
110,-1.2466818426
111,93.7405802985
112,75.0278306931
113,82.8969974163799
114,-123.306508825
115,-106.758390247375
116,38.3527706845
117,58.199297269
118,-35.2569012989
119,114.388316652
120,25.0510896499
121,-83.6536860847
122,-7.0503964872
123,39.7206819763
124,-55.6921848263
125,-70.9188840837
126,43.1463552627
127,-26.5400854111
128,23.4956279029
129,47.6420291453
130,49.4912576695
131,170.4676984182
132,40.0931247239
133,-37.9932746978
134,124.7458917053
135,43.1734493686
136,54.3054344402
137,10.7088620206
138,113.5502061753
139,-10.2697993618
140,17.7863535924
141,-23.8997254573
142,-73.5284337988
143,91.2358138103
144,6.4931404024
145,-74.492177331
146,26.8301634082533
147,-49.8436219942
148,21.0840284406
149,-19.6350212104
150,98.9716869717
151,22.9211790943652
152,34.6274400889
153,96.0893065887433
154,90.6142013727
155,-88.5390942743
156,53.5413208946
157,-60.7617196972
158,-81.6960038439
159,29.6870099537
160,82.4407320797
161,8.02971578419012
162,-12.209290678
163,-31.7104226227
164,-96.2882542296
165,-68.8750597741
166,14.3391201542
167,-57.761423449
168,-104.7841075051
169,-4.050346166
170,-194.3631772174
171,-3.4360082303
172,44.5800063462
173,74.4407779175
174,163.9493284251
175,48.8940182965
176,4.6808779666
177,86.5285370912
178,-148.2735985183
179,39.8371872841
180,-34.5226774123
181,-56.8259626853
182,99.3407666965
183,-123.1001172711
184,-35.4392879619
185,-52.4236609518
186,-1.5976904346
187,22.5677919224
188,-11.6646984107
189,-58.4882162273
190,-105.0911690573
