t, stateA_obs, stateB_obs, stateC_obs, stateD_obs, stateE_obs, stateF_obs, stateG_obs, stateH_obs, donor_obs, Pdonor_obs, Pparticle_obs, 
-50, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-49.1639, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-48.3278, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-47.4916, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-46.6555, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-45.8194, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-44.9833, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-44.1472, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-43.311, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-42.4749, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-41.6388, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-40.8027, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-39.9666, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-39.1304, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
-38.2943, 10, 11, 0.99776, 3.84226, 7.68452, 0.106417, 7.94668, 6.10664, 0.185728, 0.0142723, 0.0768452, 
