t, A_au, B_au
0, 0.501674, 0.500125
0.367893, 0.50053, 0.499048
0.735786, 0.500854, 0.500389
1.10368, 0.498844, 0.50004
1.47157, 0.499549, 0.500109
1.83946, 0.499749, 0.49981
2.20736, 0.498967, 0.499677
2.57525, 0.500767, 0.501745
2.94314, 0.498839, 0.502377
3.31104, 0.501526, 0.500169
3.67893, 0.499699, 0.499301
4.04682, 0.500833, 0.499305
4.41472, 0.499538, 0.500884
4.78261, 0.500436, 0.500897
5.1505, 0.500505, 0.499599
5.51839, 0.499486, 0.500796
5.88629, 0.499329, 0.501187
6.25418, 0.500791, 0.500288
6.62207, 0.500003, 0.500366
6.98997, 0.503527, 0.499888
7.35786, 0.498443, 0.501915
7.72575, 0.50061, 0.499352
8.09365, 0.502617, 0.500551
8.46154, 0.500294, 0.499222
8.82943, 0.498935, 0.498232
9.19732, 0.499577, 0.498947
9.56522, 0.500648, 0.499682
9.93311, 0.501769, 0.501511
10.301, 0.501093, 0.498789
10.6689, 0.504841, 0.495165
11.0368, 0.50795, 0.492054
11.4047, 0.510779, 0.488148
11.7726, 0.515734, 0.484064
12.1405, 0.518037, 0.481453
12.5084, 0.522529, 0.477409
12.8763, 0.526342, 0.473576
13.2441, 0.527753, 0.470148
13.612, 0.535678, 0.467214
13.9799, 0.538129, 0.462542
14.3478, 0.540682, 0.459743
14.7157, 0.543775, 0.455491
15.0836, 0.546402, 0.453071
15.4515, 0.549252, 0.451104
15.8194, 0.555155, 0.44606
16.1873, 0.555539, 0.443147
16.5552, 0.559422, 0.44329
16.9231, 0.559084, 0.441198
17.291, 0.562209, 0.436933
17.6589, 0.566865, 0.434381
18.0268, 0.57046, 0.434588
18.3946, 0.570632, 0.427599
18.7625, 0.57239, 0.426397
19.1304, 0.574187, 0.423921
19.4983, 0.577164, 0.425021
19.8662, 0.578443, 0.42056
20.2341, 0.582341, 0.420038
20.602, 0.58362, 0.417891
20.9699, 0.585911, 0.414578
21.3378, 0.587323, 0.412807
21.7057, 0.587798, 0.411937
22.0736, 0.59052, 0.409361
22.4415, 0.592452, 0.408827
22.8094, 0.594216, 0.406372
23.1773, 0.595721, 0.40461
23.5452, 0.596244, 0.403768
23.913, 0.599963, 0.400911
24.2809, 0.601979, 0.399773
24.6488, 0.601264, 0.397594
25.0167, 0.59234, 0.405915
25.3846, 0.477712, 0.524238
25.7525, 0.447262, 0.55412
26.1204, 0.440713, 0.558129
26.4883, 0.438156, 0.56203
26.8562, 0.439684, 0.559728
27.2241, 0.439043, 0.560742
27.592, 0.441111, 0.559326
27.9599, 0.441451, 0.555955
28.3278, 0.44434, 0.557615
28.6957, 0.446354, 0.553746
29.0635, 0.444503, 0.552686
29.4314, 0.446891, 0.552452
29.7993, 0.449316, 0.550543
30.1672, 0.447305, 0.551158
30.5351, 0.451264, 0.549126
30.903, 0.449806, 0.548779
31.2709, 0.450414, 0.547967
31.6388, 0.453836, 0.54721
32.0067, 0.452035, 0.545519
32.3746, 0.454558, 0.546953
32.7425, 0.456672, 0.544186
33.1104, 0.457944, 0.542321
33.4783, 0.457145, 0.54392
33.8462, 0.459836, 0.542397
34.214, 0.459646, 0.540258
34.5819, 0.460706, 0.539211
34.9498, 0.461323, 0.539533
35.3177, 0.462659, 0.538054
35.6856, 0.462911, 0.538518
36.0535, 0.462116, 0.537142
36.4214, 0.465335, 0.536375
36.7893, 0.464138, 0.53601
37.1572, 0.464865, 0.535303
37.5251, 0.465685, 0.534162
37.893, 0.466946, 0.534877
38.2609, 0.467588, 0.534512
38.6288, 0.465746, 0.531776
38.9967, 0.468636, 0.530765
39.3645, 0.467736, 0.531605
39.7324, 0.470224, 0.530678
40.1003, 0.470594, 0.52893
40.4682, 0.470277, 0.529119
40.8361, 0.47065, 0.528994
41.204, 0.474256, 0.527627
41.5719, 0.473079, 0.526534
41.9398, 0.474301, 0.526069
42.3077, 0.47369, 0.525901
42.6756, 0.474502, 0.526022
43.0435, 0.474444, 0.528461
43.4114, 0.474347, 0.524976
43.7793, 0.478139, 0.523398
44.1472, 0.476478, 0.522999
44.5151, 0.477415, 0.523943
44.8829, 0.477488, 0.522886
45.2508, 0.477522, 0.524195
45.6187, 0.475435, 0.520657
45.9866, 0.47855, 0.521211
46.3545, 0.478254, 0.519953
46.7224, 0.478053, 0.520638
47.0903, 0.478632, 0.519776
