method	# candidates	predecessor change	current model criterion	current model	candidate changes
forward	17	[]	inf	['a_0ac_k08', 'a_b', 'a_k05k12_k05k08k12', 'a_k05k12_k05k12k16', 'a_k05k16_k05k12k16', 'a_k08_k05k08', 'a_k08_k08k12', 'a_k08_k08k16', 'a_k08k12k16_4ac', 'a_k08k16_k05k08k16', 'a_k08k16_k08k12k16', 'a_k12_k05k12', 'a_k12_k08k12', 'a_k12_k12k16', 'a_k12k16_k08k12k16', 'a_k16_k12k16']	[['a_0ac_k05'], ['a_0ac_k12'], ['a_0ac_k16'], ['a_k05_k05k08'], ['a_k05_k05k12'], ['a_k05_k05k16'], ['a_k05k08_k05k08k12'], ['a_k05k08_k05k08k16'], ['a_k05k08k12_4ac'], ['a_k05k08k16_4ac'], ['a_k05k12k16_4ac'], ['a_k05k16_k05k08k16'], ['a_k08k12_k05k08k12'], ['a_k08k12_k08k12k16'], ['a_k12k16_k05k12k16'], ['a_k16_k05k16'], ['a_k16_k08k16']]
forward	16	['a_k05_k05k12']	-1688.4806604640246	['a_0ac_k08', 'a_b', 'a_k05_k05k12', 'a_k05k12_k05k08k12', 'a_k05k12_k05k12k16', 'a_k05k16_k05k12k16', 'a_k08_k05k08', 'a_k08_k08k12', 'a_k08_k08k16', 'a_k08k12k16_4ac', 'a_k08k16_k05k08k16', 'a_k08k16_k08k12k16', 'a_k12_k05k12', 'a_k12_k08k12', 'a_k12_k12k16', 'a_k12k16_k08k12k16', 'a_k16_k12k16']	[['a_0ac_k05'], ['a_0ac_k12'], ['a_0ac_k16'], ['a_k05_k05k08'], ['a_k05_k05k16'], ['a_k05k08_k05k08k12'], ['a_k05k08_k05k08k16'], ['a_k05k08k12_4ac'], ['a_k05k08k16_4ac'], ['a_k05k12k16_4ac'], ['a_k05k16_k05k08k16'], ['a_k08k12_k05k08k12'], ['a_k08k12_k08k12k16'], ['a_k12k16_k05k12k16'], ['a_k16_k05k16'], ['a_k16_k08k16']]
backward	16	[]	-1688.4806604640246	['a_0ac_k08', 'a_b', 'a_k05_k05k12', 'a_k05k12_k05k08k12', 'a_k05k12_k05k12k16', 'a_k05k16_k05k12k16', 'a_k08_k05k08', 'a_k08_k08k12', 'a_k08_k08k16', 'a_k08k12k16_4ac', 'a_k08k16_k05k08k16', 'a_k08k16_k08k12k16', 'a_k12_k05k12', 'a_k12_k08k12', 'a_k12_k12k16', 'a_k12k16_k08k12k16', 'a_k16_k12k16']	[['a_0ac_k08'], ['a_k05_k05k12'], ['a_k05k12_k05k08k12'], ['a_k05k12_k05k12k16'], ['a_k05k16_k05k12k16'], ['a_k08_k05k08'], ['a_k08_k08k12'], ['a_k08_k08k16'], ['a_k08k12k16_4ac'], ['a_k08k16_k05k08k16'], ['a_k08k16_k08k12k16'], ['a_k12_k05k12'], ['a_k12_k08k12'], ['a_k12_k12k16'], ['a_k12k16_k08k12k16'], ['a_k16_k12k16']]
backward	15	['a_k08_k08k16']	-1690.7812030034663	['a_0ac_k08', 'a_b', 'a_k05_k05k12', 'a_k05k12_k05k08k12', 'a_k05k12_k05k12k16', 'a_k05k16_k05k12k16', 'a_k08_k05k08', 'a_k08_k08k12', 'a_k08k12k16_4ac', 'a_k08k16_k05k08k16', 'a_k08k16_k08k12k16', 'a_k12_k05k12', 'a_k12_k08k12', 'a_k12_k12k16', 'a_k12k16_k08k12k16', 'a_k16_k12k16']	[['a_0ac_k08'], ['a_k05_k05k12'], ['a_k05k12_k05k08k12'], ['a_k05k12_k05k12k16'], ['a_k05k16_k05k12k16'], ['a_k08_k05k08'], ['a_k08_k08k12'], ['a_k08k12k16_4ac'], ['a_k08k16_k05k08k16'], ['a_k08k16_k08k12k16'], ['a_k12_k05k12'], ['a_k12_k08k12'], ['a_k12_k12k16'], ['a_k12k16_k08k12k16'], ['a_k16_k12k16']]
backward	14	['a_k05k16_k05k12k16']	-1693.0621897450123	['a_0ac_k08', 'a_b', 'a_k05_k05k12', 'a_k05k12_k05k08k12', 'a_k05k12_k05k12k16', 'a_k08_k05k08', 'a_k08_k08k12', 'a_k08k12k16_4ac', 'a_k08k16_k05k08k16', 'a_k08k16_k08k12k16', 'a_k12_k05k12', 'a_k12_k08k12', 'a_k12_k12k16', 'a_k12k16_k08k12k16', 'a_k16_k12k16']	[['a_0ac_k08'], ['a_k05_k05k12'], ['a_k05k12_k05k08k12'], ['a_k05k12_k05k12k16'], ['a_k08_k05k08'], ['a_k08_k08k12'], ['a_k08k12k16_4ac'], ['a_k08k16_k05k08k16'], ['a_k08k16_k08k12k16'], ['a_k12_k05k12'], ['a_k12_k08k12'], ['a_k12_k12k16'], ['a_k12k16_k08k12k16'], ['a_k16_k12k16']]
backward	13	['a_k08_k08k12']	-1695.323741885311	['a_0ac_k08', 'a_b', 'a_k05_k05k12', 'a_k05k12_k05k08k12', 'a_k05k12_k05k12k16', 'a_k08_k05k08', 'a_k08k12k16_4ac', 'a_k08k16_k05k08k16', 'a_k08k16_k08k12k16', 'a_k12_k05k12', 'a_k12_k08k12', 'a_k12_k12k16', 'a_k12k16_k08k12k16', 'a_k16_k12k16']	[['a_0ac_k08'], ['a_k05_k05k12'], ['a_k05k12_k05k08k12'], ['a_k05k12_k05k12k16'], ['a_k08_k05k08'], ['a_k08k12k16_4ac'], ['a_k08k16_k05k08k16'], ['a_k08k16_k08k12k16'], ['a_k12_k05k12'], ['a_k12_k08k12'], ['a_k12_k12k16'], ['a_k12k16_k08k12k16'], ['a_k16_k12k16']]
backward	12	['a_k05k12_k05k12k16']	-1697.5623869086814	['a_0ac_k08', 'a_b', 'a_k05_k05k12', 'a_k05k12_k05k08k12', 'a_k08_k05k08', 'a_k08k12k16_4ac', 'a_k08k16_k05k08k16', 'a_k08k16_k08k12k16', 'a_k12_k05k12', 'a_k12_k08k12', 'a_k12_k12k16', 'a_k12k16_k08k12k16', 'a_k16_k12k16']	[['a_0ac_k08'], ['a_k05_k05k12'], ['a_k05k12_k05k08k12'], ['a_k08_k05k08'], ['a_k08k12k16_4ac'], ['a_k08k16_k05k08k16'], ['a_k08k16_k08k12k16'], ['a_k12_k05k12'], ['a_k12_k08k12'], ['a_k12_k12k16'], ['a_k12k16_k08k12k16'], ['a_k16_k12k16']]
backward	11	['a_k12_k08k12']	-1699.7744801865597	['a_0ac_k08', 'a_b', 'a_k05_k05k12', 'a_k05k12_k05k08k12', 'a_k08_k05k08', 'a_k08k12k16_4ac', 'a_k08k16_k05k08k16', 'a_k08k16_k08k12k16', 'a_k12_k05k12', 'a_k12_k12k16', 'a_k12k16_k08k12k16', 'a_k16_k12k16']	[['a_0ac_k08'], ['a_k05_k05k12'], ['a_k05k12_k05k08k12'], ['a_k08_k05k08'], ['a_k08k12k16_4ac'], ['a_k08k16_k05k08k16'], ['a_k08k16_k08k12k16'], ['a_k12_k05k12'], ['a_k12_k12k16'], ['a_k12k16_k08k12k16'], ['a_k16_k12k16']]
backward	10	['a_k08k16_k08k12k16']	-1701.9477568144061	['a_0ac_k08', 'a_b', 'a_k05_k05k12', 'a_k05k12_k05k08k12', 'a_k08_k05k08', 'a_k08k12k16_4ac', 'a_k08k16_k05k08k16', 'a_k12_k05k12', 'a_k12_k12k16', 'a_k12k16_k08k12k16', 'a_k16_k12k16']	[['a_0ac_k08'], ['a_k05_k05k12'], ['a_k05k12_k05k08k12'], ['a_k08_k05k08'], ['a_k08k12k16_4ac'], ['a_k08k16_k05k08k16'], ['a_k12_k05k12'], ['a_k12_k12k16'], ['a_k12k16_k08k12k16'], ['a_k16_k12k16']]
backward	9	['a_k08_k05k08']	-1704.0989381094057	['a_0ac_k08', 'a_b', 'a_k05_k05k12', 'a_k05k12_k05k08k12', 'a_k08k12k16_4ac', 'a_k08k16_k05k08k16', 'a_k12_k05k12', 'a_k12_k12k16', 'a_k12k16_k08k12k16', 'a_k16_k12k16']	[['a_0ac_k08'], ['a_k05_k05k12'], ['a_k05k12_k05k08k12'], ['a_k08k12k16_4ac'], ['a_k08k16_k05k08k16'], ['a_k12_k05k12'], ['a_k12_k12k16'], ['a_k12k16_k08k12k16'], ['a_k16_k12k16']]
