observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
observable_x_0ac	y_{0ac}	x_0ac	log	sigma_	normal
observable_x_4ac	y_{4ac}	x_4ac	log	sigma_	normal
observable_x_k12	y_{k12}	x_k12	log	sigma_	normal
observable_x_k12k16	y_{k12k16}	x_k12k16	log	sigma_	normal
observable_x_k16	y_{k16}	x_k16	log	sigma_	normal
observable_x_k05	y_{k05}	x_k05	log	sigma_	normal
observable_x_k05k12	y_{k05k12}	x_k05k12	log	sigma_	normal
observable_x_k05k12k16	y_{k05k12k16}	x_k05k12k16	log	sigma_	normal
observable_x_k05k08	y_{k05k08}	x_k05k08	log	sigma_	normal
observable_x_k05k08k12	y_{k05k08k12}	x_k05k08k12	log	sigma_	normal
observable_x_k05k08k16	y_{k05k08k16}	x_k05k08k16	log	sigma_	normal
observable_x_k08	y_{k08}	x_k08	log	sigma_	normal
observable_x_k08k12	y_{k08k12}	x_k08k12	log	sigma_	normal
observable_x_k08k12k16	y_{k08k12k16}	x_k08k12k16	log	sigma_	normal
observable_x_k08k16	y_{k08k16}	x_k08k16	log	sigma_	normal
