time, data
1, 0.215531
2, 0.961221
3, 1.03496
4, 0.15691
5, 0.110775
6, 0.909423
7, 0.0660644
8, 0.726757
9, 0.508381
10, 0.643457
11, 1.0841
12, 1.2329
13, 2.08501
14, 0.0921578
15, 0.129626
16, 0.206293
17, 0.213481
18, 1.52698
19, 0.544219
20, 1.02781
21, 0.687556
22, 0.393279
23, 0.475658
24, 0.0634532
25, 0.559048
26, 0.735397
27, 1.38662
28, 0.799174
29, 0.611219
30, 0.110224
31, 0.414259
32, 0.230095
33, 0.857031
34, 0.0482087
35, 1.02335
36, 0.181993
37, 0.290128
38, 0.815204
39, 0.322332
40, 0.138375
41, 0.451012
42, 0.153041
43, 0.879002
44, 0.192707
45, 0.194886
46, 1.59488
47, 0.441943
48, 0.421971
49, 0.225809
50, 0.146405
51, 0.00969017
52, 0.107599
53, 2.04953
54, 1.31403
55, 0.61804
56, 0.419265
57, 0.654619
58, 0.690147
59, 1.67927
60, 0.248169
61, 1.19335
62, 1.56357
63, 1.74519
64, 0.0240947
65, 1.34819
66, 0.287206
67, 0.751265
68, 0.431725
69, 0.431239
70, 0.121855
71, 0.420567
72, 0.404851
73, 0.48373
74, 0.293326
75, 2.46948
76, 0.252209
77, 0.929173
78, 0.531845
79, 1.32631
80, 1.02402
81, 0.901265
82, 0.655816
83, 0.398171
84, 2.34531
85, 0.945295
86, 1.7895
87, 0.490436
88, 0.892936
89, 0.764206
90, 0.221817
91, 0.469938
92, 0.437106
93, 2.0514
94, 0.160793
95, 0.53075
96, 0.264524
97, 0.331936
98, 1.06507
99, 0.396402
100, 0.615847
101, 1.15777
102, 0.193039
103, 0.286297
104, 0.721219
105, 0.0386905
106, 0.343145
107, 1.2561
108, 1.24419
109, 0.563123
110, 0.234618
111, 1.54734
112, 0.166982
113, 0.0315006
114, 1.41884
115, 0.892036
116, 0.657065
117, 0.003798
118, 1.12407
119, 0.248696
120, 0.89867
121, 1.28809
122, 1.02161
123, 0.38425
124, 0.697426
125, 0.734419
126, 2.12974
127, 0.0942517
128, 1.15205
129, 1.67917
130, 0.00498944
131, 0.587497
132, 0.399269
133, 0.124209
134, 0.164378
135, 0.350086
136, 0.285286
137, 0.397826
138, 0.25638
139, 0.935474
140, 1.30747
141, 1.12529
142, 0.527863
143, 0.0054423
144, 0.899864
145, 1.17999
146, 0.763704
147, 1.05667
148, 1.86064
149, 0.21111
150, 0.691298
151, 1.49821
152, 0.0760729
153, 0.464791
154, 0.220294
155, 0.821789
156, 0.0905956
157, 0.0808485
158, 1.23846
159, 0.336427
160, 0.462542
161, 1.42467
162, 0.550282
163, 1.94252
164, 0.693621
165, 0.185088
166, 0.166871
167, 0.147516
168, 1.07631
169, 0.10341
170, 0.315359
171, 0.373262
172, 0.364252
173, 0.258273
174, 0.00884125
175, 1.29589
176, 0.379074
177, 0.00533549
178, 1.64694
179, 0.186072
180, 0.0807515
181, 0.647004
182, 0.370197
183, 0.286669
184, 0.271465
185, 1.12926
186, 0.877298
187, 0.922282
188, 0.1078
189, 0.118926
190, 0.718439
191, 0.73908
192, 1.35526
193, 1.29052
194, 0.57342
195, 0.949555
196, 0.989689
197, 0.409488
198, 0.535836
199, 0.965501
200, 1.01864
201, 0.211296
202, 1.02636
203, 0.109824
204, 1.32661
205, 1.21862
206, 1.26875
207, 0.836291
208, 0.367967
209, 0.219762
210, 0.840888
211, 0.450087
212, 0.565846
213, 0.566466
214, 0.105944
215, 0.0955857
216, 1.14727
217, 0.495547
218, 0.241709
219, 0.767682
220, 1.16527
221, 0.102891
222, 0.169629
223, 0.457274
224, 0.262058
225, 0.0291267
226, 0.821387
227, 0.923374
228, 1.49288
229, 0.492341
230, 0.845268
231, 0.0482351
