time,data
0.000000e+00,1.000000e-05
1.371237e-01,1.789193e-06
2.742475e-01,6.011643e-07
4.113712e-01,3.618403e-07
5.484950e-01,3.721662e-07
6.856187e-01,6.239675e-07
8.227425e-01,1.626674e-06
9.598662e-01,6.290156e-06
1.096990e+00,3.431899e-05
1.234114e+00,2.443125e-04
1.371237e+00,2.064560e-03
1.508361e+00,1.883761e-02
1.645485e+00,1.688054e-01
1.782609e+00,1.351312e+00
1.919732e+00,8.789808e+00
2.056856e+00,4.232023e+01
2.193980e+00,1.448658e+02
2.331104e+00,3.618305e+02
2.468227e+00,6.795970e+02
2.605351e+00,9.892135e+02
2.742475e+00,1.150023e+03
2.879599e+00,1.100490e+03
3.016722e+00,8.933350e+02
3.153846e+00,6.339818e+02
3.290970e+00,4.053767e+02
3.428094e+00,2.406833e+02
3.565217e+00,1.367488e+02
3.702341e+00,7.662612e+01
3.839465e+00,4.364069e+01
3.976589e+00,2.603474e+01
4.113712e+00,1.670884e+01
4.250836e+00,1.157577e+01
4.387960e+00,8.603455e+00
4.525084e+00,6.817276e+00
4.662207e+00,5.723471e+00
4.799331e+00,5.059578e+00
4.936455e+00,4.680271e+00
5.073579e+00,4.502206e+00
5.210702e+00,4.475821e+00
5.347826e+00,4.569924e+00
5.484950e+00,4.762442e+00
5.622074e+00,5.034200e+00
5.759197e+00,5.364225e+00
5.896321e+00,5.726046e+00
6.033445e+00,6.085227e+00
6.170569e+00,6.411900e+00
6.307692e+00,6.698820e+00
6.444816e+00,6.942821e+00
6.581940e+00,7.142075e+00
6.719064e+00,7.296056e+00
6.856187e+00,7.405456e+00
6.993311e+00,7.472052e+00
7.130435e+00,7.498545e+00
7.267559e+00,7.488377e+00
7.404682e+00,7.445546e+00
7.541806e+00,7.374425e+00
7.678930e+00,7.279593e+00
7.816054e+00,7.165689e+00
7.953177e+00,7.037287e+00
8.090301e+00,6.898800e+00
8.227425e+00,6.754411e+00
8.364548e+00,6.608024e+00
8.501672e+00,6.463244e+00
8.638796e+00,6.323372e+00
8.775920e+00,6.191429e+00
8.913043e+00,6.070179e+00
9.050167e+00,5.962151e+00
9.187291e+00,5.868312e+00
9.324415e+00,5.787639e+00
9.461538e+00,5.719074e+00
9.598662e+00,5.661662e+00
9.735786e+00,5.614540e+00
9.872910e+00,5.576918e+00
1.001003e+01,5.548073e+00
1.014716e+01,5.527337e+00
1.028428e+01,5.514086e+00
1.042140e+01,5.507732e+00
1.055853e+01,5.507719e+00
1.069565e+01,5.513514e+00
1.083278e+01,5.524599e+00
1.096990e+01,5.540471e+00
