t, stateA_obs, stateB_obs, stateC_obs, stateD_obs, stateE_obs, stateF_obs, stateG_obs, stateH_obs, donor_obs, Pdonor_obs, Pparticle_obs, 
-50, 1, 2, 3, 4, 5, 6, 7, 8, 0.1, 0.1, 0.1, 
-49.1639, 0.995989, 1.99983, 3.24752, 4.73623, 4.78029, 5.67539, 6.92045, 8.15909, 0.0255849, 0.174415, 0.114009, 
-48.3278, 0.992301, 1.99937, 3.42768, 4.81976, 4.78704, 5.39143, 6.83762, 8.32475, 0.0254167, 0.174583, 0.128344, 
-47.4916, 0.988907, 1.99867, 3.60468, 4.84957, 4.81252, 5.1082, 6.75627, 8.48746, 0.0254293, 0.174571, 0.142653, 
-46.6555, 0.985787, 1.99776, 3.77843, 4.87592, 4.83977, 4.82635, 6.6765, 8.647, 0.0255045, 0.174495, 0.156928, 
-45.8194, 0.982916, 1.99668, 3.94885, 4.90215, 4.86736, 4.54693, 6.59834, 8.80331, 0.0256286, 0.174371, 0.171162, 
-44.9833, 0.980276, 1.99546, 4.11589, 4.92819, 4.89496, 4.27103, 6.52183, 8.95633, 0.0257957, 0.174204, 0.185352, 
-44.1472, 0.977847, 1.99415, 4.2795, 4.95384, 4.92232, 3.9997, 6.447, 9.10601, 0.0259998, 0.174, 0.199493, 
-43.311, 0.975614, 1.99275, 4.43965, 4.97887, 4.94918, 3.73395, 6.37384, 9.25231, 0.0262402, 0.17376, 0.21358, 
-42.4749, 0.973559, 1.99129, 4.59632, 5.00304, 4.97529, 3.47476, 6.30239, 9.39522, 0.0265086, 0.173491, 0.227611, 
-41.6388, 0.971669, 1.98979, 4.74949, 5.02617, 5.00044, 3.22302, 6.23265, 9.53471, 0.0268023, 0.173198, 0.241582, 
-40.8027, 0.969931, 1.98826, 4.89915, 5.04804, 5.02441, 2.97959, 6.16461, 9.67078, 0.0271163, 0.172884, 0.25549, 
-39.9666, 0.968333, 1.98673, 5.04532, 5.06848, 5.04698, 2.74525, 6.09828, 9.80344, 0.0274517, 0.172548, 0.269333, 
-39.1304, 0.966862, 1.98519, 5.18801, 5.08734, 5.068, 2.52066, 6.03365, 9.9327, 0.0277997, 0.1722, 0.283108, 
-38.2943, 0.96551, 1.98366, 5.32725, 5.10443, 5.0873, 2.30643, 5.9707, 10.0586, 0.0281567, 0.171843, 0.296812, 
-37.4582, 0.964265, 1.98216, 5.46307, 5.11971, 5.10473, 2.10302, 5.90943, 10.1811, 0.0285224, 0.171478, 0.310446, 
-36.6221, 0.963121, 1.98067, 5.59551, 5.13306, 5.1202, 1.91082, 5.8498, 10.3004, 0.0288922, 0.171108, 0.324006, 
-35.786, 0.962069, 1.97922, 5.72463, 5.14439, 5.13364, 1.73007, 5.7918, 10.4164, 0.0292601, 0.17074, 0.337494, 
-34.9498, 0.961101, 1.97781, 5.8505, 5.15369, 5.14497, 1.56091, 5.73539, 10.5292, 0.0296254, 0.170375, 0.350907, 
-34.1137, 0.96021, 1.97643, 5.97317, 5.16095, 5.15418, 1.40336, 5.68055, 10.6389, 0.0299849, 0.170015, 0.364246, 
-33.2776, 0.959391, 1.9751, 6.09273, 5.16617, 5.16126, 1.25734, 5.62722, 10.7456, 0.0303354, 0.169665, 0.377511, 
-32.4415, 0.958638, 1.9738, 6.20925, 5.16939, 5.16624, 1.12265, 5.57539, 10.8492, 0.0306748, 0.169325, 0.390703, 
-31.6054, 0.957945, 1.97256, 6.32284, 5.17067, 5.16916, 0.999003, 5.52499, 10.95, 0.031001, 0.168999, 0.403823, 
-30.7692, 0.957308, 1.97136, 6.43356, 5.17009, 5.17011, 0.886033, 5.476, 11.048, 0.0313124, 0.168688, 0.416871, 
-29.9331, 0.956722, 1.97021, 6.54153, 5.16773, 5.16915, 0.783297, 5.42836, 11.1433, 0.0316077, 0.168392, 0.429849, 
-29.097, 0.956183, 1.96911, 6.64683, 5.1637, 5.1664, 0.690286, 5.38202, 11.236, 0.0318862, 0.168114, 0.442759, 
-28.2609, 0.955687, 1.96805, 6.74956, 5.15811, 5.16196, 0.606447, 5.33695, 11.3261, 0.0321473, 0.167853, 0.455601, 
-27.4247, 0.955231, 1.96704, 6.84981, 5.15109, 5.15597, 0.531196, 5.29309, 11.4138, 0.0323908, 0.167609, 0.468379, 
-26.5886, 0.954811, 1.96607, 6.94767, 5.14276, 5.14855, 0.463933, 5.2504, 11.4992, 0.0326169, 0.167383, 0.481093, 
-25.7525, 0.954425, 1.96515, 7.04325, 5.13324, 5.13982, 0.404049, 5.20884, 11.5823, 0.032826, 0.167174, 0.493746, 
-24.9164, 0.95407, 1.96428, 7.13662, 5.12266, 5.12993, 0.35094, 5.16835, 11.6633, 0.0330188, 0.166981, 0.506339, 
-24.0803, 0.953744, 1.96345, 7.22787, 5.11115, 5.11899, 0.304005, 5.1289, 11.7422, 0.033196, 0.166804, 0.518874, 
-23.2441, 0.953443, 1.96266, 7.31708, 5.09881, 5.10714, 0.262673, 5.09046, 11.8191, 0.0333586, 0.166641, 0.531353, 
-22.408, 0.953167, 1.96191, 7.40433, 5.08577, 5.0945, 0.226401, 5.05297, 11.8941, 0.0335075, 0.166493, 0.543777, 
-21.5719, 0.952913, 1.96119, 7.48969, 5.07213, 5.08117, 0.194673, 5.01641, 11.9672, 0.0336438, 0.166356, 0.556148, 
-20.7358, 0.952679, 1.96052, 7.57323, 5.05797, 5.06726, 0.167008, 4.98074, 12.0385, 0.0337686, 0.166231, 0.568467, 
-19.8997, 0.952465, 1.95988, 7.655, 5.0434, 5.05288, 0.142956, 4.94592, 12.1082, 0.0338829, 0.166117, 0.580736, 
-19.0635, 0.952267, 1.95928, 7.73509, 5.02851, 5.0381, 0.122102, 4.91194, 12.1761, 0.0339878, 0.166012, 0.592956, 
-18.2274, 0.952085, 1.95871, 7.81353, 5.01336, 5.02301, 0.10407, 4.87876, 12.2425, 0.0340843, 0.165916, 0.605128, 
-17.3913, 0.951918, 1.95817, 7.89038, 4.99799, 5.0077, 0.0885215, 4.84635, 12.3073, 0.0341731, 0.165827, 0.617252, 
-16.5552, 0.951764, 1.95766, 7.9657, 4.9825, 4.99222, 0.0751499, 4.81469, 12.3706, 0.0342554, 0.165745, 0.629331, 
-15.7191, 0.951622, 1.95718, 8.03952, 4.96698, 4.97661, 0.0636774, 4.78376, 12.4325, 0.0343319, 0.165668, 0.641364, 
-14.8829, 0.951492, 1.95673, 8.11189, 4.95139, 4.96096, 0.0538528, 4.75353, 12.4929, 0.0344031, 0.165597, 0.653353, 
-14.0468, 0.951373, 1.95631, 8.18285, 4.93577, 4.94531, 0.0454608, 4.72399, 12.552, 0.0344698, 0.16553, 0.665297, 
-13.2107, 0.951263, 1.95591, 8.25244, 4.92028, 4.92966, 0.0383072, 4.69511, 12.6098, 0.0345331, 0.165467, 0.677199, 
-12.3746, 0.951161, 1.95553, 8.32069, 4.90484, 4.91408, 0.0322218, 4.66689, 12.6662, 0.0345924, 0.165408, 0.689057, 
-11.5385, 0.951068, 1.95518, 8.38764, 4.88946, 4.89861, 0.0270576, 4.63929, 12.7214, 0.0346491, 0.165351, 0.700873, 
-10.7023, 0.950982, 1.95484, 8.45332, 4.87428, 4.88324, 0.022683, 4.61231, 12.7754, 0.0347035, 0.165297, 0.712647, 
-9.86622, 0.950904, 1.95453, 8.51775, 4.85919, 4.86803, 0.0189848, 4.58593, 12.8281, 0.0347552, 0.165245, 0.724379, 
-9.0301, 0.950831, 1.95424, 8.58098, 4.84428, 4.85296, 0.0158689, 4.56014, 12.8797, 0.0348056, 0.165194, 0.73607, 
-8.19398, 0.950764, 1.95396, 8.64302, 4.82955, 4.83806, 0.0132416, 4.53492, 12.9302, 0.034854, 0.165146, 0.747719, 
-7.35786, 0.950703, 1.9537, 8.7039, 4.81503, 4.82335, 0.0110304, 4.51026, 12.9795, 0.0349015, 0.165099, 0.759328, 
-6.52174, 0.950647, 1.95346, 8.76365, 4.80065, 4.80884, 0.0091763, 4.48615, 13.0277, 0.0349479, 0.165052, 0.770896, 
-5.68562, 0.950595, 1.95323, 8.82228, 4.7865, 4.79453, 0.00762117, 4.46257, 13.0749, 0.0349925, 0.165008, 0.782424, 
-4.8495, 0.950547, 1.95302, 8.87984, 4.77258, 4.78042, 0.00632654, 4.43952, 13.121, 0.0350368, 0.164963, 0.793911, 
-4.01338, 0.950503, 1.95282, 8.93632, 4.75886, 4.76653, 0.00523814, 4.41698, 13.166, 0.0350808, 0.164919, 0.805358, 
-3.17726, 0.950463, 1.95263, 8.99176, 4.74535, 4.75285, 0.00433173, 4.39494, 13.2101, 0.0351237, 0.164876, 0.816765, 
-2.34114, 0.950426, 1.95245, 9.04618, 4.73206, 4.73939, 0.0035772, 4.37339, 13.2532, 0.0351661, 0.164834, 0.828132, 
-1.50502, 0.950392, 1.95229, 9.0996, 4.71899, 4.72615, 0.00294986, 4.35232, 13.2954, 0.035208, 0.164792, 0.839459, 
-0.668896, 0.95036, 1.95214, 9.15204, 4.70612, 4.71314, 0.00242953, 4.33173, 13.3365, 0.0352496, 0.16475, 0.850747, 
0.167224, 0.966908, 1.95213, 9.20304, 4.69381, 4.70038, 0.00199798, 4.31164, 13.3767, 0.0356651, 0.164335, 0.86199, 
