t, stateA_obs, stateB_obs, stateC_obs, stateD_obs, stateE_obs, stateF_obs, stateG_obs, stateH_obs, donor_obs, Pdonor_obs, Pparticle_obs, 
-50, 1, 2, 3, 4, 5, 6, 7, 8, 0.0333333, 1.25, 0.01, 
-49.1639, 1.22459, 2.00926, 3.92202, 5.15863, 4.92455, 4.14569, 6.50376, 8.99248, 0.195354, 1.08798, 0.101558, 
-49.097, 1.24176, 2.01075, 3.99695, 5.19036, 4.94002, 3.99262, 6.46849, 9.06301, 0.198079, 1.08525, 0.108688, 
-48.3278, 1.43117, 2.03505, 4.75327, 5.41494, 5.16059, 2.35001, 6.11047, 9.77907, 0.237363, 1.04597, 0.188234, 
-48.194, 1.46265, 2.04052, 4.86497, 5.43776, 5.19882, 2.10082, 6.05739, 9.88523, 0.245139, 1.03819, 0.201546, 
-47.4916, 1.62118, 2.07465, 5.36034, 5.50034, 5.36255, 1.05168, 5.8226, 10.3548, 0.286378, 0.996955, 0.268592, 
-47.291, 1.66447, 2.08594, 5.47606, 5.50349, 5.39476, 0.836169, 5.76832, 10.4634, 0.297499, 0.985834, 0.286858, 
-46.6555, 1.79595, 2.1257, 5.77953, 5.48777, 5.45372, 0.371549, 5.62881, 10.7424, 0.328389, 0.954944, 0.342201, 
-46.388, 1.84886, 2.1441, 5.88296, 5.47508, 5.46231, 0.255044, 5.58281, 10.8344, 0.339203, 0.94413, 0.364447, 
-45.8194, 1.9567, 2.18608, 6.06451, 5.44644, 5.46027, 0.10823, 5.50518, 10.9896, 0.358333, 0.925, 0.409866, 
-45.4849, 2.01733, 2.21244, 6.15081, 5.43106, 5.4516, 0.0633397, 5.47019, 11.0596, 0.367649, 0.915684, 0.435509, 
-44.9833, 2.10455, 2.25399, 6.25661, 5.41167, 5.4348, 0.0273339, 5.4298, 11.1404, 0.379734, 0.903599, 0.472615, 
