time, smooth1, smooth2
0, 0, 0
0.334448, 0, 0
0.668896, 0, 0
1.00334, 0, 0
1.33779, 0, 0
1.67224, 0, 0
2.00669, 0, 0
2.34114, 0, 0
2.67559, 0, 0
3.01003, 0, 0
3.34448, 0, 0
3.67893, 0, 0
4.01338, 0, 0
4.34783, 0, 0
4.68227, 0, 0
5.01672, 0, 0
5.35117, 0, 0
5.68562, 0, 0
6.02007, 0, 0
6.35452, 0, 0
6.68896, 0, 0
7.02341, 0, 0
7.35786, 0, 0
7.69231, 0, 0
8.02676, 0, 0
8.3612, 0, 0
8.69565, 0, 0
9.0301, 0, 0
9.36455, 0, 0
9.699, 0, 0
10.0334, 0, 0
10.3679, 0, 0
10.7023, 0, 0
11.0368, 0, 0
11.3712, 0, 0
11.7057, 0, 0
12.0401, 0, 0
12.3746, 0, 0
12.709, 0, 0
13.0435, 0, 0
13.3779, 0, 0
13.7124, 0, 0
14.0468, 0, 0
14.3813, 0, 0
14.7157, 0, 0
15.0502, 0, 0
15.3846, 0, 0
15.7191, 0, 0
16.0535, 0, 0
16.388, 0, 0
16.7224, 0, 0
17.0569, 0, 0
17.3913, 0, 0
17.7258, 0, 0
18.0602, 0, 0
18.3946, 0, 0
18.7291, 0, 0
19.0635, 0, 0
19.398, 0, 0
19.7324, 0, 0
20.0669, 0, 0
20.4013, 0, 0
20.7358, 0, 0
21.0702, 0, 0
21.4047, 0, 0
21.7391, 0, 0
22.0736, 0, 0
22.408, 0, 0
22.7425, 0, 0
23.0769, 0, 0
23.4114, 0, 0
23.7458, 0, 0
24.0803, 0, 0
24.4147, 0, 0
24.7492, 0, 0
25.0836, 0, 0
25.4181, 0, 0
25.7525, 0, 0
26.087, 0, 0
26.4214, 0, 0
26.7559, 0, 0
27.0903, 0, 0
27.4247, 0, 0
27.7592, 0, 0
28.0936, 0, 0
28.4281, 0, 0
28.7625, 0, 0
29.097, 0, 0
29.4314, 0, 0
29.7659, 0, 0
30.1003, 0, 0
30.4348, 0, 0
30.7692, 0, 0
31.1037, 0, 0
31.4381, 0, 0
31.7726, 0, 0
32.107, 0, 0
32.4415, 0, 0
32.7759, 0, 0
33.1104, 0, 0
33.4448, 0, 0
33.7793, 0, 0
34.1137, 0, 0
34.4482, 0, 0
34.7826, 0, 0
35.1171, 0, 0
35.4515, 0, 0
35.786, 0, 0
36.1204, 0, 0
36.4548, 0, 0
36.7893, 0, 0
37.1237, 0, 0
37.4582, 0, 0
37.7926, 0, 0
38.1271, 0, 0
38.4615, 0, 0
38.796, 0, 0
39.1304, 0, 0
39.4649, 0, 0
39.7993, 0, 0
40.1338, 0.000532118, 2.34645e-05
40.4682, 0.0063718, 0.00095578
40.8027, 0.0182943, 0.00456887
41.1371, 0.0358508, 0.0123097
41.4716, 0.0585923, 0.0252471
41.806, 0.0860698, 0.0441018
42.1405, 0.117835, 0.069277
42.4749, 0.153438, 0.100888
42.8094, 0.19243, 0.138792
43.1438, 0.234363, 0.18262
43.4783, 0.278787, 0.231804
43.8127, 0.325254, 0.28561
44.1472, 0.373314, 0.343166
44.4816, 0.422519, 0.403495
44.8161, 0.47242, 0.465541
45.1505, 0.522568, 0.528202
45.4849, 0.572514, 0.590359
45.8194, 0.621809, 0.650909
46.1538, 0.670005, 0.708788
46.4883, 0.716651, 0.76301
46.8227, 0.7613, 0.812692
47.1572, 0.803502, 0.857084
47.4916, 0.842808, 0.895601
47.8261, 0.87877, 0.927851
48.1605, 0.910939, 0.953669
48.495, 0.938866, 0.973143
48.8294, 0.962101, 0.986645
49.1639, 0.980196, 0.994863
49.4983, 0.992702, 0.998831
49.8328, 0.99917, 0.999954
50.1672, 1, 1
50.5017, 1, 1
50.8361, 1, 1
51.1706, 1, 1
51.505, 1, 1
51.8395, 1, 1
52.1739, 1, 1
52.5084, 1, 1
52.8428, 1, 1
53.1773, 1, 1
53.5117, 1, 1
53.8462, 1, 1
54.1806, 1, 1
54.5151, 1, 1
54.8495, 1, 1
55.1839, 1, 1
55.5184, 1, 1
55.8528, 1, 1
56.1873, 1, 1
56.5217, 1, 1
56.8562, 1, 1
57.1906, 1, 1
57.5251, 1, 1
57.8595, 1, 1
58.194, 1, 1
58.5284, 1, 1
58.8629, 1, 1
59.1973, 1, 1
59.5318, 1, 1
59.8662, 1, 1
60.2007, 1, 1
60.5351, 1, 1
60.8696, 1, 1
61.204, 1, 1
61.5385, 1, 1
61.8729, 1, 1
62.2074, 1, 1
62.5418, 1, 1
62.8763, 1, 1
63.2107, 1, 1
63.5452, 1, 1
63.8796, 1, 1
64.214, 1, 1
64.5485, 1, 1
64.8829, 1, 1
65.2174, 1, 1
65.5518, 1, 1
65.8863, 1, 1
66.2207, 1, 1
66.5552, 1, 1
66.8896, 1, 1
67.2241, 1, 1
67.5585, 1, 1
67.893, 1, 1
68.2274, 1, 1
68.5619, 1, 1
68.8963, 1, 1
69.2308, 1, 1
69.5652, 1, 1
69.8997, 1, 1
70.2341, 1, 1
70.5686, 1, 1
70.903, 1, 1
71.2375, 1, 1
71.5719, 1, 1
71.9064, 1, 1
72.2408, 1, 1
72.5753, 1, 1
72.9097, 1, 1
73.2441, 1, 1
73.5786, 1, 1
73.913, 1, 1
74.2475, 1, 1
74.5819, 1, 1
74.9164, 1, 1
75.2508, 1, 1
75.5853, 1, 1
75.9197, 1, 1
76.2542, 1, 1
76.5886, 1, 1
76.9231, 1, 1
77.2575, 1, 1
77.592, 1, 1
77.9264, 1, 1
78.2609, 1, 1
78.5953, 1, 1
78.9298, 1, 1
79.2642, 1, 1
79.5987, 1, 1
79.9331, 1, 1
80.2676, 1, 1
80.602, 1, 1
80.9365, 1, 1
81.2709, 1, 1
81.6054, 1, 1
81.9398, 1, 1
82.2742, 1, 1
82.6087, 1, 1
82.9431, 1, 1
83.2776, 1, 1
83.612, 1, 1
83.9465, 1, 1
84.2809, 1, 1
84.6154, 1, 1
84.9498, 1, 1
85.2843, 1, 1
85.6187, 1, 1
85.9532, 1, 1
86.2876, 1, 1
86.6221, 1, 1
86.9565, 1, 1
87.291, 1, 1
87.6254, 1, 1
87.9599, 1, 1
88.2943, 1, 1
88.6288, 1, 1
88.9632, 1, 1
89.2977, 1, 1
89.6321, 1, 1
89.9666, 1, 1
90.301, 1, 1
90.6355, 1, 1
90.9699, 1, 1
91.3043, 1, 1
91.6388, 1, 1
91.9732, 1, 1
92.3077, 1, 1
92.6421, 1, 1
92.9766, 1, 1
93.311, 1, 1
93.6455, 1, 1
93.9799, 1, 1
94.3144, 1, 1
94.6488, 1, 1
94.9833, 1, 1
95.3177, 1, 1
95.6522, 1, 1
95.9866, 1, 1
96.3211, 1, 1
96.6555, 1, 1
96.99, 1, 1
97.3244, 1, 1
97.6589, 1, 1
97.9933, 1, 1
98.3278, 1, 1
98.6622, 1, 1
98.9967, 1, 1
99.3311, 1, 1
99.6656, 1, 1
100, 1, 1
