time, B_obs, C_obs, D_obs
-50, 4.642235e-02, -2.252356e-05, 2.383310e-06
-4.832776e+01, 5.254388e-02, 4.109970e-05, -2.198209e-05
-4.665552e+01, 4.887852e-02, -7.714171e-06, 1.448176e-05
-4.498328e+01, 4.522373e-02, 2.596874e-07, 7.768257e-07
-4.331104e+01, 3.925943e-02, 1.771812e-05, -1.191407e-05
-4.163880e+01, 4.762057e-02, -2.271113e-05, -3.555614e-05
-3.996656e+01, 4.857370e-02, 2.523047e-05, -2.753001e-05
-3.829431e+01, 4.800362e-02, -2.438829e-05, 2.605837e-05
-3.662207e+01, 4.783351e-02, -1.492852e-05, -2.201986e-05
-3.494983e+01, 4.580479e-02, 1.081683e-05, 9.281396e-06
-3.327759e+01, 5.245315e-02, 7.955167e-05, -8.749991e-06
-3.160535e+01, 5.386772e-02, 2.038053e-06, 4.273285e-06
-2.993311e+01, 5.471209e-02, -4.102204e-05, 1.362859e-05
-2.826087e+01, 4.743083e-02, 5.417500e-05, 7.517240e-06
-2.658863e+01, 4.333072e-02, -4.944637e-06, 1.396204e-05
-2.491639e+01, 6.107823e-02, 3.499193e-05, 4.390006e-06
-2.324415e+01, 4.620275e-02, -1.704242e-05, -5.481642e-06
-2.157191e+01, 4.406723e-02, -1.545236e-05, 2.528688e-05
-1.989967e+01, 4.126251e-02, -4.484773e-05, 1.405864e-05
-1.822742e+01, 4.659344e-02, 3.475114e-05, -1.564278e-05
-1.655518e+01, 4.810781e-02, 1.985647e-05, -1.409809e-05
-1.488294e+01, 4.432934e-02, -4.848794e-05, 9.520288e-06
-1.321070e+01, 4.686426e-02, -2.884294e-05, 4.600180e-06
-1.153846e+01, 3.727711e-02, 2.210944e-05, 3.216503e-06
-9.866221e+00, 4.209915e-02, -3.796401e-05, 2.850385e-06
-8.193980e+00, 3.814151e-02, 2.797635e-05, -7.691944e-06
-6.521739e+00, 4.790883e-02, -7.356458e-05, 3.866723e-06
-4.849498e+00, 5.523186e-02, 3.585458e-05, 2.471852e-05
-3.177258e+00, 4.284582e-02, -2.094294e-05, -2.079891e-06
-1.505017e+00, 4.011630e-02, -1.784321e-05, -1.512294e-05
1.672241e-01, 3.895255e-02, 4.566926e-05, -2.896159e-05
1.839465e+00, 6.633813e-02, -3.450204e-05, 9.131376e-06
3.511706e+00, 9.346463e-02, -4.855895e-05, 1.210583e-06
5.183946e+00, 1.306791e-01, 6.693042e-05, 3.886198e-06
6.856187e+00, 1.802672e-01, -3.731693e-05, 5.362677e-07
8.528428e+00, 1.997782e-01, 2.689524e-05, -1.631342e-05
1.020067e+01, 2.637043e-01, 3.507987e-05, 1.480388e-05
1.187291e+01, 2.759316e-01, 4.980352e-05, 2.830331e-05
1.354515e+01, 3.310191e-01, 1.435087e-04, 1.529039e-05
1.521739e+01, 3.522002e-01, 3.075238e-04, 4.109575e-05
1.688963e+01, 3.663596e-01, 7.455460e-04, 9.039027e-05
1.856187e+01, 3.873682e-01, 1.219517e-03, 1.840720e-04
2.023411e+01, 3.906294e-01, 1.601690e-03, 2.847087e-04
2.190635e+01, 3.753366e-01, 1.671599e-03, 3.785215e-04
2.357860e+01, 3.764174e-01, 1.685745e-03, 4.632869e-04
2.525084e+01, 3.757598e-01, 1.528269e-03, 4.793279e-04
2.692308e+01, 3.664854e-01, 1.435847e-03, 4.740760e-04
2.859532e+01, 3.682461e-01, 1.288399e-03, 4.310821e-04
3.026756e+01, 3.515303e-01, 1.160473e-03, 4.307084e-04
3.193980e+01, 3.536709e-01, 1.250052e-03, 4.029177e-04
3.361204e+01, 3.526247e-01, 1.261392e-03, 3.877152e-04
3.528428e+01, 3.797288e-01, 1.390779e-03, 3.853847e-04
3.695652e+01, 3.670107e-01, 1.381618e-03, 4.289046e-04
3.862876e+01, 3.664941e-01, 1.539362e-03, 4.488214e-04
4.030100e+01, 3.627029e-01, 1.572711e-03, 4.775880e-04
4.197324e+01, 3.687012e-01, 1.591013e-03, 4.884333e-04
4.364548e+01, 3.643722e-01, 1.571938e-03, 5.097203e-04
4.531773e+01, 3.693582e-01, 1.513120e-03, 4.838472e-04
4.698997e+01, 3.583908e-01, 1.426205e-03, 4.762599e-04
4.866221e+01, 3.651153e-01, 1.523869e-03, 4.733163e-04
5.033445e+01, 3.699654e-01, 1.480333e-03, 4.848510e-04
5.200669e+01, 3.833710e-01, 1.489031e-03, 4.603046e-04
5.367893e+01, 3.809696e-01, 1.550425e-03, 4.670489e-04
5.535117e+01, 3.684658e-01, 1.511424e-03, 4.740662e-04
5.702341e+01, 3.842180e-01, 1.541706e-03, 4.758705e-04
5.869565e+01, 3.791875e-01, 1.617825e-03, 4.809694e-04
6.036789e+01, 3.632722e-01, 1.605232e-03, 4.770168e-04
6.204013e+01, 3.648435e-01, 1.470537e-03, 4.763845e-04
6.371237e+01, 3.671893e-01, 1.616085e-03, 4.800734e-04
6.538462e+01, 3.814599e-01, 1.528350e-03, 4.826137e-04
6.705686e+01, 3.673316e-01, 1.486808e-03, 4.864479e-04
6.872910e+01, 3.806560e-01, 1.498667e-03, 4.625463e-04
7.040134e+01, 3.692864e-01, 1.491820e-03, 4.984968e-04
7.207358e+01, 3.877211e-01, 1.494623e-03, 4.764298e-04
7.374582e+01, 3.841357e-01, 1.572904e-03, 4.783746e-04
7.541806e+01, 3.545367e-01, 1.612847e-03, 4.971631e-04
7.709030e+01, 3.776400e-01, 1.588090e-03, 4.790767e-04
7.876254e+01, 3.659248e-01, 1.557777e-03, 4.907744e-04
8.043478e+01, 3.564900e-01, 1.566165e-03, 4.762494e-04
8.210702e+01, 3.641871e-01, 1.488493e-03, 4.639889e-04
8.377926e+01, 3.801198e-01, 1.594489e-03, 4.847958e-04
8.545151e+01, 3.659899e-01, 1.595608e-03, 4.783816e-04
8.712375e+01, 3.813532e-01, 1.464037e-03, 4.936281e-04
8.879599e+01, 3.727665e-01, 1.491632e-03, 4.642249e-04
9.046823e+01, 3.748280e-01, 1.594178e-03, 4.935109e-04
9.214047e+01, 3.590874e-01, 1.521824e-03, 4.762027e-04
9.381271e+01, 3.617417e-01, 1.514666e-03, 4.909297e-04
9.548495e+01, 3.678813e-01, 1.428696e-03, 4.904493e-04
9.715719e+01, 3.679485e-01, 1.527965e-03, 4.860596e-04
9.882943e+01, 3.684701e-01, 1.505618e-03, 4.835728e-04
1.005017e+02, 3.794493e-01, 1.503851e-03, 4.731440e-04
1.021739e+02, 3.637720e-01, 1.459674e-03, 4.915877e-04
1.038462e+02, 3.755011e-01, 1.548877e-03, 4.859177e-04
1.055184e+02, 3.608119e-01, 1.650868e-03, 4.997994e-04
1.071906e+02, 3.609431e-01, 1.502287e-03, 4.774081e-04
1.088629e+02, 3.719378e-01, 1.523835e-03, 4.952053e-04
1.105351e+02, 3.864717e-01, 1.545009e-03, 5.097055e-04
1.122074e+02, 3.776339e-01, 1.495935e-03, 4.778611e-04
1.138796e+02, 3.525396e-01, 1.552191e-03, 4.772000e-04
1.155518e+02, 3.645060e-01, 1.528441e-03, 4.818638e-04
1.172241e+02, 3.635499e-01, 1.501534e-03, 4.816617e-04
