time, B_obs, C_obs, D_obs
-50, 3.575185e-01, 1.163006e-03, 3.285036e-04
-4.832776e+01, 3.563266e-01, 9.376014e-04, 3.582342e-04
-4.665552e+01, 3.548822e-01, 1.297450e-03, 3.157631e-04
-4.498328e+01, 3.565598e-01, 1.046115e-03, 3.387125e-04
-4.331104e+01, 3.585479e-01, 1.002615e-03, 3.229269e-04
-4.163880e+01, 3.575318e-01, 1.257010e-03, 3.108455e-04
-3.996656e+01, 3.562167e-01, 1.132880e-03, 3.079982e-04
-3.829431e+01, 3.582211e-01, 9.887049e-04, 3.347701e-04
-3.662207e+01, 3.575936e-01, 1.152341e-03, 3.470170e-04
-3.494983e+01, 3.584556e-01, 1.022785e-03, 2.921168e-04
-3.327759e+01, 3.579825e-01, 1.126353e-03, 3.136464e-04
-3.160535e+01, 3.566666e-01, 1.159376e-03, 3.519740e-04
-2.993311e+01, 3.573191e-01, 1.056537e-03, 3.151690e-04
-2.826087e+01, 3.580414e-01, 1.055098e-03, 3.479175e-04
-2.658863e+01, 3.564739e-01, 1.129049e-03, 3.575221e-04
-2.491639e+01, 3.554469e-01, 1.044354e-03, 3.054720e-04
-2.324415e+01, 3.581843e-01, 1.150671e-03, 3.528945e-04
-2.157191e+01, 3.559180e-01, 9.561030e-04, 3.309512e-04
-1.989967e+01, 3.560820e-01, 1.037051e-03, 3.442838e-04
-1.822742e+01, 3.574245e-01, 1.128321e-03, 3.040424e-04
-1.655518e+01, 3.534695e-01, 1.133132e-03, 3.431447e-04
-1.488294e+01, 3.587604e-01, 9.764614e-04, 3.200353e-04
-1.321070e+01, 3.565822e-01, 1.025114e-03, 3.419883e-04
-1.153846e+01, 3.578877e-01, 1.083968e-03, 3.126501e-04
-9.866221e+00, 3.561705e-01, 1.090100e-03, 2.935729e-04
-8.193980e+00, 3.548251e-01, 1.145837e-03, 3.272383e-04
-6.521739e+00, 3.571761e-01, 1.133186e-03, 3.122466e-04
-4.849498e+00, 3.557372e-01, 9.202186e-04, 3.439964e-04
-3.177258e+00, 3.545595e-01, 1.011048e-03, 3.213563e-04
-1.505017e+00, 3.563700e-01, 1.054241e-03, 3.588783e-04
1.672241e-01, 3.597363e-01, 1.011135e-03, 3.403718e-04
1.839465e+00, 3.656515e-01, 1.018988e-03, 3.242284e-04
3.511706e+00, 3.870544e-01, 1.397469e-03, 3.672686e-04
5.183946e+00, 4.091203e-01, 2.135916e-03, 4.611272e-04
6.856187e+00, 4.242700e-01, 3.339105e-03, 6.646539e-04
8.528428e+00, 4.235850e-01, 4.411423e-03, 9.087174e-04
1.020067e+01, 4.110233e-01, 4.782582e-03, 1.056455e-03
1.187291e+01, 3.967021e-01, 4.248880e-03, 1.278755e-03
1.354515e+01, 3.881749e-01, 3.815244e-03, 1.276702e-03
1.521739e+01, 3.920609e-01, 3.223034e-03, 1.188551e-03
1.688963e+01, 3.931815e-01, 3.042407e-03, 1.079194e-03
1.856187e+01, 4.039575e-01, 3.264437e-03, 1.035943e-03
2.023411e+01, 4.149447e-01, 3.590527e-03, 1.050480e-03
2.190635e+01, 4.214410e-01, 4.498819e-03, 1.167309e-03
2.357860e+01, 4.210052e-01, 4.883427e-03, 1.280968e-03
2.525084e+01, 4.125801e-01, 4.895011e-03, 1.378922e-03
2.692308e+01, 4.069026e-01, 4.628212e-03, 1.443225e-03
2.859532e+01, 4.011374e-01, 4.234512e-03, 1.402214e-03
3.026756e+01, 3.989439e-01, 3.833948e-03, 1.347214e-03
3.193980e+01, 4.009964e-01, 3.626834e-03, 1.238132e-03
3.361204e+01, 4.100643e-01, 3.893901e-03, 1.240749e-03
3.528428e+01, 4.156381e-01, 4.000733e-03, 1.221041e-03
3.695652e+01, 4.192524e-01, 4.516855e-03, 1.345074e-03
3.862876e+01, 4.158183e-01, 4.639733e-03, 1.402162e-03
4.030100e+01, 4.140147e-01, 4.807571e-03, 1.446197e-03
4.197324e+01, 4.104315e-01, 4.589627e-03, 1.428832e-03
4.364548e+01, 4.054872e-01, 4.280406e-03, 1.421115e-03
4.531773e+01, 4.070519e-01, 4.136998e-03, 1.367865e-03
4.698997e+01, 4.073245e-01, 3.870530e-03, 1.361534e-03
4.866221e+01, 4.132482e-01, 3.880880e-03, 1.344284e-03
5.033445e+01, 4.117364e-01, 4.376573e-03, 1.325395e-03
5.200669e+01, 4.162314e-01, 4.802806e-03, 1.362774e-03
5.367893e+01, 4.142759e-01, 4.587218e-03, 1.432732e-03
5.535117e+01, 4.129998e-01, 4.664746e-03, 1.425681e-03
5.702341e+01, 4.072758e-01, 4.556162e-03, 1.400671e-03
5.869565e+01, 4.053356e-01, 4.396217e-03, 1.404699e-03
6.036789e+01, 4.065119e-01, 4.098824e-03, 1.387995e-03
6.204013e+01, 4.067842e-01, 4.070249e-03, 1.299195e-03
6.371237e+01, 4.110064e-01, 4.202162e-03, 1.329750e-03
6.538462e+01, 4.122497e-01, 4.230733e-03, 1.353308e-03
6.705686e+01, 4.144775e-01, 4.519856e-03, 1.356772e-03
6.872910e+01, 4.123271e-01, 4.649658e-03, 1.377705e-03
7.040134e+01, 4.102877e-01, 4.677522e-03, 1.396729e-03
7.207358e+01, 4.094397e-01, 4.338613e-03, 1.443549e-03
7.374582e+01, 4.092022e-01, 4.467563e-03, 1.415274e-03
7.541806e+01, 4.106274e-01, 4.172800e-03, 1.376183e-03
7.709030e+01, 4.093856e-01, 4.117883e-03, 1.338623e-03
7.876254e+01, 4.104520e-01, 4.298319e-03, 1.424303e-03
8.043478e+01, 4.128747e-01, 4.290426e-03, 1.327873e-03
8.210702e+01, 4.123333e-01, 4.345492e-03, 1.381935e-03
8.377926e+01, 4.101569e-01, 4.502202e-03, 1.389896e-03
8.545151e+01, 4.103168e-01, 4.389418e-03, 1.387493e-03
8.712375e+01, 4.113628e-01, 4.408589e-03, 1.412107e-03
8.879599e+01, 4.060064e-01, 4.350961e-03, 1.348626e-03
9.046823e+01, 4.098854e-01, 4.263275e-03, 1.375726e-03
9.214047e+01, 4.119325e-01, 4.272749e-03, 1.356093e-03
9.381271e+01, 4.124122e-01, 4.314091e-03, 1.370023e-03
9.548495e+01, 4.125815e-01, 4.309320e-03, 1.395335e-03
9.715719e+01, 4.133333e-01, 4.532802e-03, 1.399603e-03
9.882943e+01, 4.109711e-01, 4.365064e-03, 1.364519e-03
1.005017e+02, 4.107620e-01, 4.543022e-03, 1.418378e-03
1.021739e+02, 4.109648e-01, 4.354563e-03, 1.350044e-03
1.038462e+02, 4.094226e-01, 4.284480e-03, 1.374600e-03
1.055184e+02, 4.119899e-01, 4.357725e-03, 1.386678e-03
1.071906e+02, 4.096708e-01, 3.992244e-03, 1.324905e-03
1.088629e+02, 4.107264e-01, 4.241505e-03, 1.312381e-03
1.105351e+02, 4.130842e-01, 4.505045e-03, 1.316147e-03
1.122074e+02, 4.140673e-01, 4.423269e-03, 1.335494e-03
1.138796e+02, 4.112979e-01, 4.455194e-03, 1.367053e-03
1.155518e+02, 4.130871e-01, 4.281231e-03, 1.432850e-03
1.172241e+02, 4.090877e-01, 4.322011e-03, 1.389582e-03
1.188963e+02, 4.098838e-01, 4.299502e-03, 1.359592e-03
