time,IL6,BMP2,DCF,rep,HAMP_FC_to_0min
0,Ctrl,Ctrl,Ctrl,1,0.974994051
0,Ctrl,Ctrl,Ctrl,2,1.022848221
0,Ctrl,Ctrl,Ctrl,3,1.002157728
0,Ctrl,Ctrl,DCF,1,1.078521283
0,Ctrl,Ctrl,DCF,2,0.996935172
0,Ctrl,Ctrl,DCF,3,0.947032659
120,Ctrl,Ctrl,Ctrl,1,0.542993344
120,Ctrl,Ctrl,Ctrl,2,0.549477502
120,Ctrl,Ctrl,Ctrl,3,0.562495561
120,IL6,Ctrl,Ctrl,1,3.597994782
120,IL6,Ctrl,Ctrl,2,3.822833876
120,IL6,Ctrl,Ctrl,3,3.820589524
120,Ctrl,BMP2,Ctrl,1,3.735806213
120,Ctrl,BMP2,Ctrl,2,4.42544834
120,Ctrl,BMP2,Ctrl,3,5.523334678
120,IL6,BMP2,Ctrl,1,10.04526492
120,IL6,BMP2,Ctrl,2,9.557732507
120,IL6,BMP2,Ctrl,3,10.92290698
120,IL6,Ctrl,DCF,1,2.423596313
120,IL6,Ctrl,DCF,2,2.436104949
120,IL6,Ctrl,DCF,3,2.552313476
120,IL6,BMP2,DCF,1,2.684617158
120,IL6,BMP2,DCF,2,2.90121803
120,IL6,BMP2,DCF,3,3.143906578
240,Ctrl,Ctrl,Ctrl,1,0.391490449
240,Ctrl,Ctrl,Ctrl,2,0.381877612
240,Ctrl,Ctrl,Ctrl,3,0.410667681
240,IL6,Ctrl,Ctrl,1,14.02375992
240,IL6,Ctrl,Ctrl,2,13.73523511
240,IL6,Ctrl,Ctrl,3,14.45505145
240,Ctrl,BMP2,Ctrl,1,14.16375937
240,Ctrl,BMP2,Ctrl,2,14.14022847
240,Ctrl,BMP2,Ctrl,3,14.10282553
240,IL6,BMP2,Ctrl,1,51.68570914
240,IL6,BMP2,Ctrl,2,57.19849265
240,IL6,BMP2,Ctrl,3,61.24779524
240,IL6,Ctrl,DCF,1,3.383717658
240,IL6,Ctrl,DCF,2,3.163807469
240,IL6,Ctrl,DCF,3,3.245136807
240,IL6,BMP2,DCF,1,5.012690447
240,IL6,BMP2,DCF,2,6.006726721
240,IL6,BMP2,DCF,3,3.969293574
0,IL6,Ctrl,Ctrl,1,0.974994051
0,IL6,Ctrl,Ctrl,2,1.022848221
0,IL6,Ctrl,Ctrl,3,1.002157728
0,Ctrl,BMP2,Ctrl,1,0.974994051
0,Ctrl,BMP2,Ctrl,2,1.022848221
0,Ctrl,BMP2,Ctrl,3,1.002157728
0,IL6,BMP2,Ctrl,1,0.974994051
0,IL6,BMP2,Ctrl,2,1.022848221
0,IL6,BMP2,Ctrl,3,1.002157728
0,IL6,Ctrl,DCF,1,1.078521283
0,IL6,Ctrl,DCF,2,0.996935172
0,IL6,Ctrl,DCF,3,0.947032659
0,IL6,BMP2,DCF,1,1.078521283
0,IL6,BMP2,DCF,2,0.996935172
0,IL6,BMP2,DCF,3,0.947032659
