time,input_il6,input_dcf,input_apap,SOCS3_WB,cSOCS3_wb,experiment,,,
0,0,0,0,274071.53,0.27407153,Anja_2019_03,,,
20,10,0,0,1762662.47,1.76266247,Anja_2019_03,,,
40,10,0,0,18709733.26,18.70973326,Anja_2019_03,,SOCS3 IP,HepG2
60,10,0,0,31446253.6,31.4462536,Anja_2019_03,,,
90,10,0,0,20465168.36,20.46516836,Anja_2019_03,,input_il6,10 ng/mL
120,10,0,0,11981801.7,11.9818017,Anja_2019_03,,input_dcf,500 µM
20,10,500,0,918549.19,0.91854919,Anja_2019_03,,input_apap,10 mM
40,10,500,0,6727664.47,6.72766447,Anja_2019_03,,,
60,10,500,0,5307621.86,5.30762186,Anja_2019_03,,,
90,10,500,0,30067738.08,30.06773808,Anja_2019_03,,,
120,10,500,0,29844590.01,29.84459001,Anja_2019_03,,,
20,10,0,10,403867.69,0.40386769,Anja_2019_03,,,
40,10,0,10,416615.83,0.41661583,Anja_2019_03,,,
60,10,0,10,18848672.68,18.84867268,Anja_2019_03,,,
90,10,0,10,29028579.68,29.02857968,Anja_2019_03,,,
120,10,0,10,18572605.89,18.57260589,Anja_2019_03,,,
