time,nExpID,HAMP_qpcr_scaled,SOCS3_qpcr_scaled,input_apap,input_bmp2,input_il6,input_noggin,ID1_qpcr_scaled,ID3_qpcr_scaled,SMAD6_qpcr_scaled,Experiment
0,0,6.728562e-02,6.570485e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
0,0,6.523322e-02,7.549834e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
30,0,1.296801e-01,1.174218e+00,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
30,0,1.320290e-01,1.124207e+00,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
60,0,4.267043e-01,2.247180e+00,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
60,0,4.153885e-01,2.262269e+00,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
70,0,4.065596e-01,1.311482e+00,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
70,0,4.046845e-01,1.351178e+00,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
80,0,6.149281e-01,5.958236e-01,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
80,0,5.952486e-01,5.910819e-01,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
90,0,3.795031e-01,2.788820e-01,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
90,0,3.531133e-01,2.808856e-01,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
120,0,3.949326e-01,9.309645e-01,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
120,0,3.770143e-01,9.808501e-01,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
240,0,2.062167e-01,1.709183e-01,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
240,0,1.884770e-01,1.724501e-01,0,0,10,0,NaN,NaN,NaN,Anja_2017_27
30,0,4.811295e-02,6.505881e-03,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
30,0,4.714286e-02,1.054422e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
60,0,6.524413e-02,1.088536e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
60,0,5.567306e-02,2.055092e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
70,0,7.679796e-02,1.053739e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
70,0,7.218620e-02,1.055496e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
80,0,7.388958e-02,1.847239e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
80,0,7.493577e-02,2.117451e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
90,0,9.873413e-02,1.490567e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
90,0,1.045752e-01,2.196078e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
120,0,6.358243e-02,2.115453e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
120,0,6.607041e-02,1.912896e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
240,0,1.874776e-01,6.351034e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
240,0,1.850661e-01,4.417316e-02,10,0,0,0,NaN,NaN,NaN,Anja_2017_27
30,0,5.945735e-02,8.821359e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
30,0,5.796238e-02,9.855065e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
60,0,5.335474e-02,7.118021e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
60,0,5.761434e-02,1.140555e-02,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
70,0,7.171208e-02,5.460644e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
70,0,6.668934e-02,5.933144e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
80,0,7.089176e-02,7.215768e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
80,0,6.528088e-02,7.260766e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
90,0,6.158428e-02,9.079733e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
90,0,5.668090e-02,1.132262e-02,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
120,0,7.310345e-02,9.655172e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
120,0,6.797334e-02,5.871971e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
240,0,3.732766e-02,4.921453e-03,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
240,0,3.984934e-02,2.083034e-02,0,0,0,0,NaN,NaN,NaN,Anja_2017_27
30,0,5.128240e-02,1.648363e-01,10,0,10,0,NaN,NaN,NaN,Anja_2017_27
30,0,5.308587e-02,1.583654e-01,10,0,10,0,NaN,NaN,NaN,Anja_2017_27
60,0,4.339008e-01,3.261036e+00,10,0,10,0,NaN,NaN,NaN,Anja_2017_27
