time,nExpID,input_bmp2,input_dcf,input_dorso,input_il6,input_noggin,HAMP_qpcr_scaled,SOCS3_qpcr_scaled,ID1_qpcr_scaled,ID3_qpcr_scaled,SMAD6_qpcr_scaled,Experiment
0,1,0,0,0,10,0,7.276995e-02,NaN,NaN,NaN,NaN,Anja_2016_20
0,1,0,0,0,10,0,6.437500e-02,NaN,NaN,NaN,NaN,Anja_2016_20
0,1,0,0,0,10,0,7.209302e-02,NaN,NaN,NaN,NaN,Anja_2016_20
30,1,0,0,0,10,0,2.415254e-01,NaN,NaN,NaN,NaN,Anja_2016_20
30,1,0,0,0,10,0,1.554286e-01,NaN,NaN,NaN,NaN,Anja_2016_20
30,1,0,0,0,10,0,1.253846e-01,NaN,NaN,NaN,NaN,Anja_2016_20
90,1,0,0,0,10,0,1.000000e-01,NaN,NaN,NaN,NaN,Anja_2016_20
90,1,0,0,0,10,0,3.918129e-01,NaN,NaN,NaN,NaN,Anja_2016_20
90,1,0,0,0,10,0,4.965812e-01,NaN,NaN,NaN,NaN,Anja_2016_20
60,1,0,0,0,10,0,1.016878e-01,NaN,NaN,NaN,NaN,Anja_2016_20
60,1,0,0,0,10,0,1.331210e-01,NaN,NaN,NaN,NaN,Anja_2016_20
60,1,0,0,0,10,0,1.080460e-01,NaN,NaN,NaN,NaN,Anja_2016_20
120,1,0,0,0,10,0,2.362500e-01,NaN,NaN,NaN,NaN,Anja_2016_20
120,1,0,0,0,10,0,6.971831e-01,NaN,NaN,NaN,NaN,Anja_2016_20
120,1,0,0,0,10,0,3.843373e-01,NaN,NaN,NaN,NaN,Anja_2016_20
240,1,0,0,0,10,0,2.374150e-01,NaN,NaN,NaN,NaN,Anja_2016_20
240,1,0,0,0,10,0,3.897810e-01,NaN,NaN,NaN,NaN,Anja_2016_20
240,1,0,0,0,10,0,6.370262e-01,NaN,NaN,NaN,NaN,Anja_2016_20
360,1,0,0,0,10,0,3.559322e-01,NaN,NaN,NaN,NaN,Anja_2016_20
360,1,0,0,0,10,0,1.543210e-01,NaN,NaN,NaN,NaN,Anja_2016_20
360,1,0,0,0,10,0,6.675095e-01,NaN,NaN,NaN,NaN,Anja_2016_20
0,2,0,500,0,0,0,2.550877e-01,NaN,NaN,NaN,NaN,Anja_2016_20
0,2,0,500,0,0,0,2.787724e-01,NaN,NaN,NaN,NaN,Anja_2016_20
0,2,0,500,0,0,0,9.846154e-02,NaN,NaN,NaN,NaN,Anja_2016_20
0,2,0,500,0,0,0,2.613909e-01,NaN,NaN,NaN,NaN,Anja_2016_20
0,2,0,500,0,0,0,1.649446e-02,NaN,NaN,NaN,NaN,Anja_2016_20
0,2,0,500,0,0,0,1.171429e-01,NaN,NaN,NaN,NaN,Anja_2016_20
120,2,0,500,0,0,0,9.629630e-01,NaN,NaN,NaN,NaN,Anja_2016_20
120,2,0,500,0,0,0,7.057927e-01,NaN,NaN,NaN,NaN,Anja_2016_20
120,2,0,500,0,0,0,4.351536e-01,NaN,NaN,NaN,NaN,Anja_2016_20
180,2,0,500,0,0,0,7.446394e-01,NaN,NaN,NaN,NaN,Anja_2016_20
180,2,0,500,0,0,0,8.561279e-01,NaN,NaN,NaN,NaN,Anja_2016_20
180,2,0,500,0,0,0,5.769944e-01,NaN,NaN,NaN,NaN,Anja_2016_20
210,2,0,500,0,0,0,1.440994e+00,NaN,NaN,NaN,NaN,Anja_2016_20
210,2,0,500,0,0,0,1.171091e+00,NaN,NaN,NaN,NaN,Anja_2016_20
