time,nExpID,SOCS3_noHK_qpcr_scaled,input_ActD,input_apap,input_dcf,input_il6,HAMP_noHK_qpcr_scaled,TFRC_qpcr_scaled,gp130_qpcr_scaled,STAT3_qpcr_scaled,Experiment
40,1,1750,0,0,0,10,1240,NaN,NaN,1660,Anja_2016_35
40,2,1550,0,0,0,10,1170,NaN,NaN,1570,Anja_2016_35
40,1,588,0,0,500,10,1660,NaN,NaN,1570,Anja_2016_35
40,2,755,0,0,500,10,1710,NaN,NaN,1650,Anja_2016_35
45,1,1520,0,0,0,10,1170,NaN,NaN,1050,Anja_2016_35
45,2,1440,0,0,0,10,1180,NaN,NaN,985,Anja_2016_35
50,1,2980,0,0,0,10,1580,NaN,NaN,1800,Anja_2016_35
50,2,2500,0,0,0,10,1480,NaN,NaN,1640,Anja_2016_35
60,1,1300,0,0,0,10,1220,NaN,NaN,1590,Anja_2016_35
60,2,1220,0,0,0,10,1190,NaN,NaN,1630,Anja_2016_35
70,1,1050,0,0,0,10,1350,NaN,NaN,1370,Anja_2016_35
70,2,860,0,0,0,10,1210,NaN,NaN,1200,Anja_2016_35
90,1,274,0,0,0,10,1610,NaN,NaN,1910,Anja_2016_35
90,2,244,0,0,0,10,1580,NaN,NaN,1780,Anja_2016_35
120,1,48.7,0,0,0,10,1460,NaN,NaN,1340,Anja_2016_35
120,2,49.1,0,0,0,10,1230,NaN,NaN,1310,Anja_2016_35
150,1,23,0,0,0,10,933,NaN,NaN,916,Anja_2016_35
150,2,9.13,0,0,0,10,826,NaN,NaN,853,Anja_2016_35
45,1,1410,0,0,500,10,3260,NaN,NaN,1640,Anja_2016_35
45,2,1220,0,0,500,10,3200,NaN,NaN,1540,Anja_2016_35
50,1,1230,0,0,500,10,2770,NaN,NaN,1360,Anja_2016_35
50,2,1270,0,0,500,10,2740,NaN,NaN,1350,Anja_2016_35
60,1,1410,0,0,500,10,2960,NaN,NaN,863,Anja_2016_35
60,2,1500,0,0,500,10,2960,NaN,NaN,863,Anja_2016_35
70,1,2590,0,0,500,10,6370,NaN,NaN,2160,Anja_2016_35
70,2,2170,0,0,500,10,5840,NaN,NaN,1920,Anja_2016_35
90,1,958,0,0,500,10,5790,NaN,NaN,1940,Anja_2016_35
90,2,1080,0,0,500,10,5840,NaN,NaN,1890,Anja_2016_35
