time,input_bmp2,nExpID,input_apap,input_dcf,pSMAD_DR_wb_scaled,experiment
120,2.5,1,0,0,7.818416,Anja_2017_11
120,5,1,0,0,11.89644,Anja_2017_11
120,10,1,0,0,17.36254,Anja_2017_11
120,25,1,0,0,45.59313,Anja_2017_11
120,50,1,0,0,51.96572,Anja_2017_11
120,0,3,0,0,5.581208,Anja_2017_11
120,0,3,0,25,5.982924,Anja_2017_11
120,0,3,0,50,8.269827,Anja_2017_11
120,0,3,0,250,9.712916,Anja_2017_11
120,0,3,0,500,17.27144,Anja_2017_11
120,0,3,0,1000,29.76878,Anja_2017_11
60,0,5,0,0,21.7343,NaN
60,0,5,1,0,21.47957,NaN
60,0,5,5,0,31.57187,NaN
60,0,5,10,0,35.89304,NaN
60,0,5,20,0,46.88803,NaN
60,0,5,50,0,39.00143,NaN
60,0,5,0,0,21.7343,NaN
60,2.5,5,0,0,31.39522,NaN
60,5,5,0,0,32.64091,NaN
60,10,5,0,0,36.41856,NaN
60,25,5,0,0,31.31115,NaN
60,50,5,0,0,34.56164,NaN
60,0,6,0,0,15.63302,NaN
60,0,6,1,0,15.52804,NaN
60,0,6,10,0,24.61141,NaN
60,0,6,20,0,26.83514,NaN
60,0,6,50,0,18.34587,NaN
60,0,6,0,0,15.63302,NaN
60,2.5,6,0,0,18.69972,NaN
60,5,6,0,0,23.94117,NaN
60,10,6,0,0,26.00257,NaN
60,25,6,0,0,32.97349,NaN
60,50,6,0,0,45.44995,NaN
60,0,7,0,0,9.202407,NaN
60,0,7,1,0,12.25802,NaN
60,0,7,5,0,12.19962,NaN
60,0,7,10,0,18.56873,NaN
60,0,7,20,0,19.21171,NaN
60,0,7,50,0,12.61335,NaN
60,0,7,0,0,9.202407,NaN
60,2.5,7,0,0,12.44898,NaN
60,5,7,0,0,12.91515,NaN
60,10,7,0,0,15.62489,NaN
60,25,7,0,0,18.5171,NaN
60,0,8,0,0,18.45569,NaN
60,0,8,1,0,14.04869,NaN
60,0,8,5,0,30.20985,NaN
60,0,8,10,0,20.48333,NaN
60,0,8,20,0,26.74211,NaN
60,0,8,50,0,19.52056,NaN
60,0,8,0,0,18.45569,NaN
60,2.5,8,0,0,16.80688,NaN
60,5,8,0,0,13.45147,NaN
60,10,8,0,0,19.09791,NaN
60,25,8,0,0,32.09008,NaN
60,50,8,0,0,72.29592,NaN
60,0,9,0,0,5.677327,NaN
60,25,9,0,0,9.248735,NaN
60,0,9,0,0,5.677327,NaN
60,0,9,0,125,6.317629,NaN
60,0,9,0,250,7.155277,NaN
60,0,9,0,500,7.665156,NaN
60,0,9,0,1000,9.497587,NaN
60,0,10,0,0,2.690057,NaN
60,25,10,0,0,9.980696,NaN
60,100,10,0,0,18.30852599,NaN
60,500,10,0,0,43.36404511,NaN
60,1000,10,0,0,49.07841975,NaN
60,0,10,0,125,4.26762,NaN
60,0,10,0,250,5.414998,NaN
60,0,10,0,400,6.354203,NaN
60,0,10,0,500,5.432323,NaN
60,0,10,0,1000,10.89645,NaN
60,0,11,0,0,34.55084,NaN
60,2.5,11,0,0,36.25363,NaN
60,5,11,0,0,48.36738,NaN
60,10,11,0,0,57.23922,NaN
60,25,11,0,0,62.7785,NaN
60,50,11,0,0,82.84805,NaN
60,0,11,0,0,41.21172,NaN
60,0,11,0,125,50.11633,NaN
60,0,11,0,250,56.61316,NaN
60,0,11,0,400,61.94662,NaN
60,0,11,0,500,72.6159,NaN
60,0,11,0,1000,82.94862,NaN
60,0,11,0,0,43.69339,NaN
60,0,11,1,0,57.50951,NaN
60,0,11,5,0,66.24118,NaN
60,0,11,10,0,73.18374,NaN
60,0,11,20,0,63.9839,NaN
60,0,11,50,0,47.27439,NaN
60,0,12,0,0,15.95438,NaN
60,2.5,12,0,0,16.4795,NaN
60,5,12,0,0,21.42315,NaN
60,10,12,0,0,21.37987,NaN
60,25,12,0,0,37.09913,NaN
60,50,12,0,0,58.69187,NaN
60,0,12,0,0,15.95438,NaN
60,0,12,0,125,12.77259,NaN
60,0,12,0,250,17.37901,NaN
60,0,12,0,500,27.35695,NaN
60,0,12,0,1000,36.79026,NaN
60,0,12,0,0,15.95438,NaN
60,0,12,1,0,15.03203,NaN
60,0,12,5,0,19.73824,NaN
60,0,12,10,0,25.40062,NaN
60,0,12,20,0,27.34092,NaN
60,0,12,50,0,15.99852,NaN
