time,nExpID,input_apap,input_bmp2,input_dcf,input_il6,input_noggin,pSMAD_wb_scaled,tpSTAT3_wb_scaled,cpSTAT3_wb_scaled,npSTAT3_wb_scaled,on_Gel_scaled,ctSTAT3_wb_scaled,ntSTAT3_wb_scaled,Fraction,experiment
0,1,0,0,0,0,0,9.004603e+00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
20,1,0,0,0,10,0,1.168397e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
40,1,0,0,0,10,0,1.458405e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
60,1,0,0,0,10,0,1.296021e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
90,1,0,0,0,10,0,1.503505e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
120,1,0,0,0,10,0,1.247757e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
20,1,0,0,500,10,0,1.766755e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
40,1,0,0,500,10,0,1.918052e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
60,1,0,0,500,10,0,2.127766e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
90,1,0,0,500,10,0,2.222018e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
120,1,0,0,500,10,0,2.334229e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
20,1,10,0,0,10,0,1.022922e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
40,1,10,0,0,10,0,1.890989e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
60,1,10,0,0,10,0,1.712169e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
90,1,10,0,0,10,0,2.456132e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
120,1,10,0,0,10,0,1.259857e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Anja_2019_03
0,3,0,0,0,10,0,NaN,NaN,NaN,NaN,NaN,NaN,2.547766e+01,Nuc,Anja_2016_22
0,3,0,0,0,10,0,NaN,NaN,NaN,NaN,NaN,8.495329e+01,NaN,Cyto,Anja_2016_22
20,3,0,0,0,10,0,NaN,NaN,NaN,NaN,NaN,1.143258e+02,NaN,Cyto,Anja_2016_22
100,3,0,0,0,10,0,NaN,NaN,NaN,NaN,NaN,8.722248e+01,NaN,Cyto,Anja_2016_22
120,3,0,0,0,10,0,NaN,NaN,NaN,NaN,NaN,8.665823e+01,NaN,Cyto,Anja_2016_22
140,3,0,0,0,10,0,NaN,NaN,NaN,NaN,NaN,9.569922e+01,NaN,Cyto,Anja_2016_22
160,3,0,0,0,10,0,NaN,NaN,NaN,NaN,NaN,1.106973e+02,NaN,Cyto,Anja_2016_22
180,3,0,0,0,10,0,NaN,NaN,NaN,NaN,NaN,9.041118e+01,NaN,Cyto,Anja_2016_22
200,3,0,0,0,10,0,NaN,NaN,NaN,NaN,NaN,9.414018e+01,NaN,Cyto,Anja_2016_22
20,3,0,0,500,10,0,NaN,NaN,NaN,NaN,NaN,1.072967e+02,NaN,Cyto,Anja_2016_22
100,3,0,0,500,10,0,NaN,NaN,NaN,NaN,NaN,8.710863e+01,NaN,Cyto,Anja_2016_22
120,3,0,0,500,10,0,NaN,NaN,NaN,NaN,NaN,9.297177e+01,NaN,Cyto,Anja_2016_22
