time,nExpID,input_apap,input_il6,cpSTAT3_wb_scaled,npSTAT3_wb_scaled,Fraction,experiment
0,1,0,0,NaN,6.635943e-01,Nuc,Anja_2016_48
0,1,0,0,2.667452e+00,NaN,Cyto,Anja_2016_48
5,1,0,10,1.438064e+01,NaN,Cyto,Anja_2016_48
10,1,0,10,2.280755e+01,NaN,Cyto,Anja_2016_48
20,1,0,10,2.383285e+01,NaN,Cyto,Anja_2016_48
40,1,0,10,1.099830e+01,NaN,Cyto,Anja_2016_48
60,1,0,10,4.498941e+00,NaN,Cyto,Anja_2016_48
90,1,0,10,1.543121e+00,NaN,Cyto,Anja_2016_48
120,1,0,10,2.290404e+00,NaN,Cyto,Anja_2016_48
5,1,10,10,1.387182e+01,NaN,Cyto,Anja_2016_48
10,1,10,10,1.726944e+01,NaN,Cyto,Anja_2016_48
20,1,10,10,1.852711e+01,NaN,Cyto,Anja_2016_48
40,1,10,10,1.211115e+01,NaN,Cyto,Anja_2016_48
60,1,10,10,9.682518e+00,NaN,Cyto,Anja_2016_48
90,1,10,10,2.264672e+00,NaN,Cyto,Anja_2016_48
120,1,10,10,1.161427e+00,NaN,Cyto,Anja_2016_48
0,2,0,0,6.378719e+00,NaN,Cyto,Anja_2016_48
0,2,0,0,NaN,2.200376e+00,Nuc,Anja_2016_48
5,2,0,10,NaN,1.377874e+01,Nuc,Anja_2016_48
10,2,0,10,NaN,2.367325e+01,Nuc,Anja_2016_48
20,2,0,10,NaN,2.312098e+01,Nuc,Anja_2016_48
40,2,0,10,NaN,2.026533e+01,Nuc,Anja_2016_48
60,2,0,10,NaN,4.595872e+00,Nuc,Anja_2016_48
90,2,0,10,NaN,1.791985e+00,Nuc,Anja_2016_48
120,2,0,10,NaN,2.469058e+00,Nuc,Anja_2016_48
5,2,10,10,NaN,1.545011e+01,Nuc,Anja_2016_48
10,2,10,10,NaN,1.743170e+01,Nuc,Anja_2016_48
20,2,10,10,NaN,1.433072e+01,Nuc,Anja_2016_48
40,2,10,10,NaN,2.747572e+01,Nuc,Anja_2016_48
60,2,10,10,NaN,1.214203e+01,Nuc,Anja_2016_48
90,2,10,10,NaN,1.352720e+00,Nuc,Anja_2016_48
120,2,10,10,NaN,9.972247e-01,Nuc,Anja_2016_48
0,3,0,0,NaN,3.079433e+00,Nuc,Anja_2016_45
0,3,0,0,5.304845e+00,NaN,Cyto,Anja_2016_45
5,3,0,10,3.206169e+01,NaN,Cyto,Anja_2016_45
10,3,0,10,2.671265e+01,NaN,Cyto,Anja_2016_45
20,3,0,10,1.870610e+01,NaN,Cyto,Anja_2016_45
40,3,0,10,8.046291e+00,NaN,Cyto,Anja_2016_45
60,3,0,10,4.227795e+00,NaN,Cyto,Anja_2016_45
90,3,0,10,4.197837e+00,NaN,Cyto,Anja_2016_45
120,3,0,10,4.449409e+00,NaN,Cyto,Anja_2016_45
5,3,10,10,2.751206e+01,NaN,Cyto,Anja_2016_45
