time,A_obs,B_obs,A_obs_std,B_obs_std,amount,input_bas_inh
-31.5318,5,5,1,1,1,1
-24.7492,5,5,1,1,1,1
-17.5652,5,5,1,1,1,1
-10.0334,5,5,1,1,1,1
-3.3445,5,5,1,1,1,1
4.1605,8.4036,5.6591,1,1,1,1
11.3712,11.7926,8.1454,1,1,1,1
18.1271,13.3679,10.4093,1,1,1,1
25.8863,14.2488,12.3041,1,1,1,1
32.7759,14.6228,13.3866,1,1,1,1
39.8528,14.8141,14.0734,1,1,1,1
47.4916,14.9134,14.5022,1,1,1,1
54.1806,14.9556,14.7153,1,1,1,1
61.5786,14.9788,14.8485,1,1,1,1
68.8963,14.9898,14.9197,1,1,1,1
75.5853,14.9948,14.9553,1,1,1,1
83.3043,14.9976,14.9775,1,1,1,1
90.301,14.9988,14.988,1,1,1,1
97.2709,14.9994,14.9936,1,1,1,1
105.0167,14.9997,14.9968,1,1,1,1
111.7057,14.9999,14.9983,1,1,1,1
118.9967,14.9999,14.9991,1,1,1,1
126.4214,15,14.9996,1,1,1,1
133.1104,15,14.9998,1,1,1,1
140.7224,15,14.9999,1,1,1,1
147.8261,15,14.9999,1,1,1,1
154.689,15,15,1,1,1,1
162.4482,15,15,1,1,1,1
173.2441,15,15,1,1,1,1
186.6221,15,15,1,1,1,1
200,15,15,1,1,1,1
