timepoint,well,indsyn,pptase,590,800,Indconc,Indconcnorm,IndconcNormRange,Bacnorm,ExpID,typeID
0,E3,indC native,sfp,0,0.00019,-0.000279517,-1,0.001038934,0.000428322,4,wt
5,E3,indC native,sfp,0.000190002,0.000190001,-8.95E-05,-0.320251959,0.001160253,0.000428326,4,wt
10,E3,indC native,sfp,0,0.00038,-0.000559035,-1,0.000860457,0.000856646,4,wt
15,E3,indC native,sfp,3.00E-05,7.00E-05,-7.30E-05,-0.708687899,0.001170809,0.000157809,4,wt
20,E3,indC native,sfp,0.000250003,0.000670001,-0.000735666,-0.746362273,0.000747675,0.001510406,4,wt
25,E3,indC native,sfp,0.000259995,0.000510002,-0.000490291,-0.653472,0.000904351,0.001149715,4,wt
30,E3,indC native,sfp,0.000349995,0.000709999,-0.000694516,-0.664920033,0.00077395,0.001600574,4,wt
35,E3,indC native,sfp,0.000109999,0.000620004,-0.000802117,-0.879402512,0.000705245,0.001397696,4,wt
40,E3,indC native,sfp,0.000250002,0.000690001,-0.00076509,-0.753714965,0.000728887,0.001555493,4,wt
45,E3,indC native,sfp,8.00E-05,0.000570002,-0.00075856,-0.904602548,0.000733057,0.001284975,4,wt
50,E3,indC native,sfp,0.000599998,0.000690001,-0.000415094,-0.408922333,0.000952366,0.001555493,4,wt
55,E3,indC native,sfp,0.000459998,0.00094,-0.000922879,-0.667361419,0.000628136,0.002119075,4,wt
60,E3,indC native,sfp,0.000210002,0.000320001,-0.000260766,-0.553915919,0.001050907,0.000721389,4,wt
65,E3,indC native,sfp,0.000369998,0.00112,-0.001277685,-0.775443379,0.000401586,0.002524855,4,wt
70,E3,indC native,sfp,0.000539997,0.000720002,-0.00051923,-0.490196868,0.000885873,0.001623124,4,wt
75,E3,indC native,sfp,0.000529997,0.001089998,-0.001073549,-0.669484248,0.000531931,0.00245722,4,wt
80,E3,indC native,sfp,0.000179996,0.001029997,-0.001335278,-0.881212013,0.000364812,0.002321956,4,wt
85,E3,indC native,sfp,0.000829998,0.000669997,-0.000155665,-0.157929583,0.001118016,0.001510397,4,wt
90,E3,indC native,sfp,0.000560003,0.001209997,-0.001220078,-0.685405955,0.000438369,0.002727737,4,wt
95,E3,indC native,sfp,0.000240003,0.000839999,-0.000995756,-0.805784808,0.000581603,0.001893637,4,wt
100,E3,indC native,sfp,0.000379996,0.0006,-0.000502692,-0.569501264,0.000896433,0.001352602,4,wt
105,E3,indC native,sfp,0.000759997,0.000900001,-0.000564036,-0.425998436,0.000857264,0.002028903,4,wt
110,E3,indC native,sfp,0.000429998,0.00091,-0.000908743,-0.678804129,0.000637162,0.002051443,4,wt
115,E3,indC native,sfp,0.000730003,0.00088,-0.000564604,-0.436119965,0.000856901,0.001983814,4,wt
120,E3,indC native,sfp,0.000440002,0.000930002,-0.000928165,-0.678400277,0.000624761,0.002096534,4,wt
125,E3,indC native,sfp,0.00028,0.000809998,-0.000911624,-0.76502648,0.000635322,0.001826006,4,wt
130,E3,indC native,sfp,0.00048,0.001129998,-0.001182391,-0.711259334,0.000462433,0.002547393,4,wt
135,E3,indC native,sfp,0.000740001,0.000720003,-0.000319228,-0.301377567,0.001013578,0.001623126,4,wt
140,E3,indC native,sfp,0.00064,0.001039997,-0.000889986,-0.581695239,0.000649139,0.0023445,4,wt
145,E3,indC native,sfp,5.00E-05,0.001329999,-0.00190662,-0.974445321,0,0.002998261,4,wt
150,E3,indC native,sfp,0.000770003,0.001080002,-0.000818837,-0.515367918,0.000694569,0.002434685,4,wt
