timepoint,well,indsyn,pptase,590,800,Indconc,Indconcnorm,IndconcNormRange,Bacnorm,ExpID,typeID
0,B8,synT3,sfp,0.004889997,0.005389998,-0.003039472,-0.383313421,0.000587497,0.012150856,1,T3
5,B8,synT3,sfp,0.004090001,0.004690003,-0.002809673,-0.407218163,0.000734228,0.010572832,1,T3
10,B8,synT3,sfp,0.004690003,0.005179999,-0.002930527,-0.384556881,0.00065706,0.011677448,1,T3
15,B8,synT3,sfp,0.004930002,0.005069998,-0.002528701,-0.339026907,0.000913633,0.011429469,1,T3
20,B8,synT3,sfp,0.004250003,0.004670002,-0.002620246,-0.381390237,0.00085518,0.010527743,1,T3
25,B8,synT3,sfp,0.00446,0.004709998,-0.002469091,-0.356336982,0.000951695,0.01061791,1,T3
30,B8,synT3,sfp,0.005150001,0.005310002,-0.002661781,-0.340739296,0.000828659,0.011970518,1,T3
35,B8,synT3,sfp,0.005309998,0.005020004,-0.002075156,-0.280990232,0.001203229,0.011316765,1,T3
40,B8,synT3,sfp,0.005249997,0.005190003,-0.00238525,-0.312399807,0.001005229,0.0117,1,T3
45,B8,synT3,sfp,0.004479996,0.005069996,-0.002978704,-0.399359662,0.000626298,0.011429465,1,T3
50,B8,synT3,sfp,0.004800002,0.005389999,-0.003129468,-0.394662914,0.000530033,0.012150858,1,T3
55,B8,synT3,sfp,0.005060001,0.005239999,-0.002648796,-0.343606931,0.00083695,0.011812707,1,T3
60,B8,synT3,sfp,0.005410001,0.005319996,-0.002416485,-0.308757378,0.000985285,0.011993048,1,T3
65,B8,synT3,sfp,0.004970001,0.005220003,-0.002709379,-0.352812229,0.000798266,0.011767629,1,T3
70,B8,synT3,sfp,0.005240002,0.005220003,-0.00243938,-0.317653131,0.000970666,0.011767631,1,T3
75,B8,synT3,sfp,0.004929997,0.005089999,-0.00255813,-0.341624795,0.000894842,0.011474558,1,T3
80,B8,synT3,sfp,0.004979996,0.005429997,-0.003008317,-0.376589772,0.00060739,0.012241026,1,T3
85,B8,synT3,sfp,0.00493,0.004769999,-0.002087361,-0.297456697,0.001195436,0.010753172,1,T3
90,B8,synT3,sfp,0.005360002,0.005309999,-0.002451776,-0.313856375,0.000962751,0.011970511,1,T3
95,B8,synT3,sfp,0.005140004,0.005139997,-0.002421677,-0.320256377,0.00098197,0.01158727,1,T3
100,B8,synT3,sfp,0.005180003,0.005,-0.002175723,-0.295786307,0.001139016,0.011271671,1,T3
105,B8,synT3,sfp,0.004560001,0.005099998,-0.002942835,-0.392229675,0.000649201,0.011497098,1,T3
110,B8,synT3,sfp,0.005030002,0.00491,-0.002193321,-0.303644326,0.001127779,0.011068781,1,T3
115,B8,synT3,sfp,0.005130003,0.005080004,-0.002343419,-0.313567068,0.001031939,0.011452026,1,T3
120,B8,synT3,sfp,0.004939996,0.005529998,-0.003195432,-0.392779801,0.000487913,0.012466461,1,T3
125,B8,synT3,sfp,0.004380003,0.005410001,-0.003578894,-0.449672136,0.000243066,0.01219595,1,T3
130,B8,synT3,sfp,0.005179998,0.005330002,-0.002661209,-0.339387669,0.000829024,0.012015605,1,T3
135,B8,synT3,sfp,0.004939997,0.005020001,-0.002445152,-0.331090398,0.00096698,0.011316758,1,T3
140,B8,synT3,sfp,0.00504,0.00564,-0.003257258,-0.392570382,0.000448436,0.012714444,1,T3
145,B8,synT3,sfp,0.005050004,0.005629997,-0.003232538,-0.39028338,0.00046422,0.012691893,1,T3
150,B8,synT3,sfp,0.004469998,0.005579996,-0.003738985,-0.455474827,0.000140845,0.012579175,1,T3
155,B8,synT3,sfp,0.005009999,0.005550003,-0.00315486,-0.386394925,0.000513819,0.01251156,1,T3
160,B8,synT3,sfp,0.004789999,0.005289997,-0.002992354,-0.384505036,0.000617582,0.01192542,1,T3
165,B8,synT3,sfp,0.005299997,0.005549995,-0.002864851,-0.350876212,0.000698995,0.012511542,1,T3
170,B8,synT3,sfp,0.00531,0.005549997,-0.00285485,-0.349651244,0.000705381,0.012511547,1,T3
175,B8,synT3,sfp,0.00483,0.004880003,-0.002349192,-0.32722236,0.001028253,0.011001156,1,T3
180,B8,synT3,sfp,0.005310003,0.005300003,-0.00248707,-0.318974805,0.000940215,0.011947976,1,T3
185,B8,synT3,sfp,0.004549995,0.005189999,-0.003085245,-0.404079667,0.000558269,0.01169999,1,T3
190,B8,synT3,sfp,0.005030001,0.004960003,-0.002266882,-0.31066447,0.001080809,0.011181503,1,T3
195,B8,synT3,sfp,0.005040002,0.005329999,-0.0028012,-0.357241168,0.000739637,0.012015599,1,T3
200,B8,synT3,sfp,0.004939999,0.005299997,-0.002857065,-0.366428324,0.000703967,0.011947962,1,T3
205,B8,synT3,sfp,0.004340001,0.005450003,-0.003677743,-0.458700487,0.000179949,0.012286126,1,T3
210,B8,synT3,sfp,0.00499,0.005350002,-0.002880628,-0.365997243,0.000688921,0.012060691,1,T3
215,B8,synT3,sfp,0.005169997,0.005319998,-0.002656491,-0.339423178,0.000832036,0.011993052,1,T3
220,B8,synT3,sfp,0.004620001,0.004930001,-0.002632745,-0.362999791,0.000847199,0.011113868,1,T3
225,B8,synT3,sfp,0.005110002,0.005219999,-0.002569374,-0.334581108,0.000887662,0.011767621,1,T3
230,B8,synT3,sfp,0.004649997,0.004880001,-0.002529191,-0.352294844,0.00091332,0.011001151,1,T3
235,B8,synT3,sfp,0.004459996,0.004799999,-0.002601498,-0.368406108,0.000867151,0.0108208,1,T3
240,B8,synT3,sfp,0.004299996,0.005170003,-0.003305829,-0.434644335,0.000417423,0.011654914,1,T3
245,B8,synT3,sfp,0.005150001,0.004970001,-0.002161592,-0.295639014,0.001148038,0.011204043,1,T3
250,B8,synT3,sfp,0.004970002,0.00525,-0.002753509,-0.356510042,0.000770089,0.011835254,1,T3
255,B8,synT3,sfp,0.004689998,0.004860002,-0.002459769,-0.344034866,0.000957647,0.010956067,1,T3
260,B8,synT3,sfp,0.004499996,0.004660004,-0.002355545,-0.343597304,0.001024196,0.010505205,1,T3
265,B8,synT3,sfp,0.004780001,0.005349997,-0.00309062,-0.392678015,0.000554838,0.012060679,1,T3
270,B8,synT3,sfp,0.00538,0.004550002,-0.001313712,-0.196260641,0.001689425,0.010257224,1,T3
275,B8,synT3,sfp,0.00466,0.005310003,-0.003151784,-0.403465346,0.000515783,0.01197052,1,T3
280,B8,synT3,sfp,0.00396,0.005269998,-0.003792932,-0.489225487,0.000106399,0.011880336,1,T3
285,B8,synT3,sfp,0.004750001,0.005400002,-0.003194185,-0.402078272,0.00048871,0.012173408,1,T3
290,B8,synT3,sfp,0.004729998,0.005379999,-0.003184761,-0.402382584,0.000494727,0.012128316,1,T3
295,B8,synT3,sfp,0.005,0.005309997,-0.002811775,-0.359940574,0.000732885,0.011970506,1,T3
300,B8,synT3,sfp,0.004570001,0.00489,-0.002623898,-0.364739313,0.000852848,0.011023693,1,T3
305,B8,synT3,sfp,0.005250003,0.00537,-0.002650046,-0.335446733,0.000836152,0.012105773,1,T3
310,B8,synT3,sfp,0.005000001,0.005239999,-0.002708798,-0.351390378,0.000798638,0.011812709,1,T3
315,B8,synT3,sfp,0.004930004,0.005519997,-0.003190712,-0.392910179,0.000490927,0.012443916,1,T3
320,B8,synT3,sfp,0.004339996,0.005430002,-0.003648324,-0.456707299,0.000198734,0.012241037,1,T3
325,B8,synT3,sfp,0.005119999,0.005100001,-0.002382841,-0.317591855,0.001006767,0.011497105,1,T3
330,B8,synT3,sfp,0.004829998,0.00479,-0.002216786,-0.314581232,0.001112796,0.010798259,1,T3
335,B8,synT3,sfp,0.004549996,0.00517,-0.003055824,-0.401774476,0.000577055,0.011654907,1,T3
340,B8,synT3,sfp,0.004829997,0.00517,-0.002775823,-0.364960431,0.000755841,0.011654907,1,T3
345,B8,synT3,sfp,0.004580002,0.005539998,-0.00357014,-0.438046352,0.000248656,0.012489007,1,T3
350,B8,synT3,sfp,0.004870003,0.005509996,-0.003236001,-0.399210408,0.000462009,0.012421372,1,T3
355,B8,synT3,sfp,0.004529996,0.005469998,-0.003517164,-0.437068977,0.000282482,0.012331202,1,T3
360,B8,synT3,sfp,0.004570001,0.005089999,-0.002918125,-0.38970032,0.000664979,0.011474558,1,T3
365,B8,synT3,sfp,0.004179998,0.005200004,-0.003469962,-0.453592189,0.000312621,0.011722545,1,T3
370,B8,synT3,sfp,0.004670001,0.004360003,-0.001744196,-0.271927416,0.001414553,0.009828903,1,T3
375,B8,synT3,sfp,0.00487,0.004550003,-0.001823714,-0.27245174,0.001363779,0.010257227,1,T3
380,B8,synT3,sfp,0.00434,0.004580002,-0.002397847,-0.355877315,0.000997186,0.010324853,1,T3
385,B8,synT3,sfp,0.004749998,0.005349998,-0.003120626,-0.396490272,0.000535679,0.012060683,1,T3
