Source data for Figure 1B: Experimental quantitative immunoblotting data (_obs). See 'Materials and methods - Quantitative immunoblotting and computational data processing' for details.
time	Epo_obs	pJAK2_obs	pEpoR_obs	ppMEK2_obs	ppMEK1_obs	ppERK1_obs	ppERK2_obs	pSOS_obs	SOS_obs
min	U/ml	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.	a.u.
0	50	0.01194	0.21	1.74	1.54	0.126	0.189	0.055679	2.56186
0	50	0.014756	0.0183	1.82126	1.58489	0.370709	0.445856	0.067	3.1
0.5	50	0.111	0.143	0.754	1.03	0.25	0.080023	0.14	2
1	50	0.213786	0.287448	0.91522	0.787115	0.251328	0.29625	0.275161	3.386
1.5	50	0.233	0.618	0.702	0.793	0.246	0.335	0.446	2.99
2	50	0.207937	0.463497	2.57119	2.51717	0.788542	2.22187	0.208379	3.07934
3	50	0.277	0.677	5.08	5.05	4.18	12.4	0.137	2.14
4	50	0.511396	0.521186	5.72395	4.75465	5.30931	15.405	0.64535	2.51075
5	50	0.564	0.678	8.62	6.46	7.9	19.9	1.046	2.33
6	50	0.450964	0.355083	9.32056	7.03209	11.0427	27.1069	2.5808	2.61936
7.5	50	0.429	0.283	6.79	5.29	10.6	22.5	2.126	2.01
9	50	0.368439	0.614681	5.98413	5.32734	7.0529	16.7381	0.53691	0.651645
10.5	50	0.467	0.135	7.58	5.54	8.57	19.4	NaN	NaN
12	50	0.340498	0.34812	6.70345	4.5682	8.70224	19.4044	1.41441	1.94854
13.5	50	0.27	0.23	5.68	4.37	5.35	12.8	1.126	1.06
15	50	0.135809	0.526159	4.04044	3.35623	3.69138	7.15444	0.7432	1.20746
16.5	50	0.226	0.645	2.89	3.3	1.72	5.36	0.546	1.77
18	50	0.424322	0.191963	3.87209	3.22304	3.64426	7.25812	1.41853	1.78883
20	50	0.199	0.113	2.4	1.86	2.28	6.62	0.181	1.18
22	50	0.128661	0.147205	2.03552	2.22417	0.92206	1.659	0.76413	1.28412
25	50	0.105	0.0817	0.853	0.953	0.48	1.42	1.876	2.8
28	50	0.218984	0.097281	1.105	1.13472	0.66602	1.83675	0.55665	2.05076
31	50	0.097468	0.057313	1.1	0.907	0.736	1.28	0.606	2.39
35	50	0.043488	0.054316	1.15091	1.17468	0.527789	0.807281	0.42965	0.562203
40	50	0.092459	0.066277	0.66	0.866	0.488	0.46	0	2.41
45	50	0.13386	0.082437	0.682589	1.13739	0.58905	0.656194	0.40723	3.00268
50	50	0.071541	0.047121	0.464	0.672	0.291	0.46	NaN	NaN
60	50	0.03599	0.100458	0.674937	1.06547	0.362855	0.5451	0.202749	2.60658
65	50	0.063974	0.107	0.829	1.39	0.341	0.65	0.586	2.36
70	50	0.125412	0.070824	0.759113	1.04283	0.530931	1.22796	0.024104	2.26798
