time,A_obs
0,0
10,0
20,0
30,0
40,0
50,0
51,0.975412
52,1.903252
53,2.78584
54,3.625385
55,4.423984
56,5.183636
57,5.906238
58,6.593599
59,7.247437
60,7.869387
61,8.461004
62,9.023767
63,9.559084
64,10.068294
65,10.552669
66,11.013421
67,11.451701
68,11.868607
69,12.26518
70,12.642411
71,13.001245
72,13.342578
73,13.667265
74,13.976116
75,14.269904
76,14.549364
77,14.815195
78,15.068061
79,15.308594
80,15.537397
81,15.755041
82,15.96207
83,16.159002
84,16.34633
85,16.524521
86,16.694022
87,16.855257
88,17.008628
89,17.154519
90,17.293294
91,17.425302
92,17.550871
93,17.670317
94,17.783937
95,17.892016
96,17.994823
97,18.092617
98,18.185641
99,18.274128
100,18.3583
101,18.438367
102,18.514528
103,18.586976
104,18.65589
105,18.721443
106,18.783799
107,18.843114
108,18.899536
109,18.953206
110,19.004259
111,19.052822
112,19.099016
113,19.142957
114,19.184756
115,19.224516
116,19.262337
117,19.298313
118,19.332535
119,19.365087
120,19.396052
121,19.425507
122,19.453526
123,19.480177
124,19.505529
125,19.529645
126,19.552585
127,19.574405
128,19.595162
129,19.614906
130,19.633687
131,19.651553
132,19.668546
133,19.684712
134,19.700088
135,19.714715
136,19.728629
137,19.741864
138,19.754453
139,19.766429
140,19.77782
141,19.788656
142,19.798963
143,19.808768
144,19.818094
145,19.826966
146,19.835405
147,19.843432
148,19.851068
149,19.858332
150,19.865241
