Description,Rate,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
,k1*c1*u1*x1,-1,,1,,,,,,,,,,,
,k5*x1,-1,1,,,,,,,,,,,,
,k6*x2,1,-1,,,,,,,,,,,,
,k2*x3*x7,,,-1,1,,,,,,,,,,
,k3*x4,,,,-1,1,,,,,,,,,
,k4*x5,,,,,-1,,,,,,,,,
,k7*x3*x6/(1+k13*x13),,,,,,-1,1,,,,,,,
,k7*x4*x6/(1+k13*x13),,,,,,-1,1,,,,,,,
,c2*k8*x7,,,,,,1,-1,,,,,,,
,k9*x8*x7,,,,,,,,-1,1,,,,,
,c2*k10*x9,,,,,,,,1,-1,,,,,
,k11*x9,,,,,,,,,,1,,,,
,k12*c1*u1*x11,,,,,,,,,,,-1,1,,
,k14*x10/(k15+x10),,,,,,,,,,,,,1,
,k16*x13,,,,,,,,,,,,,-1,
,k17*x9,,,,,,,,,,,,,,1
